actual_start_span_s,cell_id,client_error,completed,drained,engine_exited,exact_timing,failed,max_send_lateness_s,model,offered,offered_rps,p90_tpot_s,p90_ttft_s,peak_running_requests,peak_waiting_requests,plan_sha256,repeat,revision,sampler_error,scheduled_span_s,schema,status,tpot_samples
163.5244586,openai-gpt-oss-20b-rps0p125-b0,,32,True,False,23,0,0.073412221,openai/gpt-oss-20b,32,0.125,0.004925725,0.09533661750000001,4.0,0.0,1c4ef244604fc93311625f8a7f507e79db84f4de90a34f49f8007f5645784160,0,6cee5e81ee83917806bbde320786a8fb61efebee,,163.520773527,queue-haul-agentic-rps-sweep-v3,recorded,23529
93.173798307,openai-gpt-oss-20b-rps0p25-b0,,32,True,False,15,0,0.029119503,openai/gpt-oss-20b,32,0.25,0.005270374,0.0951630469,6.0,0.0,1c4ef244604fc93311625f8a7f507e79db84f4de90a34f49f8007f5645784160,0,6cee5e81ee83917806bbde320786a8fb61efebee,,93.172083978,queue-haul-agentic-rps-sweep-v3,recorded,15345
48.644479368,openai-gpt-oss-20b-rps0p5-b0,,32,True,False,13,0,0.01499318,openai/gpt-oss-20b,32,0.5,0.005691177800000001,0.09563582420000001,7.0,0.0,1c4ef244604fc93311625f8a7f507e79db84f4de90a34f49f8007f5645784160,0,6cee5e81ee83917806bbde320786a8fb61efebee,,48.644541285,queue-haul-agentic-rps-sweep-v3,recorded,13299
38.479382228,openai-gpt-oss-20b-rps1-b0,,32,True,False,12,0,0.009220257,openai/gpt-oss-20b,32,1.0,0.0060113245,0.1050797071,7.0,0.0,1c4ef244604fc93311625f8a7f507e79db84f4de90a34f49f8007f5645784160,0,6cee5e81ee83917806bbde320786a8fb61efebee,,38.480766275,queue-haul-agentic-rps-sweep-v3,recorded,12276
16.657800938,openai-gpt-oss-20b-rps2-b0,,32,True,False,32,0,0.005233071,openai/gpt-oss-20b,32,2.0,0.0074406030000000005,0.1376940397,17.0,0.0,1c4ef244604fc93311625f8a7f507e79db84f4de90a34f49f8007f5645784160,0,6cee5e81ee83917806bbde320786a8fb61efebee,,16.659754033,queue-haul-agentic-rps-sweep-v3,recorded,32736
10.826160032,openai-gpt-oss-20b-rps3-b0,,32,True,False,27,0,0.004301294,openai/gpt-oss-20b,32,3.0,0.00840437,0.1732328086,30.0,0.0,1c4ef244604fc93311625f8a7f507e79db84f4de90a34f49f8007f5645784160,0,6cee5e81ee83917806bbde320786a8fb61efebee,,10.826639115,queue-haul-agentic-rps-sweep-v3,recorded,27621
8.761425676,openai-gpt-oss-20b-rps4-b0,,32,True,False,19,0,0.004217387,openai/gpt-oss-20b,32,4.0,0.0088480116,0.16267755550000002,32.0,0.0,1c4ef244604fc93311625f8a7f507e79db84f4de90a34f49f8007f5645784160,0,6cee5e81ee83917806bbde320786a8fb61efebee,,8.760765399,queue-haul-agentic-rps-sweep-v3,recorded,19437
6.950602472,openai-gpt-oss-20b-rps5-b0,,32,True,False,16,0,0.005951615,openai/gpt-oss-20b,32,5.0,0.008860044,0.19438141420000005,32.0,0.0,1c4ef244604fc93311625f8a7f507e79db84f4de90a34f49f8007f5645784160,0,6cee5e81ee83917806bbde320786a8fb61efebee,,6.9511965,queue-haul-agentic-rps-sweep-v3,recorded,16368
4.419177777,openai-gpt-oss-20b-rps6-b0,,32,True,False,18,0,0.004920715,openai/gpt-oss-20b,32,6.0,0.0083813585,0.2517994304,32.0,0.0,1c4ef244604fc93311625f8a7f507e79db84f4de90a34f49f8007f5645784160,0,6cee5e81ee83917806bbde320786a8fb61efebee,,4.420083631,queue-haul-agentic-rps-sweep-v3,recorded,18414
4.975339017,openai-gpt-oss-20b-rps7-b0,,32,True,False,32,0,0.005419738,openai/gpt-oss-20b,32,7.0,0.0084108915,0.2741062034,32.0,0.0,1c4ef244604fc93311625f8a7f507e79db84f4de90a34f49f8007f5645784160,0,6cee5e81ee83917806bbde320786a8fb61efebee,,4.976577085,queue-haul-agentic-rps-sweep-v3,recorded,32736
3.340848099,openai-gpt-oss-20b-rps8-b0,,32,True,False,16,0,0.002544176,openai/gpt-oss-20b,32,8.0,0.008326266200000002,1.4983873645000003,32.0,0.0,1c4ef244604fc93311625f8a7f507e79db84f4de90a34f49f8007f5645784160,0,6cee5e81ee83917806bbde320786a8fb61efebee,,3.342518176,queue-haul-agentic-rps-sweep-v3,recorded,16368
