cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,best_policy_flips,bottleneck_flips,best_policy_compact_kv,best_policy_vanilla_gqa_fp16,best_policy_frontier_v4_fp8,best_policy_glm_5_mla,best_policy_qwen3_next_hybrid,bottleneck_compact_kv,bottleneck_vanilla_gqa_fp16,bottleneck_frontier_v4_fp8,bottleneck_glm_5_mla,bottleneck_qwen3_next_hybrid,mixed_p50_s_compact_kv,mixed_p50_s_vanilla_gqa_fp16,mixed_p50_s_frontier_v4_fp8,mixed_p50_s_glm_5_mla,mixed_p50_s_qwen3_next_hybrid
n100_medium_loose_100g,100,medium,loose,100,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,workspace,workspace,workspace,workspace,workspace,13,12.75,12.5,13.25,12.5
n100_medium_loose_1g,100,medium,loose,1,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,network,network,network,12.5,12.5,12.5,12.5,12.5
n100_medium_tight_100g,100,medium,tight,100,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,workspace,workspace,workspace,workspace,workspace,13,12.5,12.75,13.25,12.75
n100_medium_tight_1g,100,medium,tight,1,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,network,network,network,12.75,15.0125552,13.75,18.3608539,12.5
n100_monorepo_loose_100g,100,monorepo,loose,100,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,workspace,workspace,workspace,workspace,workspace,125,125,125,125,125
n100_monorepo_loose_1g,100,monorepo,loose,1,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,network,network,network,125,125,125,125,125
n100_monorepo_tight_100g,100,monorepo,tight,100,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,workspace,workspace,workspace,workspace,workspace,125,130,125,127.5,125
n100_monorepo_tight_1g,100,monorepo,tight,1,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,network,network,network,125,125,125,125,125
n100_tiny_loose_100g,100,tiny,loose,100,False,True,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,prefill,prefill,workspace,prefill,workspace,0.765,1.28989447,0.765,1.03751603,0.75
n100_tiny_loose_1g,100,tiny,loose,1,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,network,network,network,1.08,1.56,2.76,1.92,0.75
n100_tiny_tight_100g,100,tiny,tight,100,False,True,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,workspace,network,workspace,1.53185578,5.38845548,0.765,2.03065479,0.795
n100_tiny_tight_1g,100,tiny,tight,1,False,True,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,prefill,prefill,network,prefill,network,10.1928167,14.8791981,14.125304,17.7244273,0.87523858
n10_medium_loose_100g,10,medium,loose,100,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,workspace,workspace,workspace,workspace,workspace,1.25,1.25,1.5,1.25,1.25
n10_medium_loose_1g,10,medium,loose,1,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,network,network,network,1.25,1.25,1.25,1.25,1.25
n10_medium_tight_100g,10,medium,tight,100,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,workspace,workspace,workspace,workspace,workspace,1.25,1.25,1.5,1.25,1.5
n10_medium_tight_1g,10,medium,tight,1,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,network,network,network,1.26381667,1.81257103,2,2.24724509,1.25
n10_monorepo_loose_100g,10,monorepo,loose,100,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,workspace,workspace,workspace,workspace,workspace,12.5,12.5,12.5,12.5,12.5
n10_monorepo_loose_1g,10,monorepo,loose,1,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,network,network,network,12.5,12.5,12.5,12.5,12.5
n10_monorepo_tight_100g,10,monorepo,tight,100,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,workspace,workspace,workspace,workspace,workspace,15,15,12.5,15,12.5
n10_monorepo_tight_1g,10,monorepo,tight,1,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,network,network,network,12.5,12.5,12.5,12.5,12.5
n10_tiny_loose_100g,10,tiny,loose,100,False,True,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,prefill,prefill,workspace,prefill,workspace,0.0938533333,0.168602642,0.075,0.150138117,0.075
n10_tiny_loose_1g,10,tiny,loose,1,False,False,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,network,network,network,0.126381667,0.181257103,0.330413564,0.224724509,0.075
n10_tiny_tight_100g,10,tiny,tight,100,False,True,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,network,network,workspace,network,workspace,0.198265421,0.738092646,0.075,0.259651492,0.09
n10_tiny_tight_1g,10,tiny,tight,1,False,True,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,mixed_min_pressure,prefill,prefill,network,prefill,network,1.26381667,1.81257103,1.80559908,2.24724509,0.105673689
