monotonic_ns,wall_ns,node,current_watts
5713163550446928,1784327893905430241,sh03-11n16,610.0
5713165736653098,1784327896091635861,sh03-11n16,610.0
5713167983939810,1784327898338922743,sh03-11n16,610.0
5713170119267142,1784327900474250675,sh03-11n16,610.0
5713172271586299,1784327902626569402,sh03-11n16,610.0
5713174481230988,1784327904836214091,sh03-11n16,610.0
5713176642379415,1784327906997362758,sh03-11n16,610.0
5713179001770807,1784327909356753800,sh03-11n16,610.0
5713181159639917,1784327911514622700,sh03-11n16,610.0
5713183411869859,1784327913766852582,sh03-11n16,610.0
5713185674707672,1784327916029689965,sh03-11n16,610.0
5713188113125763,1784327918468108346,sh03-11n16,610.0
5713190326082688,1784327920681065321,sh03-11n16,610.0
5713192663997100,1784327923018980003,sh03-11n16,610.0
5713195137395081,1784327925492377454,sh03-11n16,610.0
5713197291176974,1784327927646160087,sh03-11n16,610.0
5713199668222845,1784327930023205558,sh03-11n16,610.0
5713201825635209,1784327932180617992,sh03-11n16,610.0
5713204105728465,1784327934460711168,sh03-11n16,610.0
5713206207355173,1784327936562338306,sh03-11n16,610.0
5713207446329345,1784327937801312028,sh03-11n16,610.0
5713209557892061,1784327939912874554,sh03-11n16,610.0
5713210844308097,1784327941199290550,sh03-11n16,610.0
5713211912796619,1784327942267779362,sh03-11n16,610.0
5713212985325270,1784327943340307483,sh03-11n16,610.0
5713214051776553,1784327944406759376,sh03-11n16,610.0
5713215132573499,1784327945487555862,sh03-11n16,610.0
5713216629598063,1784327946984580796,sh03-11n16,610.0
5713217698034036,1784327948053016009,sh03-11n16,610.0
5713218768464288,1784327949123446861,sh03-11n16,610.0
5713219833779173,1784327950188761266,sh03-11n16,610.0
5713220907603391,1784327951262585694,sh03-11n16,610.0
5713221974113474,1784327952329096167,sh03-11n16,610.0
5713223044473417,1784327953399455450,sh03-11n16,610.0
5713224114343075,1784327954469325718,sh03-11n16,610.0
5713225178272544,1784327955533255127,sh03-11n16,610.0
5713226433391561,1784327956788373864,sh03-11n16,610.0
5713227496327149,1784327957851309052,sh03-11n16,610.0
5713228560030116,1784327958915012259,sh03-11n16,610.0
5713229620062192,1784327959975044635,sh03-11n16,610.0
5713230679292209,1784327961034274222,sh03-11n16,610.0
5713231740201513,1784327962095183746,sh03-11n16,610.0
5713232797662083,1784327963152644486,sh03-11n16,610.0
5713233858606237,1784327964213588200,sh03-11n16,610.0
5713234915529424,1784327965270511697,sh03-11n16,610.0
5713235977290907,1784327966332273140,sh03-11n16,610.0
5713237406616961,1784327967761598984,sh03-11n16,610.0
5713240068484251,1784327970423466863,sh03-11n16,610.0
5713242278957217,1784327972633939970,sh03-11n16,610.0
5713244742115554,1784327975097098037,sh03-11n16,610.0
5713247025722094,1784327977380704627,sh03-11n16,610.0
5713249540340533,1784327979895322956,sh03-11n16,610.0
5713251870589161,1784327982225571524,sh03-11n16,610.0
5713254199257376,1784327984554239819,sh03-11n16,610.0
5713256605834223,1784327986960816636,sh03-11n16,610.0
5713258893079233,1784327989248062176,sh03-11n16,610.0
5713261062453942,1784327991417436485,sh03-11n16,610.0
5713263388058479,1784327993743041782,sh03-11n16,610.0
5713265523615244,1784327995878598277,sh03-11n16,610.0
5713267652587988,1784327998007570990,sh03-11n16,610.0
5713269986173671,1784328000341156484,sh03-11n16,610.0
5713272089592233,1784328002444574476,sh03-11n16,610.0
5713274340030180,1784328004695012813,sh03-11n16,610.0
5713276564715668,1784328006919698091,sh03-11n16,610.0
5713278847076260,1784328009202059083,sh03-11n16,610.0
5713281098429417,1784328011453412200,sh03-11n16,610.0
5713283494424525,1784328013849407748,sh03-11n16,610.0
5713285701055562,1784328016056037715,sh03-11n16,610.0
5713287934393719,1784328018289376132,sh03-11n16,610.0
5713290129286492,1784328020484269535,sh03-11n16,610.0
5713292486966120,1784328022841948533,sh03-11n16,610.0
5713294724908484,1784328025079891377,sh03-11n16,610.0
5713296878368218,1784328027233351051,sh03-11n16,610.0
5713299217211870,1784328029572194613,sh03-11n16,610.0
5713301318440248,1784328031673422901,sh03-11n16,610.0
5713303723456437,1784328034078438940,sh03-11n16,610.0
5713306105629245,1784328036460611548,sh03-11n16,610.0
5713308412722886,1784328038767705429,sh03-11n16,610.0
5713310551222252,1784328040906204715,sh03-11n16,610.0
