bandwidth_mbps,cache_hit_tokens,campaign,commit_ns,copied_blocks_after,copied_blocks_before,copy_policy,destination_ready_ns,duplicate_body_bytes,error,first_body_ns,last_body_ns,logical_body_bytes,measured_prompt_tokens,method,move_concurrency,newly_created_tokens,pause_ns,phase,processed_tail_tokens,protocol_bytes,repeat,route_switch_ns,scenario_id,serving_concurrency,session_id,split,stage_index,start_ns,success,wire_body_bytes,wire_bytes
5000.0,20224,policy_hardware,6775906386962840,,,initial_final,6775906386288158,0,,6775903450965995,6775905342218693,994050048,20370,kv_transfer,8,0,6775906386290398,initial,146,1027,36,6775906386729653,p-b08ea8d5cd001be9,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,measurement,-1,6775898903050601,True,994050048,994051075
5000.0,20480,policy_hardware,6775904639653724,,,initial_final,6775904639380457,0,,6775902037093625,6775903749752354,1006632960,20624,kv_transfer,8,0,6775904639382267,initial,144,1040,36,6775904639522975,p-b08ea8d5cd001be9,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,measurement,-1,6775898903655921,True,1006632960,1006634000
5000.0,22528,policy_hardware,6775901983768319,,,initial_final,6775901983292474,0,,6775898944759016,6775900797137104,1107296256,22672,kv_transfer,8,0,6775901983295314,initial,144,1144,36,6775901983628250,p-b08ea8d5cd001be9,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,measurement,-1,6775898903878158,True,1107296256,1107297400
5000.0,22784,policy_hardware,6775908161752976,,,initial_final,6775908161476469,0,,6775905043550043,6775907251356249,1119879168,22926,kv_transfer,8,0,6775908161477449,initial,142,1157,36,6775908161629308,p-b08ea8d5cd001be9,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,measurement,-1,6775898905343646,True,1119879168,1119880325
5000.0,24320,policy_hardware,6775910058737569,,,initial_final,6775910058450233,0,,6775905985202337,6775909164643297,1195376640,24455,kv_transfer,8,0,6775910058451233,initial,135,1235,36,6775910058601721,p-b08ea8d5cd001be9,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,measurement,-1,6775898906182373,True,1195376640,1195377875
5000.0,25088,policy_hardware,6775912106556456,,,initial_final,6775912106223869,0,,6775907922912069,6775911238166503,1233125376,25229,kv_transfer,8,0,6775912106224839,initial,141,1274,36,6775912106395837,p-b08ea8d5cd001be9,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,measurement,-1,6775898906915082,True,1233125376,1233126650
5000.0,26368,policy_hardware,6775914187866593,,,initial_final,6775914187549646,0,,6775910015464419,6775913311453221,1296039936,26508,kv_transfer,8,0,6775914187551146,initial,140,1339,36,6775914187718364,p-b08ea8d5cd001be9,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,measurement,-1,6775898908203462,True,1296039936,1296041275
5000.0,27392,policy_hardware,6775916098191005,,,initial_final,6775916097825009,0,,6775912106021872,6775915268986258,1346371584,27535,kv_transfer,8,0,6775916097828509,initial,143,1391,36,6775916098031757,p-b08ea8d5cd001be9,1,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,measurement,-1,6775898909229676,True,1346371584,1346372975
5000.0,0,policy_hardware,6775956702985746,,,initial_final,6775956702601810,0,,,,0,20370,replay,8,0,6775956702603040,initial,20370,0,36,6775956702836377,p-35849c76c94f7b55,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,measurement,-1,6775953204897431,True,0,0
5000.0,0,policy_hardware,6775969669407752,,,initial_final,6775969668980217,0,,,,0,20624,replay,8,0,6775969668981537,initial,20624,0,36,6775969669185705,p-35849c76c94f7b55,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,measurement,-1,6775953206547291,True,0,0
5000.0,22528,policy_hardware,6775956698149465,,,initial_final,6775956697829289,0,,6775953244013572,6775955037873976,1107296256,22672,kv_transfer,8,0,6775956697834709,initial,144,1144,36,6775956698024046,p-35849c76c94f7b55,1,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,measurement,-1,6775953207588378,True,1107296256,1107297400
5000.0,22784,policy_hardware,6775959477947401,,,initial_final,6775959477624625,0,,6775956358904377,6775958349192717,1119879168,22926,kv_transfer,8,0,6775959477626345,initial,142,1157,36,6775959477813053,p-35849c76c94f7b55,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,measurement,-1,6775953209348946,True,1119879168,1119880325
5000.0,24320,policy_hardware,6775961195935444,,,initial_final,6775961195475879,0,,6775957083153332,6775960261485501,1195376640,24455,kv_transfer,8,0,6775961195477029,initial,135,1235,36,6775961195732186,p-35849c76c94f7b55,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,measurement,-1,6775953210506142,True,1195376640,1195377875
5000.0,25088,policy_hardware,6775963270131336,,,initial_final,6775963269751431,0,,6775959014598342,6775962335519356,1233125376,25229,kv_transfer,8,0,6775963269753141,initial,141,1274,36,6775963269979038,p-35849c76c94f7b55,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,measurement,-1,6775953211516990,True,1233125376,1233126650
5000.0,26368,policy_hardware,6775965438265499,,,initial_final,6775965437903614,0,,6775961108116789,6775964409618080,1296039936,26508,kv_transfer,8,0,6775965437905064,initial,140,1339,36,6775965438090072,p-35849c76c94f7b55,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,measurement,-1,6775953212658286,True,1296039936,1296041275
5000.0,27392,policy_hardware,6775969808767866,,,initial_final,6775969808442630,0,,6775963202695812,6775966377568343,1346371584,27535,kv_transfer,8,0,6775969808443950,initial,143,1391,36,6775969808625328,p-35849c76c94f7b55,1,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,measurement,-1,6775953213717703,True,1346371584,1346372975
5000.0,22784,policy_hardware,6776010139909008,,,initial_final,6776010138328697,0,,6776004169385672,6776005968564473,1119879168,22926,kv_transfer,8,0,6776010138330677,initial,142,1157,36,6776010139687261,p-ec6c331620bf81c8,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,measurement,-1,6776004114553656,True,1119879168,1119880325
5000.0,24320,policy_hardware,6776010075914869,,,initial_final,6776010074369066,0,,6776005976093756,6776007895146341,1195376640,24455,kv_transfer,8,0,6776010074369676,initial,135,1235,36,6776010074745292,p-ec6c331620bf81c8,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,measurement,-1,6776004115657274,True,1195376640,1195377875
5000.0,25088,policy_hardware,6776012449295229,,,initial_final,6776012448820944,0,,6776009421546167,6776011634162176,1233125376,25229,kv_transfer,8,0,6776012448822714,initial,141,1274,36,6776012449137010,p-ec6c331620bf81c8,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,measurement,-1,6776004117417473,True,1233125376,1233126650
5000.0,26368,policy_hardware,6776015908484860,,,initial_final,6776015908153363,0,,6776012769628894,6776014921859382,1296039936,26508,kv_transfer,8,0,6776015908154613,initial,140,1339,36,6776015908338731,p-ec6c331620bf81c8,1,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,measurement,-1,6776004118369792,True,1296039936,1296041275
5000.0,0,policy_hardware,6776010139508503,,,initial_final,6776010137904932,0,,,,0,20370,replay,8,0,6776010137906422,initial,20370,0,36,6776010138779641,p-ec6c331620bf81c8,1,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,measurement,-1,6776004119294451,True,0,0
5000.0,0,policy_hardware,6776010076098936,,,initial_final,6776010070051046,0,,,,0,20624,replay,8,0,6776010070052686,initial,20624,0,36,6776010075544543,p-ec6c331620bf81c8,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,measurement,-1,6776004119919954,True,0,0
