committed_before_power_window,committed_by_deadline,condition,context_profile,episode,hit_power_target,match_id,policy,power_attainment_fraction,power_target_fraction,required_deadline_s,sample_id,scenario_id,token_distribution
6,8,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,36,False,c0c05fc746e0a8f6,kv_only,0.8270757220953188,1.0,19.0,8d9fab9c9c062e5e,p-b08ea8d5cd001be9,uniform_range
6,8,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,36,False,c0c05fc746e0a8f6,greedy,0.8110273874240227,1.0,19.0,8d9fab9c9c062e5e,p-35849c76c94f7b55,uniform_range
7,8,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,36,False,c0c05fc746e0a8f6,queue_haul,0.9326140118243496,1.0,19.0,8d9fab9c9c062e5e,p-ec6c331620bf81c8,uniform_range
0,0,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,36,False,c0c05fc746e0a8f6,replay_only,0,1.0,19.0,8d9fab9c9c062e5e,p-a6778664ab82b02c,uniform_range
8,8,coding-uniform_range-5000mbps-30s,coding,17,True,40df8fd1f3a9a224,kv_only,1,1.0,30.0,0d60f79a46480bab,p-9e64a5b8ba3382ab,uniform_range
8,8,coding-uniform_range-5000mbps-30s,coding,17,True,40df8fd1f3a9a224,queue_haul,1,1.0,30.0,0d60f79a46480bab,p-ce2a167dc5382df8,uniform_range
0,0,coding-uniform_range-5000mbps-30s,coding,17,False,40df8fd1f3a9a224,replay_only,0,1.0,30.0,0d60f79a46480bab,p-39a882f3d8ae76f3,uniform_range
8,8,coding-uniform_range-5000mbps-30s,coding,17,True,40df8fd1f3a9a224,greedy,1,1.0,30.0,0d60f79a46480bab,p-74d1d176747eef98,uniform_range
8,8,interactive_coding-uniform_support-10000mbps-19s,interactive_coding,31,True,acae31cec912ad4e,queue_haul,1,1.0,19.0,1ace3bff016800ba,p-823bc51d4301a75e,uniform_support
8,8,interactive_coding-uniform_support-10000mbps-19s,interactive_coding,31,True,acae31cec912ad4e,kv_only,1,1.0,19.0,1ace3bff016800ba,p-cd3bb911fae7caa1,uniform_support
0,0,interactive_coding-uniform_support-10000mbps-19s,interactive_coding,31,False,acae31cec912ad4e,replay_only,0,1.0,19.0,1ace3bff016800ba,p-da6be04fb244ca0a,uniform_support
8,8,interactive_coding-uniform_support-10000mbps-19s,interactive_coding,31,True,acae31cec912ad4e,greedy,1,1.0,19.0,1ace3bff016800ba,p-e8042603af458214,uniform_support
8,8,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,40,True,d0e61178d486fec7,kv_only,1,1.0,30.0,9b2ac03a155c9958,p-178c812a8ae25bcc,uniform_range
0,8,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,40,False,d0e61178d486fec7,replay_only,0.08503814164172079,1.0,30.0,9b2ac03a155c9958,p-80c3a03c0ebbf759,uniform_range
8,8,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,40,True,d0e61178d486fec7,greedy,1,1.0,30.0,9b2ac03a155c9958,p-7b458a7652400ada,uniform_range
8,8,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,40,True,d0e61178d486fec7,queue_haul,1,1.0,30.0,9b2ac03a155c9958,p-3bf2c484d6df93ca,uniform_range
8,8,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,41,True,0ad343c57832d628,kv_only,1,1.0,30.0,18d0936d67b4d0ad,p-f443f81967bd9418,uniform_range
8,8,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,41,True,0ad343c57832d628,greedy,1,1.0,30.0,18d0936d67b4d0ad,p-c6909a3d3f53e29c,uniform_range
8,8,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,41,True,0ad343c57832d628,queue_haul,1,1.0,30.0,18d0936d67b4d0ad,p-f1f47d901c883583,uniform_range
0,0,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,41,False,0ad343c57832d628,replay_only,0,1.0,30.0,18d0936d67b4d0ad,p-67ab23b02855c008,uniform_range
8,8,interactive_coding-uniform_support-10000mbps-19s,interactive_coding,32,True,09065de5c0bd4b92,greedy,1,1.0,19.0,a6480ed00063b837,p-170771fa477875c7,uniform_support
8,8,interactive_coding-uniform_support-10000mbps-19s,interactive_coding,32,True,09065de5c0bd4b92,kv_only,1,1.0,19.0,a6480ed00063b837,p-93095f201dc5ab78,uniform_support
8,8,interactive_coding-uniform_support-10000mbps-19s,interactive_coding,32,True,09065de5c0bd4b92,queue_haul,1,1.0,19.0,a6480ed00063b837,p-171d4ac83aa535d7,uniform_support
0,0,interactive_coding-uniform_support-10000mbps-19s,interactive_coding,32,False,09065de5c0bd4b92,replay_only,0,1.0,19.0,a6480ed00063b837,p-5ded204dd494cb96,uniform_support
8,8,agentic_tool_loop-uniform_range-5000mbps-30s,agentic_tool_loop,64,True,b4d5b91481666125,queue_haul,1,1.0,30.0,7d4087ac933234e8,p-5fc9720a7a7c292b,uniform_range
8,8,agentic_tool_loop-uniform_range-5000mbps-30s,agentic_tool_loop,64,True,b4d5b91481666125,kv_only,1,1.0,30.0,7d4087ac933234e8,p-07c32462f780aad9,uniform_range
1,8,agentic_tool_loop-uniform_range-5000mbps-30s,agentic_tool_loop,64,False,b4d5b91481666125,replay_only,0.724774273144512,1.0,30.0,7d4087ac933234e8,p-7181fd6f8fb8f493,uniform_range
8,8,agentic_tool_loop-uniform_range-5000mbps-30s,agentic_tool_loop,64,True,b4d5b91481666125,greedy,1,1.0,30.0,7d4087ac933234e8,p-c5cbfe7cafa25ab2,uniform_range
8,8,agentic_tool_loop-uniform_support-5000mbps-30s,agentic_tool_loop,53,True,72dbbd30660430ef,greedy,1,1.0,30.0,5a20eb22f011ad34,p-5307b739ca52de63,uniform_support
0,0,agentic_tool_loop-uniform_support-5000mbps-30s,agentic_tool_loop,53,False,72dbbd30660430ef,replay_only,0,1.0,30.0,5a20eb22f011ad34,p-cc64f9c45cfe8314,uniform_support
8,8,agentic_tool_loop-uniform_support-5000mbps-30s,agentic_tool_loop,53,True,72dbbd30660430ef,queue_haul,1,1.0,30.0,5a20eb22f011ad34,p-0aabac2f07022089,uniform_support
8,8,agentic_tool_loop-uniform_support-5000mbps-30s,agentic_tool_loop,53,True,72dbbd30660430ef,kv_only,1,1.0,30.0,5a20eb22f011ad34,p-abe52aae6f3f7624,uniform_support
8,8,coding-uniform_support-5000mbps-30s,coding,4,True,8914ac8e339a4c12,queue_haul,1,1.0,30.0,db2cb3dabc3d77dc,p-6d754c725a87113a,uniform_support
0,1,coding-uniform_support-5000mbps-30s,coding,4,False,8914ac8e339a4c12,replay_only,0.045654544233887755,1.0,30.0,db2cb3dabc3d77dc,p-3cb308dd577de923,uniform_support
8,8,coding-uniform_support-5000mbps-30s,coding,4,True,8914ac8e339a4c12,greedy,1,1.0,30.0,db2cb3dabc3d77dc,p-788bce63dac8ef92,uniform_support
8,8,coding-uniform_support-5000mbps-30s,coding,4,True,8914ac8e339a4c12,kv_only,1,1.0,30.0,db2cb3dabc3d77dc,p-9911eb933860bf23,uniform_support
8,8,agentic_tool_loop-uniform_range-10000mbps-19s,agentic_tool_loop,68,True,ce2902099c9ab7b9,greedy,1,1.0,19.0,e1a89d0663b79914,p-7ebaa47fbbac9235,uniform_range
0,0,agentic_tool_loop-uniform_range-10000mbps-19s,agentic_tool_loop,68,False,ce2902099c9ab7b9,replay_only,0,1.0,19.0,e1a89d0663b79914,p-01b1d855d40ffc71,uniform_range
8,8,agentic_tool_loop-uniform_range-10000mbps-19s,agentic_tool_loop,68,True,ce2902099c9ab7b9,queue_haul,1,1.0,19.0,e1a89d0663b79914,p-04380647d3d79bb7,uniform_range
8,8,agentic_tool_loop-uniform_range-10000mbps-19s,agentic_tool_loop,68,True,ce2902099c9ab7b9,kv_only,1,1.0,19.0,e1a89d0663b79914,p-ed319817b3ef8dd5,uniform_range
8,8,agentic_tool_loop-uniform_support-5000mbps-30s,agentic_tool_loop,51,True,0bcfe6324b337c30,queue_haul,1,1.0,30.0,62cdea95dc531af1,p-14fe3fd170e34694,uniform_support
8,8,agentic_tool_loop-uniform_support-5000mbps-30s,agentic_tool_loop,51,True,0bcfe6324b337c30,kv_only,1,1.0,30.0,62cdea95dc531af1,p-66814618a2c95df2,uniform_support
8,8,agentic_tool_loop-uniform_support-5000mbps-30s,agentic_tool_loop,51,True,0bcfe6324b337c30,greedy,1,1.0,30.0,62cdea95dc531af1,p-e93fdec923e2b4de,uniform_support
0,8,agentic_tool_loop-uniform_support-5000mbps-30s,agentic_tool_loop,51,False,0bcfe6324b337c30,replay_only,0.8565821448682797,1.0,30.0,62cdea95dc531af1,p-41ff65303923f3f7,uniform_support
8,8,interactive_coding-uniform_range-10000mbps-30s,interactive_coding,47,True,2bc3cdc9f6078d11,queue_haul,1,1.0,30.0,18d0936d67b4d0ad,p-eff36227d2c08b96,uniform_range
8,8,interactive_coding-uniform_range-10000mbps-30s,interactive_coding,47,True,2bc3cdc9f6078d11,kv_only,1,1.0,30.0,18d0936d67b4d0ad,p-6e99f6887dc94c3b,uniform_range
0,8,interactive_coding-uniform_range-10000mbps-30s,interactive_coding,47,False,2bc3cdc9f6078d11,replay_only,0.2866803755010476,1.0,30.0,18d0936d67b4d0ad,p-dc03ef17ae4faedc,uniform_range
8,8,interactive_coding-uniform_range-10000mbps-30s,interactive_coding,47,True,2bc3cdc9f6078d11,greedy,1,1.0,30.0,18d0936d67b4d0ad,p-f119b8c459e710e3,uniform_range
0,0,agentic_tool_loop-uniform_support-10000mbps-19s,agentic_tool_loop,55,False,25470f77e2fbe3de,replay_only,0,1.0,19.0,a26bd21b8490afbe,p-91f4b768db6e15b0,uniform_support
8,8,agentic_tool_loop-uniform_support-10000mbps-19s,agentic_tool_loop,55,True,25470f77e2fbe3de,queue_haul,1,1.0,19.0,a26bd21b8490afbe,p-2d34fbd95ae5b808,uniform_support
8,8,agentic_tool_loop-uniform_support-10000mbps-19s,agentic_tool_loop,55,True,25470f77e2fbe3de,greedy,1,1.0,19.0,a26bd21b8490afbe,p-2a8a67e2adf7cf06,uniform_support
8,8,agentic_tool_loop-uniform_support-10000mbps-19s,agentic_tool_loop,55,True,25470f77e2fbe3de,kv_only,1,1.0,19.0,a26bd21b8490afbe,p-c69c7453ce140f49,uniform_support
8,8,coding-uniform_range-10000mbps-30s,coding,21,True,519762fd0fe4f2bd,kv_only,1,1.0,30.0,1672b768e36f6534,p-63bc4db486b11203,uniform_range
8,8,coding-uniform_range-10000mbps-30s,coding,21,True,519762fd0fe4f2bd,greedy,1,1.0,30.0,1672b768e36f6534,p-b0265ba2e3d8a6b6,uniform_range
0,0,coding-uniform_range-10000mbps-30s,coding,21,False,519762fd0fe4f2bd,replay_only,0,1.0,30.0,1672b768e36f6534,p-0522cbbca700e62a,uniform_range
8,8,coding-uniform_range-10000mbps-30s,coding,21,True,519762fd0fe4f2bd,queue_haul,1,1.0,30.0,1672b768e36f6534,p-b93974eca26e76a7,uniform_range
0,8,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,39,False,f5f514adecb8dd54,replay_only,0.8223107913521898,1.0,30.0,8d9fab9c9c062e5e,p-e1d99b6dcac43a51,uniform_range
8,8,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,39,True,f5f514adecb8dd54,queue_haul,1,1.0,30.0,8d9fab9c9c062e5e,p-db45b83b9d443467,uniform_range
8,8,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,39,True,f5f514adecb8dd54,kv_only,1,1.0,30.0,8d9fab9c9c062e5e,p-6248397c6b4b9f0a,uniform_range
8,8,interactive_coding-uniform_range-5000mbps-30s,interactive_coding,39,True,f5f514adecb8dd54,greedy,1,1.0,30.0,8d9fab9c9c062e5e,p-9b74efc957335775,uniform_range
8,8,coding-uniform_support-10000mbps-19s,coding,8,True,a22f4608cf0199a8,greedy,1,1.0,19.0,0a1e15e4cd4e9e44,p-0c3c8043e31de681,uniform_support
