activity,bandwidth_mbps,catch_up_new_tokens,concurrency,continuation_difference_s,continuation_ttft_s,deadline_met,deadline_s,destination_added_energy_j,destination_added_power_w,destination_baseline_power_w,destination_mean_power_w,elapsed_s,initial_requests_s,initial_time_to_first_responses_s,kind,kv_network_window_s,match_id,measured_kv_payload_bytes,measured_kv_throughput_mbps,measured_kv_wire_bytes,measured_processed_tokens,measured_prompt_tokens,measured_replay_throughput_tokens_s,median_service_pause_s,method,migration_s,repeat,scenario_id,session_set,source_added_energy_j,source_added_power_w,source_baseline_power_w,source_mean_power_w,status,total_added_energy_j
none,5000.0,0,8,,0.460763955,True,180.0,,,,,34.651198949,0.0,0.0,control,0.0,c0c05fc746e0a8f6,0,0.0,0,0,0,0.0,0.0,replay,0.0,36,c-c0c05fc746e0a8f6,"claude:92cc24b6-ac8d-5231-bb2d-33b876557766,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb",,,,,complete,
none,5000.0,0,8,0.06243911950000003,0.5232030745,True,180.0,266.05572570861017,15.472727727580477,82.37,97.84272772758048,53.860054846,17.194774408,16.57781407,migration,17.195140404,c0c05fc746e0a8f6,9298771968,4326.238787250323,9298785421,1135,190319,0.0,0.00032353199999999996,kv_transfer,17.195140404,36,p-b08ea8d5cd001be9,"claude:92cc24b6-ac8d-5231-bb2d-33b876557766,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb",42.194489365659855,2.453861287218359,87.39,89.84386128721836,complete,308.25021507427005
none,5000.0,0,8,0.026327947999999934,0.48709190299999994,True,180.0,1452.6717465396007,87.4899471316912,82.37,169.8599471316912,50.573079006,16.603545199,15.945116558,migration,16.603870435,c0c05fc746e0a8f6,7298088960,3516.337593488334,7298101726,41839,190319,0.0,0.000369315,mixed,16.603870435,36,p-35849c76c94f7b55,"claude:92cc24b6-ac8d-5231-bb2d-33b876557766,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb",47.28924878367985,2.848085870629106,87.39,90.2380858706291,complete,1499.9609953232805
none,5000.0,0,8,0.0635118335,0.5242757885,True,180.0,1363.6911530234497,87.05622277779113,82.37,169.42622277779114,49.726129357,15.664138838,15.027153059,migration,15.664487954,c0c05fc746e0a8f6,7298088960,3727.208410479269,7298101406,41839,190319,0.0,0.001008854,mixed,15.664487954,36,p-ec6c331620bf81c8,"claude:92cc24b6-ac8d-5231-bb2d-33b876557766,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb",46.69817814739071,2.9811493541648844,87.39,90.37114935416488,complete,1410.3893311708405
none,5000.0,0,8,0.031241123499999968,0.49200507849999997,True,180.0,6149.653291985839,232.23932235841232,82.37,314.6093223584123,60.629603962,26.479374649,25.916137715,migration,25.977916158,c0c05fc746e0a8f6,0,0.002048201236634386,6651,190319,190319,7343.648274019059,0.000664768,replay,26.479810695,36,p-a6778664ab82b02c,"claude:92cc24b6-ac8d-5231-bb2d-33b876557766,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb",37.45513000350988,1.4144787678026063,87.39,88.8044787678026,complete,6187.108421989349
none,5000.0,0,8,0.008323539000000046,0.5279792640000001,True,180.0,251.09330176109034,12.04198733195679,82.37,94.4119873319568,62.087695773,20.851095727,20.216421472,migration,20.851483633,40df8fd1f3a9a224,10921967616,4190.391110477965,10921983957,1135,223343,0.0,0.000412411,kv_transfer,20.851483633,17,p-9e64a5b8ba3382ab,"claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,claude:eaad8d63-63bf-7139-f930-0ef47fa45253",55.28140989971954,2.6511979134295274,87.39,90.04119791342953,complete,306.3747116608099
none,5000.0,0,8,0.0024126534999999727,0.5220683785,True,180.0,1838.5539368443797,104.30060623398887,82.37,186.67060623398888,58.25313089,17.627064041,16.979115515,migration,17.627452066,40df8fd1f3a9a224,8367636480,3797.554181135278,8367650537,53103,223343,0.0,0.0004449705,mixed,17.627452066,17,p-ce2a167dc5382df8,"claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,claude:eaad8d63-63bf-7139-f930-0ef47fa45253",58.23517617444994,3.303663850930249,87.39,90.69366385093025,complete,1896.7891130188295
none,5000.0,0,8,,0.519655725,True,180.0,,,,,40.550667255,0.0,0.0,control,0.0,40df8fd1f3a9a224,0,0.0,0,0,0,0.0,0.0,replay,0.0,17,c-40df8fd1f3a9a224,"claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,claude:eaad8d63-63bf-7139-f930-0ef47fa45253",,,,,complete,
none,5000.0,0,8,-0.005491203000000056,0.514164522,True,180.0,7408.008983223819,222.94842832591667,82.37,305.31842832591667,75.519257283,33.22655945,32.683111634,migration,32.859264979,40df8fd1f3a9a224,0,0.0019019293353013376,7812,223343,223343,6833.590464123921,0.0007550165,replay,33.22745551,17,p-39a882f3d8ae76f3,"claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,claude:eaad8d63-63bf-7139-f930-0ef47fa45253",61.548498374310206,1.8523385985961767,87.39,89.24233859859618,complete,7469.557481598129
none,5000.0,0,8,0.003644573999999956,0.523300299,True,180.0,2277.25152527276,152.07189720389724,82.37,234.44189720389724,57.569967278,14.974466438,14.244480565,migration,14.974834714,40df8fd1f3a9a224,7876902912,4208.0814846715375,7876915587,63087,223343,0.0,0.005521256,mixed,14.974834714,17,p-74d1d176747eef98,"claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,claude:eaad8d63-63bf-7139-f930-0ef47fa45253",55.43302380056996,3.7017452852915653,87.39,91.09174528529157,complete,2332.68454907333
