catch_up_finish_s,catch_up_start_s,condition,context_profile,context_tokens,continuation_start_s,continuation_ttft_delta_s,continuation_ttft_s,episode,first_token_s,match_id,method,migration_finish_s,migration_start_s,migration_ttft_s,order,policy,quiesce_s,reaction_commit_s,reaction_readiness_s,required_deadline_s,sample_id,scenario_id,scheduler_wait_s,session_id,token_distribution
,,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,20224,20.016924677,0.006189596000000019,0.457126917,36,20.474051594,c0c05fc746e0a8f6,kv_transfer,7.484568347,0.00133079,7.1621799,0,kv_only,7.484570587,7.485243029,7.16351069,19.0,8d9fab9c9c062e5e,p-b08ea8d5cd001be9,0.00133079,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,uniform_range
,,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,20480,18.593841661,0.002418366000000005,0.528664567,36,19.122506228,c0c05fc746e0a8f6,kv_transfer,5.737660646,0.00193611,5.531930592,1,kv_only,5.737662456,5.737933913,5.533866702,19.0,8d9fab9c9c062e5e,p-b08ea8d5cd001be9,0.00193611,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,uniform_range
,,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,22528,19.307492035,0.06286847099999998,0.520330702,36,19.827822737,c0c05fc746e0a8f6,kv_transfer,3.081572663,0.002158347,2.836302337,2,kv_only,3.081575503,3.082048508,2.838460684,19.0,8d9fab9c9c062e5e,p-b08ea8d5cd001be9,0.002158347,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,uniform_range
,,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,22784,21.256374481,0.07081177,0.529817074,36,21.786191555,c0c05fc746e0a8f6,kv_transfer,9.259756658,0.003623835,9.048716461,3,kv_only,9.259757638,9.260033165,9.052340296,19.0,8d9fab9c9c062e5e,p-b08ea8d5cd001be9,0.003623835,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,uniform_range
,,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,24320,21.971514948,0.028176425000000005,0.464253506,36,22.435768454,c0c05fc746e0a8f6,kv_transfer,11.156730422,0.004462562,10.992396529,4,kv_only,11.156731422,11.157017758,10.996859091,19.0,8d9fab9c9c062e5e,p-b08ea8d5cd001be9,0.004462562,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,uniform_range
,,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,25088,17.930315559,-0.005354169000000075,0.526075447,36,18.456391006,c0c05fc746e0a8f6,kv_transfer,13.204504058,0.005195271,13.032826501,5,kv_only,13.204505028,13.204836645,13.038021772,19.0,8d9fab9c9c062e5e,p-b08ea8d5cd001be9,0.005195271,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,uniform_range
,,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,26368,20.656725506,-0.0033610419999999808,0.459161564,36,21.11588707,c0c05fc746e0a8f6,kv_transfer,15.285829835,0.006483651,15.114966305,6,kv_only,15.285831335,15.286146782,15.121449956,19.0,8d9fab9c9c062e5e,p-b08ea8d5cd001be9,0.006483651,codex:2604c640-6bc9-2d90-5a8b-ae20bc5081fa,uniform_range
,,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,27392,17.19773014,-0.009840045999999991,0.552955302,36,17.750685442,c0c05fc746e0a8f6,kv_transfer,17.196105198,0.007509865,16.968048159,7,kv_only,17.196108698,17.196471194,16.975558024,19.0,8d9fab9c9c062e5e,p-b08ea8d5cd001be9,0.007509865,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,uniform_range
,,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,20224,19.348362524,0.004698272000000003,0.455635593,36,19.803998117,c0c05fc746e0a8f6,replay,3.498932344,0.001227965,3.183439726,0,greedy,3.498933574,3.49931628,3.184667691,19.0,8d9fab9c9c062e5e,p-35849c76c94f7b55,0.001227965,codex:1229e212-7c9e-fc46-e948-4c87690d9e5e,uniform_range
,,interactive_coding-uniform_range-5000mbps-19s,interactive_coding,20480,17.998088201,-0.005699002999999925,0.520547198,36,18.518635399,c0c05fc746e0a8f6,replay,16.465310751,0.002877825,16.274254759,1,greedy,16.465312071,16.465738286,16.277132584,19.0,8d9fab9c9c062e5e,p-35849c76c94f7b55,0.002877825,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,uniform_range
