stage,direction,blocks,total_work,added_work,p90_ttft_s_median,p90_mean_tpot_s_median,p90_ttft_s_minimum,p90_mean_tpot_s_minimum,p90_ttft_s_maximum,p90_mean_tpot_s_maximum
transition,prefill_heavy,3,0.49966926938486733,0.24984502529595132,0.2245657256,0.043436525542519686,0.22387989900000002,0.04331848134488189,0.2274437522,0.043880813130708664
transition,balanced,3,0.4999721148287353,0.2501478707398193,0.137954773,0.036506835078740155,0.13722013049999998,0.03647027912204724,0.1394880115,0.03710279358897638
transition,decode_heavy,3,0.49968570629541015,0.24986146220649413,0.1234549919,0.03512409724330709,0.1219328729,0.03488026583779528,0.1242833476,0.03524660225511811
