hardware,stage,direction,target_rho,measured_rho_median,offered_prefill_rho_median,offered_decode_rho_median,blocks,physically_feasible,evidence_feasible,feasible_blocks,p90_ttft_s_median,p90_mean_tpot_s_median,p90_ttft_s_minimum,p90_mean_tpot_s_minimum,p90_ttft_s_maximum,p90_mean_tpot_s_maximum
a100,discovery,prefill_heavy,0.25,0.24982424408891601,0.07504059876972655,0.17478364531918944,3,True,True,3,0.1079099716,0.033253302834645664,0.107871247,0.03315922696850394,0.1093782198,0.03325747767401575
a100,discovery,prefill_heavy,0.5,0.5000036175251545,0.3082456487207682,0.1917579688043864,3,True,True,3,0.20610399140000002,0.043661809247244096,0.20498993640000002,0.04328899245511811,0.2070951872,0.04374320332125984
a100,discovery,prefill_heavy,0.7,0.6993823758313272,0.49409683481712235,0.20528554101420493,3,True,True,3,0.2337749106,0.05983176003149606,0.2329450216,0.05961722014015748,0.234654296,0.06019099454173228
a100,discovery,prefill_heavy,0.85,0.8495992485277587,0.6341217010541016,0.21547754747365724,3,False,False,0,0.38995064960000003,0.10500596924094488,0.3895379224,0.10476912759527558,0.3926290934,0.1051170712047244
a100,discovery,prefill_heavy,0.95,0.9495617492675659,0.7273018847681639,0.22225986449940188,3,False,False,0,0.5181541736,0.15610651778267717,0.5157313558,0.15560742434645672,0.5194794868,0.15627456276220472
a100,discovery,prefill_heavy,1.1,1.0997786219639971,0.8673267510051431,0.23245187095885417,3,False,False,0,24.0637426884,0.3318419913937008,23.296529287000002,0.331485578311811,24.3151926286,0.3320230133685039
a100,discovery,decode_heavy,0.25,0.24982424408891601,0.07504059876972655,0.17478364531918944,3,True,True,3,0.1079099716,0.033253302834645664,0.107871247,0.03315922696850394,0.1093782198,0.03325747767401575
a100,discovery,decode_heavy,0.5,0.4994738112622558,0.08156448458304036,0.4179093266792155,3,True,True,3,0.1177299978,0.03484342949291338,0.1176593704,0.034764545426771654,0.11813745,0.03484717039055118
a100,discovery,decode_heavy,0.7,0.6991934650009277,0.08678359323369139,0.6124098717672363,3,True,True,3,0.1308664208,0.037263064919685035,0.12895262,0.03710094079055118,0.13271448819999998,0.03727560860944882
a100,discovery,decode_heavy,0.85,0.8495921066882812,0.09071383663829752,0.7588782700499838,3,False,False,1,0.13871577100000002,0.03936696006771654,0.136300491,0.038868746796850394,0.1408598108,0.0397599510503937
a100,discovery,decode_heavy,0.95,0.9500608349409667,0.09333930288024088,0.856721532060726,3,False,False,1,0.146379531,0.04101375880629921,0.14600585900000002,0.04080874892440945,0.1473217836,0.04113533771811023
a100,discovery,decode_heavy,1.1,1.099241673861621,0.09723772245161132,1.0020039514100099,3,False,False,2,0.1568525684,0.04365715415433071,0.1558965132,0.043339175618897635,0.1577510616,0.04437562882204724
a100,held_out,prefill_heavy,0.25,0.24982424408891601,0.07504059876972655,0.17478364531918944,3,True,True,3,0.1087485376,0.033155605234645676,0.10751308479999999,0.0331130997472441,0.109836411,0.03334236211023622
a100,held_out,prefill_heavy,0.7,0.6993823758313272,0.49409683481712235,0.20528554101420493,3,False,False,2,0.23470365459999998,0.059732632930708664,0.2327980354,0.059550463653543315,0.2353760068,0.05993162910866141
a100,held_out,prefill_heavy,0.85,0.8495992485277587,0.6341217010541016,0.21547754747365724,3,True,False,0,0.3893600436,0.10358712647559054,0.38871875660000005,0.10242829669133859,0.391011404,0.10522019748031496
a100,held_out,balanced,0.25,0.24982424408891601,0.07504059876972655,0.17478364531918944,3,True,True,3,0.1087485376,0.033155605234645676,0.10751308479999999,0.0331130997472441,0.109836411,0.03334236211023622
a100,held_out,balanced,0.7,0.6994726542845947,0.29905651687396645,0.40041613741062826,3,False,False,2,0.1528610022,0.042653526673228345,0.15283039660000003,0.04252353834330709,0.1540273208,0.042677261272440946
a100,held_out,decode_heavy,0.25,0.24982424408891601,0.07504059876972655,0.17478364531918944,3,True,True,3,0.1087485376,0.033155605234645676,0.10751308479999999,0.0331130997472441,0.109836411,0.03334236211023622
a100,held_out,decode_heavy,0.7,0.6991934650009277,0.08678359323369139,0.6124098717672363,3,False,False,2,0.1317178922,0.037161653017322833,0.1309299146,0.03691428833228346,0.1318514842,0.03745977837795276
a100,held_out,decode_heavy,0.85,0.8495921066882812,0.09071383663829752,0.7588782700499838,3,False,False,1,0.1389982656,0.039049682211023624,0.1384316378,0.038798148322834645,0.1397033036,0.03923780645354331
