auroc,brier,brier_ci_high,brier_ci_low,ece,feasible,log_loss,model,n_checkpoints_test,n_runs_test,n_runs_train,note,positive_rate_data,predicted_positive_rate,scheme,source_slice,target
0.3226484796817278,0.14254073326811478,0.1712694427693304,0.11246131423100533,0.0008882604401373728,True,0.4607788715884999,constant,499.0,20.0,20.0,,0.17034068136272545,0.16945242092258808,loro,swe_agent_pilot,y_future_progress_drop_h5
0.9768968456947996,0.03933643964066982,0.062166248903801305,0.01928791333921981,0.03238968338341235,True,0.1380393041830883,ledger_basic,499.0,20.0,20.0,,0.17034068136272545,0.17603268313844114,loro,swe_agent_pilot,y_future_progress_drop_h5
0.6255754475703325,0.14162896462928085,0.17241873587468853,0.11018479212185608,0.02851461804396877,True,0.4521018592828871,time_only,499.0,20.0,20.0,,0.17034068136272545,0.17870726511287127,loro,swe_agent_pilot,y_future_progress_drop_h5
0.0,0.08615384166740915,0.19274840893447798,0.008889465105019891,0.0027273350012631953,True,0.33809680318583135,constant,599.0,20.0,20.0,,0.08848080133555926,0.09120813633682245,loro,swe_agent_pilot,y_submit_without_validation
0.6764116386757896,0.08012378174179058,0.16729415550487264,0.016531865250916378,0.07785605204632706,True,0.2699740522852401,ledger_basic,599.0,20.0,20.0,,0.08848080133555926,0.09065564170211168,loro,swe_agent_pilot,y_submit_without_validation
0.5727071670467897,0.08478658305945336,0.18496293661993504,0.01349919831401533,0.05250752877123918,True,0.3076529577408623,time_only,599.0,20.0,20.0,,0.08848080133555926,0.08924769511865847,loro,swe_agent_pilot,y_submit_without_validation
0.0,0.2800195379670617,0.2954411241020299,0.26505371444000175,0.24734505055455425,True,0.7535145140080576,constant,599.0,20.0,20.0,,0.4674457429048414,0.47128383227937964,loro,swe_agent_pilot,y_success_eventual
0.4103784146887595,0.2911810432855222,0.34012599693274487,0.24343309525256646,0.19603113058036073,True,0.8018607848014835,ledger_basic,599.0,20.0,20.0,,0.4674457429048414,0.4593247908541314,loro,swe_agent_pilot,y_success_eventual
0.281180026869682,0.28256053563653377,0.30522719130921944,0.262896886038202,0.18756627930336336,True,0.7606476215887011,time_only,599.0,20.0,20.0,,0.4674457429048414,0.4788080376595256,loro,swe_agent_pilot,y_success_eventual
,,,,,False,,constant,,,,insufficient data,,,loro,swe_agent_pilot,y_timeout
,,,,,False,,ledger_basic,,,,insufficient data,,,loro,swe_agent_pilot,y_timeout
,,,,,False,,time_only,,,,insufficient data,,,loro,swe_agent_pilot,y_timeout
,,,,,False,,constant,,,,insufficient data,,,loro,swe_agent_pilot,y_validation_new_work_h5
,,,,,False,,ledger_basic,,,,insufficient data,,,loro,swe_agent_pilot,y_validation_new_work_h5
,,,,,False,,time_only,,,,insufficient data,,,loro,swe_agent_pilot,y_validation_new_work_h5
,,,,,False,,constant,,,,insufficient data,,,loro,tb_live,y_future_progress_drop_h5
,,,,,False,,ledger_basic,,,,insufficient data,,,loro,tb_live,y_future_progress_drop_h5
,,,,,False,,time_only,,,,insufficient data,,,loro,tb_live,y_future_progress_drop_h5
,,,,,False,,constant,,,,insufficient data,,,loro,tb_live,y_submit_without_validation
,,,,,False,,ledger_basic,,,,insufficient data,,,loro,tb_live,y_submit_without_validation
,,,,,False,,time_only,,,,insufficient data,,,loro,tb_live,y_submit_without_validation
