workload,input_sessions,median_served_T,policy,deadline_s,target_frac,target_w,full_source_drop_w,planned_source_drop_w,planned_shortfall_w,planned_hit,deadline_hit,measured_source_drop_w,measured_sink_rise_w,total_first_token_s,total_completion_s,max_completion_s,sessions,run_root
small,2,4686.0,greedy,120.0,0.25,80.71989510204462,322.87958040817847,259.5146579550389,0.0,True,True,-35.743333333333354,22.683333333333323,2.2816030979156494,2.3954215049743652,2.3954215049743652,1,queue-haul/outputs/stage1c_old_persistent_smoke_two/greedy_D120_T0p25
small,2,4686.0,all-r,120.0,0.25,80.71989510204462,322.87958040817847,259.5146579550389,0.0,True,True,-30.208333333333343,124.71166666666669,2.0593271255493164,2.059394121170044,2.059394121170044,1,queue-haul/outputs/stage1c_old_persistent_smoke_two/all-r_D120_T0p25
