condition_index,pack,destination_load,requested_shed_w,maximum_planned_shed_w,target_feasible,selected_sessions,predicted_makespan_s,bottleneck
0,4x16k,0/0,40.27718026360748,50.346475329509346,True,4,8.137419592065442,service:pool/southcentralus:0
1,4x16k,0.5/0.5,40.27718026360748,21.911411990270864,False,3,5.424946394710295,service:pool/southcentralus:0
2,4x16k,0.85/0.85,40.27718026360748,2.7424159929289544,False,1,2.7124731973551475,service:pool/southcentralus:0
3,4x16k,0.9/0.9,40.27718026360748,2.7424159929289544,False,1,2.7124731973551475,service:pool/southcentralus:0
4,4x16k,0.95/0.95,40.27718026360748,0.0,False,0,0,
5,8x16k,0/0,40.7292364772494,50.91154559656175,True,8,18.98731238148603,service:pool/southcentralus:0
6,8x16k,0.5/0.5,40.7292364772494,23.18322059337656,False,7,16.274839184130883,service:pool/southcentralus:0
7,8x16k,0.85/0.85,40.7292364772494,8.521049181830904,False,4,8.137419592065442,service:pool/southcentralus:0
8,8x16k,0.9/0.9,40.7292364772494,5.419858175078559,False,3,5.424946394710295,service:pool/southcentralus:0
9,8x16k,0.95/0.95,40.7292364772494,2.0099344956853145,False,2,3.9025042003765527,service:pool/southcentralus:0
10,16x16k,0/0,40.7292364772494,50.91154559656175,True,16,24.412258776196328,migration:pool/southcentralus:kv_transfer
11,16x16k,0.5/0.5,40.7292364772494,30.336713988106936,False,9,18.98731238148603,service:pool/southcentralus:0
12,16x16k,0.85/0.85,40.7292364772494,9.22827852227482,False,8,15.61001680150621,service:pool/australiaeast:0
13,16x16k,0.9/0.9,40.7292364772494,6.137259675650256,False,6,11.707512601129658,service:pool/australiaeast:0
14,16x16k,0.95/0.95,40.7292364772494,3.0360686688979115,False,4,7.805008400753105,service:pool/australiaeast:0
15,16x8k,0/0,40.7292364772494,50.91154559656175,True,16,24.76614842013089,migration:pool/southcentralus:kv_transfer
16,16x8k,0.5/0.5,40.7292364772494,50.91154559656175,True,16,24.76614842013089,migration:pool/southcentralus:kv_transfer
17,16x8k,0.85/0.85,40.7292364772494,13.683020680869078,False,4,4.281386050360174,service:pool/australiaeast:0
18,16x8k,0.9/0.9,40.7292364772494,8.847920749790234,False,8,10.319228508387871,service:pool/australiaeast:0
19,16x8k,0.95/0.95,40.7292364772494,4.400468653627115,False,5,8.255382806710296,service:pool/southcentralus:0
20,16x24k,0/0,40.7292364772494,50.91154559656175,True,16,23.527704851229046,service:pool/southcentralus:0
21,16x24k,0.5/0.5,40.7292364772494,25.61430651221032,False,8,19.62458805457166,service:pool/australiaeast:0
22,16x24k,0.85/0.85,40.7292364772494,7.842221515346893,False,7,19.62458805457166,service:pool/southcentralus:0
23,16x24k,0.9/0.9,40.7292364772494,5.546433452648898,False,4,13.083058703047772,service:pool/australiaeast:0
24,16x24k,0.95/0.95,40.7292364772494,2.2920981930056143,False,3,6.722201386065442,service:pool/australiaeast:0
25,16x31k,0/0,40.7292364772494,28.87108593871261,False,11,23.450280855064047,service:pool/southcentralus:0
26,16x31k,0.5/0.5,40.7292364772494,11.883989418688145,False,12,23.450280855064047,service:pool/australiaeast:0
27,16x31k,0.85/0.85,40.7292364772494,6.137259675650256,False,6,18.903019738357123,service:pool/australiaeast:0
28,16x31k,0.9/0.9,40.7292364772494,4.1273251799649415,False,2,9.451430062079387,service:pool/australiaeast:0
29,16x31k,0.95/0.95,40.7292364772494,2.0099344956853145,False,4,18.902860124158774,service:pool/australiaeast:0
30,32x31k,0/0,40.7292364772494,27.583299113358123,False,12,23.450280855064047,service:pool/southcentralus:0
31,8x16k,0.5/0.5,40.7292364772494,23.18322059337656,False,7,16.274839184130883,service:pool/southcentralus:0
32,8x16k,0.5/0.85,40.7292364772494,18.5916444679806,False,4,11.707512601129658,service:pool/australiaeast:0
33,8x16k,0.5/0.9,40.7292364772494,17.309915572768347,False,5,11.707512601129658,service:pool/australiaeast:0
34,8x16k,0.5/0.95,40.7292364772494,15.692955176554392,False,4,11.707512601129658,service:pool/australiaeast:0
35,8x16k,0.85/0.5,40.7292364772494,18.5916444679806,False,4,8.137419592065442,service:pool/southcentralus:0
36,8x16k,0.9/0.5,40.7292364772494,17.309915572768347,False,5,8.137419592065442,service:pool/southcentralus:0
37,8x16k,0.95/0.5,40.7292364772494,15.692955176554392,False,4,8.137419592065442,service:pool/southcentralus:0
