scenario_id,pack,destination_load,width,destination_id,destination,method,path,context_tokens,predicted_s,observed_s,timing_ratio
d341bf20f7b4fe5c,16x24k,0.85/0.85,5,east,australiaeast,replay,australiaeast:replay,24576,6.541789298605526,38.315612617,5.857053914158854
d341bf20f7b4fe5c,16x24k,0.85/0.85,5,east,australiaeast,replay,australiaeast:replay,24576,13.082885260047773,38.090171266,2.911450380316254
d341bf20f7b4fe5c,16x24k,0.85/0.85,5,germany,southcentralus,replay,southcentralus:replay,24576,6.5413785171090995,58.32385358,8.916141059174738
d341bf20f7b4fe5c,16x24k,0.85/0.85,5,germany,southcentralus,replay,southcentralus:replay,24576,13.082474478551347,58.453067287,4.468043670395346
d341bf20f7b4fe5c,16x24k,0.85/0.85,5,germany,southcentralus,replay,southcentralus:replay,24576,19.6235704399936,58.589908706,2.985690544193298
e9202d25c1a6a7c5,16x31k,0/0,4,germany,southcentralus,replay,southcentralus:replay,31488,9.451190205283973,59.097419762,6.252907673888502
e9202d25c1a6a7c5,16x31k,0/0,4,east,australiaeast,replay,australiaeast:replay,31488,9.451763119277736,58.978358487,6.239931930446738
e9202d25c1a6a7c5,16x31k,0/0,4,germany,southcentralus,replay,southcentralus:replay,31488,18.902113767165012,59.238056356,3.1339381979015926
e9202d25c1a6a7c5,16x31k,0/0,4,east,australiaeast,replay,australiaeast:replay,31488,18.902686681158777,58.822667728,3.11186810214822
466b8179bb003070,4x16k,0.9/0.9,1,germany,southcentralus,kv_transfer,southcentralus:kv_transfer,16384,2.7124731973551475,3.581811566,1.3204965746730764
1ac0b7cc93b3bbbf,16x24k,0/0,13,germany,southcentralus,kv_transfer,southcentralus:kv_transfer,24576,3.3611669984274273,59.491602968,17.699686744465254
1ac0b7cc93b3bbbf,16x24k,0/0,13,germany,southcentralus,kv_transfer,southcentralus:kv_transfer,24576,6.722094248460149,60.147462218,8.947726704631993
1ac0b7cc93b3bbbf,16x24k,0/0,13,germany,southcentralus,kv_transfer,southcentralus:kv_transfer,24576,10.08302149849287,60.147343846,5.965210314684972
1ac0b7cc93b3bbbf,16x24k,0/0,13,germany,southcentralus,kv_transfer,southcentralus:kv_transfer,24576,13.44394874852559,59.491429706,4.425145529695989
1ac0b7cc93b3bbbf,16x24k,0/0,13,germany,southcentralus,kv_transfer,southcentralus:kv_transfer,24576,16.804875998558312,60.148037769,3.5792015230674767
1ac0b7cc93b3bbbf,16x24k,0/0,13,germany,southcentralus,kv_transfer,southcentralus:kv_transfer,24576,20.165803248591036,60.146913206,2.982619262151256
1ac0b7cc93b3bbbf,16x24k,0/0,13,germany,southcentralus,kv_transfer,southcentralus:kv_transfer,24576,23.52673049862376,60.1481123,2.556586105473452
