scenario_id,destination_id,destination,load_cell,nominal_load,achieved_load
d341bf20f7b4fe5c,east,australiaeast,australiaeast:0.85,0.85,0.4745777674991868
d341bf20f7b4fe5c,germany,southcentralus,southcentralus:0.85,0.85,0.542374591427642
466b8179bb003070,east,australiaeast,australiaeast:0.9,0.9,0.5084761794634144
466b8179bb003070,germany,southcentralus,southcentralus:0.9,0.9,0.542374591427642
ae101d9ba946349c,east,australiaeast,australiaeast:0.5,0.5,0.40678094357073147
ae101d9ba946349c,germany,southcentralus,southcentralus:0.9,0.9,0.542374591427642
e794a3c77e0dc49e,east,australiaeast,australiaeast:0.95,0.95,0.542374591427642
e794a3c77e0dc49e,germany,southcentralus,southcentralus:0.95,0.95,0.5084761794634144
e73e80b2c5565a2e,east,australiaeast,australiaeast:0.5,0.5,0.4406793555349591
e73e80b2c5565a2e,germany,southcentralus,southcentralus:0.5,0.5,0.5084761794634144
e1a3353ce27dbe87,east,australiaeast,australiaeast:0.95,0.95,0.30508570767804866
e1a3353ce27dbe87,germany,southcentralus,southcentralus:0.95,0.95,0.542374591427642
43544237e1cdc97f,east,australiaeast,australiaeast:0.5,0.5,0.4406793555349591
43544237e1cdc97f,germany,southcentralus,southcentralus:0.5,0.5,0.5084761794634144
0b8dee76ccc0b8e0,east,australiaeast,australiaeast:0.85,0.85,0.4406793555349591
0b8dee76ccc0b8e0,germany,southcentralus,southcentralus:0.5,0.5,0.5084761794634144
44b130edc1301d75,east,australiaeast,australiaeast:0.9,0.9,0.37288253160650386
44b130edc1301d75,germany,southcentralus,southcentralus:0.9,0.9,0.542374591427642
430c7915f7bc1ee0,east,australiaeast,australiaeast:0.95,0.95,0.40678094357073147
430c7915f7bc1ee0,germany,southcentralus,southcentralus:0.95,0.95,0.5084761794634144
a5d3d72a55807fb9,east,australiaeast,australiaeast:0.85,0.85,0.4745777674991868
a5d3d72a55807fb9,germany,southcentralus,southcentralus:0.85,0.85,0.5084761794634144
b4a514bebccae6b4,east,australiaeast,australiaeast:0.85,0.85,0.5084761794634144
b4a514bebccae6b4,germany,southcentralus,southcentralus:0.85,0.85,0.5084761794634144
f76b9cf055fa17cc,east,australiaeast,australiaeast:0.85,0.85,0.4745777674991868
f76b9cf055fa17cc,germany,southcentralus,southcentralus:0.85,0.85,0.542374591427642
ae9f4a5d3d8931d9,east,australiaeast,australiaeast:0.85,0.85,0.37288253160650386
ae9f4a5d3d8931d9,germany,southcentralus,southcentralus:0.85,0.85,0.5084761794634144
46da44e6e41e0938,east,australiaeast,australiaeast:0.9,0.9,0.40678094357073147
46da44e6e41e0938,germany,southcentralus,southcentralus:0.9,0.9,0.542374591427642
