dispatch_rank,id,action,commit_result,selection_to_stage_start_s,initial_staging_s,final_delta_s,staging_s,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,committed,0.7447829246520996,8.830979585647583,0.3720824718475342,9.203062057495117,9.57047724723816,10.541845321655273,10.54709768295288,0.5103912353515625,0.4608304500579834
1,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,S,committed,0.7670414447784424,2.971020221710205,0.0,2.971020221710205,3.733086109161377,3.7380616664886475,3.738271474838257,3.337860107421875e-05,0.00010967254638671875
2,codex:ae694cc1-4887-7ade-f085-b22a801120db,R,committed,11.388811349868774,0.21011686325073242,0.0,0.21011686325073242,11.593669891357422,11.598928213119507,11.599137306213379,2.4080276489257812e-05,0.00012159347534179688
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,S,committed,1.1980361938476562,8.379810333251953,0.5914700031280518,8.971280336380005,9.572466135025024,10.169589757919312,10.169853925704956,2.4080276489257812e-05,0.5919079780578613
4,codex:e6744833-786a-9c87-c539-3a40cda50680,R,committed,12.442490100860596,0.36467719078063965,0.3591799736022949,0.7238571643829346,12.800763607025146,13.166593313217163,13.166789531707764,2.4557113647460938e-05,0.35952210426330566
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,committed,13.92836880683899,0.4315972328186035,0.5247986316680908,0.9563958644866943,14.355929136276245,15.021965503692627,15.022161960601807,0.1369168758392334,0.5251302719116211
6,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,committed,15.788490056991577,0.4878256320953369,0.47125697135925293,0.9590826034545898,16.271742820739746,21.001898765563965,21.002074241638184,4.254066705703735,0.47162628173828125
7,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,committed,21.755486965179443,0.5462896823883057,0.0,0.5462896823883057,22.296736240386963,22.30177664756775,22.302120685577393,7.557868957519531e-05,0.0001811981201171875
8,codex:41e93e85-eff7-106f-9736-224049baedb2,R,committed,23.013063192367554,0.2982218265533447,0.0,0.2982218265533447,23.307246446609497,23.3112850189209,23.311543703079224,3.0517578125e-05,0.0001583099365234375
9,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,R,committed,24.063353300094604,0.67014479637146,0.6595015525817871,1.329646348953247,24.72680401802063,25.7136812210083,25.71380639076233,0.3204319477081299,0.6597869396209717
10,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,committed,26.468151569366455,0.45765042304992676,0.0,0.45765042304992676,26.920259952545166,26.925801992416382,26.92642831802368,3.0517578125e-05,0.00048089027404785156
11,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,committed,27.645610094070435,0.7008042335510254,0.0,0.7008042335510254,28.340877532958984,28.34641432762146,28.347049236297607,4.6253204345703125e-05,0.0004754066467285156
12,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,committed,29.102705717086792,0.7498631477355957,0.07495713233947754,0.8248202800750732,29.84527087211609,31.42232322692871,31.422608613967896,1.4943873882293701,0.07552790641784668
