requested_shed_w,achieved_shed_w,unmet_shed_w,resource,used,capacity,normalized_slack,target_fraction,maximum_modeled_shed_w,sessions,source_replicas,deadline_s,replay_moves,kv_moves,target_met,solver_status,evidence_status
9114.987930645835,12132.644091017417,0,Source preparation,72.07504305643135,115.0,0.3732604951614665,0.1,91149.87930645834,100000,1393,120.0,3324,0,True,approximate_target_met,sensitivity
9114.987930645835,12132.644091017417,0,Route,72824254,71875000000.0,0.9989867929878261,0.1,91149.87930645834,100000,1393,120.0,3324,0,True,approximate_target_met,sensitivity
9114.987930645835,12132.644091017417,0,Replay reconstruction,5452.227921638739,160195.0,0.965965055578272,0.1,91149.87930645834,100000,1393,120.0,3324,0,True,approximate_target_met,sensitivity
9114.987930645835,12132.644091017417,0,KV ingest,0.0,160195.0,1.0,0.1,91149.87930645834,100000,1393,120.0,3324,0,True,approximate_target_met,sensitivity
9114.987930645835,12132.644091017417,0,Ongoing service,10.426659096987759,27.01110579999927,0.613986218328461,0.1,91149.87930645834,100000,1393,120.0,3324,0,True,approximate_target_met,sensitivity
9114.987930645835,12132.644091017417,0,Service debt,6651.293717792331,4659.415750499916,-0.4274952212793426,0.1,91149.87930645834,100000,1393,120.0,3324,0,True,approximate_target_met,sensitivity
9114.987930645835,12132.644091017417,0,Live KV,2234887,83854421,0.9733480122652091,0.1,91149.87930645834,100000,1393,120.0,3324,0,True,approximate_target_met,sensitivity
9114.987930645835,12132.644091017417,0,Deadline,72.07504305643135,115.0,0.3732604951614665,0.1,91149.87930645834,100000,1393,120.0,3324,0,True,approximate_target_met,sensitivity
22787.469826614586,30782.592663014046,0,Source preparation,114.99639894539479,115.0,3.1313518306195994e-05,0.25,91149.87930645834,100000,1393,120.0,14652,0,True,approximate_target_met,sensitivity
22787.469826614586,30782.592663014046,0,Route,318670924,71875000000.0,0.9955663175791304,0.25,91149.87930645834,100000,1393,120.0,14652,0,True,approximate_target_met,sensitivity
22787.469826614586,30782.592663014046,0,Replay reconstruction,24117.146593361744,160195.0,0.8494513150013312,0.25,91149.87930645834,100000,1393,120.0,14652,0,True,approximate_target_met,sensitivity
22787.469826614586,30782.592663014046,0,KV ingest,0.0,160195.0,1.0,0.25,91149.87930645834,100000,1393,120.0,14652,0,True,approximate_target_met,sensitivity
22787.469826614586,30782.592663014046,0,Ongoing service,46.02190918040361,27.01110579999927,-0.7038143318221668,0.25,91149.87930645834,100000,1393,120.0,14652,0,True,approximate_target_met,sensitivity
22787.469826614586,30782.592663014046,0,Service debt,29409.666149108158,4659.415750499916,-5.311878510938362,0.25,91149.87930645834,100000,1393,120.0,14652,0,True,approximate_target_met,sensitivity
22787.469826614586,30782.592663014046,0,Live KV,9771411,83854421,0.8834717253607892,0.25,91149.87930645834,100000,1393,120.0,14652,0,True,approximate_target_met,sensitivity
22787.469826614586,30782.592663014046,0,Deadline,114.99639894539479,115.0,3.1313518306195994e-05,0.25,91149.87930645834,100000,1393,120.0,14652,0,True,approximate_target_met,sensitivity
45574.93965322917,60255.28006621787,0,Source preparation,114.99639894539479,115.0,3.1313518306195994e-05,0.5,91149.87930645834,100000,1393,120.0,45430,0,True,approximate_target_met,sensitivity
45574.93965322917,60255.28006621787,0,Route,977772195,71875000000.0,0.9863962129391305,0.5,91149.87930645834,100000,1393,120.0,45430,0,True,approximate_target_met,sensitivity
45574.93965322917,60255.28006621787,0,Replay reconstruction,76504.51981563437,160195.0,0.522428791063177,0.5,91149.87930645834,100000,1393,120.0,45430,0,True,approximate_target_met,sensitivity
45574.93965322917,60255.28006621787,0,KV ingest,0.0,160195.0,1.0,0.5,91149.87930645834,100000,1393,120.0,45430,0,True,approximate_target_met,sensitivity
45574.93965322917,60255.28006621787,0,Ongoing service,110.80605394416418,27.01110579999927,-3.1022405659588794,0.5,91149.87930645834,100000,1393,120.0,45430,0,True,approximate_target_met,sensitivity
45574.93965322917,60255.28006621787,0,Service debt,89247.21601921324,4659.415750499916,-18.154164555853978,0.5,91149.87930645834,100000,1393,120.0,45430,0,True,approximate_target_met,sensitivity
45574.93965322917,60255.28006621787,0,Live KV,29982056,83854421,0.6424510998650864,0.5,91149.87930645834,100000,1393,120.0,45430,0,True,approximate_target_met,sensitivity
45574.93965322917,60255.28006621787,0,Deadline,114.99639894539479,115.0,3.1313518306195994e-05,0.5,91149.87930645834,100000,1393,120.0,45430,0,True,approximate_target_met,sensitivity
68362.40947984376,71788.31130695782,0,Source preparation,114.99721082276912,115.0,2.4253715051135378e-05,0.75,91149.87930645834,100000,1393,120.0,73879,1,True,approximate_target_met,sensitivity
68362.40947984376,71788.31130695782,0,Route,3586925532,71875000000.0,0.95009494912,0.75,91149.87930645834,100000,1393,120.0,73879,1,True,approximate_target_met,sensitivity
68362.40947984376,71788.31130695782,0,Replay reconstruction,157476.06466364145,160195.0,0.016972660422351224,0.75,91149.87930645834,100000,1393,120.0,73879,1,True,approximate_target_met,sensitivity
68362.40947984376,71788.31130695782,0,KV ingest,2.47289232727075,160195.0,0.9999845632365101,0.75,91149.87930645834,100000,1393,120.0,73879,1,True,approximate_target_met,sensitivity
68362.40947984376,71788.31130695782,0,Ongoing service,134.92801951983643,27.01110579999927,-3.995279368378916,0.75,91149.87930645834,100000,1393,120.0,73879,1,True,approximate_target_met,sensitivity
68362.40947984376,71788.31130695782,0,Service debt,172992.78690842263,4659.415750499916,-36.127570530674795,0.75,91149.87930645834,100000,1393,120.0,73879,1,True,approximate_target_met,sensitivity
68362.40947984376,71788.31130695782,0,Live KV,62941309,83854421,0.24939784629840805,0.75,91149.87930645834,100000,1393,120.0,73879,1,True,approximate_target_met,sensitivity
68362.40947984376,71788.31130695782,0,Deadline,114.99721082276912,115.0,2.4253715051135378e-05,0.75,91149.87930645834,100000,1393,120.0,73879,1,True,approximate_target_met,sensitivity
82034.89137581251,71788.31130695782,10246.580068854688,Source preparation,114.99721082276912,115.0,2.4253715051135378e-05,0.9,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
82034.89137581251,71788.31130695782,10246.580068854688,Route,3586925532,71875000000.0,0.95009494912,0.9,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
82034.89137581251,71788.31130695782,10246.580068854688,Replay reconstruction,157476.06466364145,160195.0,0.016972660422351224,0.9,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
82034.89137581251,71788.31130695782,10246.580068854688,KV ingest,2.47289232727075,160195.0,0.9999845632365101,0.9,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
82034.89137581251,71788.31130695782,10246.580068854688,Ongoing service,134.92801951983643,27.01110579999927,-3.995279368378916,0.9,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
82034.89137581251,71788.31130695782,10246.580068854688,Service debt,172992.78690842263,4659.415750499916,-36.127570530674795,0.9,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
82034.89137581251,71788.31130695782,10246.580068854688,Live KV,62941309,83854421,0.24939784629840805,0.9,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
82034.89137581251,71788.31130695782,10246.580068854688,Deadline,114.99721082276912,115.0,2.4253715051135378e-05,0.9,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
91149.87930645834,71788.31130695782,19361.56799950052,Source preparation,114.99721082276912,115.0,2.4253715051135378e-05,1.0,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
91149.87930645834,71788.31130695782,19361.56799950052,Route,3586925532,71875000000.0,0.95009494912,1.0,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
91149.87930645834,71788.31130695782,19361.56799950052,Replay reconstruction,157476.06466364145,160195.0,0.016972660422351224,1.0,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
91149.87930645834,71788.31130695782,19361.56799950052,KV ingest,2.47289232727075,160195.0,0.9999845632365101,1.0,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
91149.87930645834,71788.31130695782,19361.56799950052,Ongoing service,134.92801951983643,27.01110579999927,-3.995279368378916,1.0,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
91149.87930645834,71788.31130695782,19361.56799950052,Service debt,172992.78690842263,4659.415750499916,-36.127570530674795,1.0,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
91149.87930645834,71788.31130695782,19361.56799950052,Live KV,62941309,83854421,0.24939784629840805,1.0,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
91149.87930645834,71788.31130695782,19361.56799950052,Deadline,114.99721082276912,115.0,2.4253715051135378e-05,1.0,91149.87930645834,100000,1393,120.0,73879,1,False,approximate_best_effort,sensitivity
