dispatch_rank,id,action,commit_result,selection_to_stage_start_s,initial_staging_s,final_delta_s,staging_s,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:b759a30c-c03e-8e0e-1900-3ac8dd4c0130,R,committed,1.5232253074645996,0.5864274501800537,0.0,0.5864274501800537,1.8784339427947998,2.1096527576446533,2.109858512878418,1.049041748046875e-05,0.00011992454528808594
1,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,S,committed,1.5907070636749268,5.30316686630249,0.5473229885101318,5.850489854812622,6.8839521408081055,13.013514041900635,13.04137921333313,0.35393524169921875,5.793506383895874
2,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,S,committed,2.8922183513641357,9.5163893699646,0.9088318347930908,10.42522120475769,12.402935981750488,14.611888885498047,14.618816614151001,1.2937312126159668,0.9164302349090576
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,R,committed,3.6247050762176514,8.841189622879028,0.0,8.841189622879028,12.461511373519897,12.46589469909668,12.466133117675781,3.123283386230469e-05,0.0001671314239501953
4,codex:41e93e85-eff7-106f-9736-224049baedb2,R,committed,15.063188314437866,0.4574580192565918,0.0,0.4574580192565918,15.51366114616394,15.520646333694458,15.520869255065918,2.574920654296875e-05,0.00012493133544921875
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,committed,16.82344937324524,0.34334516525268555,0.08783984184265137,0.4311850070953369,17.16097664833069,23.967424392700195,23.96755337715149,6.712483882904053,0.08822107315063477
6,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,committed,25.296692609786987,0.21609735488891602,0.0,0.21609735488891602,25.507095336914062,25.512789964675903,25.5129816532135,3.409385681152344e-05,0.00011801719665527344
7,codex:c55b5430-f5e1-56b7-a298-2db8c6581658,R,committed,26.870194911956787,0.26424622535705566,0.0,0.26424622535705566,27.12633514404297,27.134441137313843,27.134941577911377,3.695487976074219e-05,0.00039196014404296875
8,codex:e6744833-786a-9c87-c539-3a40cda50680,R,committed,28.472217321395874,0.6365184783935547,0.37674784660339355,1.0132663249969482,29.099831342697144,33.98413062095642,33.98488163948059,4.49836802482605,0.3776872158050537
9,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,committed,35.36452317237854,0.5017886161804199,0.0,0.5017886161804199,35.855581760406494,35.86631178855896,35.867077350616455,2.288818359375e-05,0.0005755424499511719
10,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,committed,37.24861264228821,0.3384866714477539,0.0,0.3384866714477539,37.578070640563965,37.58709931373596,37.58761405944824,3.910064697265625e-05,0.0003707408905029297
11,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,committed,38.89951205253601,1.4298317432403564,0.6547181606292725,2.084549903869629,40.32073354721069,42.010751485824585,42.01094698905945,1.026348352432251,0.655174732208252
12,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,R,committed,43.31191086769104,0.2692899703979492,0.0,0.2692899703979492,43.572818994522095,43.58120083808899,43.58165526390076,3.2901763916015625e-05,0.0003597736358642578
13,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,committed,44.85616421699524,0.6482572555541992,0.6272995471954346,1.2755568027496338,45.49672055244446,47.674386501312256,47.67458629608154,1.5423946380615234,0.627697229385376
14,codex:ae694cc1-4887-7ade-f085-b22a801120db,R,committed,48.9251172542572,0.6641435623168945,0.0,0.6641435623168945,49.58061242103577,49.5892608165741,49.589534759521484,6.461143493652344e-05,0.0001392364501953125
15,codex:1db326cd-3c43-ad82-b907-27bc1f12c287,R,committed,50.906739950180054,0.6225636005401611,0.5480911731719971,1.1706547737121582,51.52097845077515,52.997653007507324,52.997870206832886,0.9200339317321777,0.5484864711761475
