node,phase,samples,mean_power_w,median_power_w
sweden,pre,3003,180.4817382617383,184.58
sweden,post,3020,98.15381125827815,97.62
east,pre,3003,155.12605727605728,146.86
east,post,3020,119.91516887417218,108.7
west,pre,3003,144.6644488844489,134.7
west,post,3021,142.62561403508772,135.33
