condition_index,repeat,policy,predicted_makespan_s,measured_makespan_s
0,0,queue_haul,23.759169456101716,31.802668255
0,0,greedy,23.100874767491568,22.329070893
0,1,greedy,23.100874767491568,22.347342067
0,1,queue_haul,23.759169456101716,31.514092308
0,2,greedy,23.100874767491568,22.250124974
0,2,queue_haul,23.759169456101716,31.933118792
1,0,queue_haul,24.959962169872636,30.084837342
1,0,greedy,24.909685426880397,22.686382935
1,1,greedy,24.909685426880397,23.854747838
1,1,queue_haul,24.959962169872636,30.490543137
1,2,queue_haul,24.959962169872636,29.897201301
1,2,greedy,24.909685426880397,22.623442173
2,0,queue_haul,24.70524209726539,25.163614561
2,0,greedy,24.70524209726539,24.53316022
2,1,queue_haul,24.70524209726539,24.927482379
2,1,greedy,24.70524209726539,24.534238867
2,2,greedy,24.70524209726539,25.269672199
2,2,queue_haul,24.70524209726539,24.121862113
