phase,gpu,samples,power_mean_w
baseline,0,240,326.2749166666666
baseline,1,240,86.30541666666667
drain,0,26,146.06423076923076
drain,1,26,344.393076923077
post,0,239,105.0994560669456
post,1,239,322.57401673640163
