condition_a,condition_b,correlation,mean_abs_difference,max_abs_difference,shared_turns
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=1,openai/gpt-oss-120b | fraction_complete | task_and_trace | n=1,1.0000000000000002,0.0,0.0,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=1,openai/gpt-oss-120b | fraction_complete | task_and_trace | n=10,0.8577037684194085,0.0665263157894737,0.5799999999999998,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=1,openai/gpt-oss-120b | fraction_complete | task_and_trace | n=40,0.7831412768298266,0.07619736842105267,0.7137500000000001,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=1,openai/gpt-oss-120b | fraction_complete | task_and_trace | n=5,0.8893485728855385,0.060631578947368425,0.47999999999999987,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=1,openai/gpt-oss-120b | goal_closeness | task_and_trace | n=40,0.6087483694333412,0.14644736842105263,0.8187499999999999,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=1,openai/gpt-oss-120b | remaining_work | task_and_trace | n=40,0.5063093052306199,0.14212090409119274,0.9033333333333333,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=1,openai/gpt-oss-20b | fraction_complete | task_and_trace | n=40,0.5136798978447417,0.19095036102584576,0.7387499999999998,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=10,openai/gpt-oss-120b | fraction_complete | task_and_trace | n=10,1.0,0.0,0.0,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=10,openai/gpt-oss-120b | fraction_complete | task_and_trace | n=40,0.9873369876058489,0.021776315789473734,0.1337500000000002,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=10,openai/gpt-oss-120b | fraction_complete | task_and_trace | n=5,0.9949676415693544,0.02200000000000001,0.10000000000000003,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=10,openai/gpt-oss-120b | goal_closeness | task_and_trace | n=40,0.8791285941351968,0.09994736842105263,0.3274999999999999,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=10,openai/gpt-oss-120b | remaining_work | task_and_trace | n=40,0.8162842059134089,0.11004874789424877,0.3233333333333334,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=10,openai/gpt-oss-20b | fraction_complete | task_and_trace | n=40,0.40233316330347896,0.1819276014241388,0.7387499999999998,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=40,openai/gpt-oss-120b | fraction_complete | task_and_trace | n=40,1.0,0.0,0.0,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=40,openai/gpt-oss-120b | fraction_complete | task_and_trace | n=5,0.9696091505484179,0.04090789473684213,0.23375000000000024,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=40,openai/gpt-oss-120b | goal_closeness | task_and_trace | n=40,0.921709684331002,0.08853947368421053,0.31325000000000014,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=40,openai/gpt-oss-120b | remaining_work | task_and_trace | n=40,0.8563775959662979,0.10645664263109078,0.2566987179487177,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=40,openai/gpt-oss-20b | fraction_complete | task_and_trace | n=40,0.37918435312825677,0.18912496984519145,0.7012499999999998,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=5,openai/gpt-oss-120b | fraction_complete | task_and_trace | n=5,1.0,0.0,0.0,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=5,openai/gpt-oss-120b | goal_closeness | task_and_trace | n=40,0.839456017536974,0.10365789473684209,0.35625000000000023,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=5,openai/gpt-oss-120b | remaining_work | task_and_trace | n=40,0.7956116123582968,0.11810043625493542,0.42333333333333345,19
openai/gpt-oss-120b | fraction_complete | task_and_trace | n=5,openai/gpt-oss-20b | fraction_complete | task_and_trace | n=40,0.4206717649771185,0.18571707510834934,0.7387499999999998,19
openai/gpt-oss-120b | goal_closeness | task_and_trace | n=40,openai/gpt-oss-120b | goal_closeness | task_and_trace | n=40,1.0000000000000002,0.0,0.0,19
openai/gpt-oss-120b | goal_closeness | task_and_trace | n=40,openai/gpt-oss-120b | remaining_work | task_and_trace | n=40,0.7816666553532674,0.14968139010583828,0.3543145161290325,19
openai/gpt-oss-120b | goal_closeness | task_and_trace | n=40,openai/gpt-oss-20b | fraction_complete | task_and_trace | n=40,0.41622872692326823,0.24016444352940197,0.5448684210526313,19
openai/gpt-oss-120b | remaining_work | task_and_trace | n=40,openai/gpt-oss-120b | remaining_work | task_and_trace | n=40,1.0,0.0,0.0,19
openai/gpt-oss-120b | remaining_work | task_and_trace | n=40,openai/gpt-oss-20b | fraction_complete | task_and_trace | n=40,0.021985876774793005,0.2255167916151966,0.7607499999999998,19
openai/gpt-oss-20b | fraction_complete | task_and_trace | n=40,openai/gpt-oss-20b | fraction_complete | task_and_trace | n=40,1.0000000000000002,0.0,0.0,19
