deadline_s,state_id,regime,policy,shed_by_deadline_w,deadline_met,selected_sessions,migration_makespan_s,profile_case,power_evidence_kind
10,jointly-binding-1,jointly-binding,greedy_lagrangian,26.159670332604975,False,1,4.030178833285362,bootstrap,model_credited
10,jointly-binding-5,jointly-binding,greedy_lagrangian,23.339164911297587,False,1,3.9461988864733275,bootstrap,model_credited
10,bandwidth-only-1,bandwidth-only,greedy_lagrangian,26.159670332604975,False,1,4.030178833285362,bootstrap,model_credited
10,bandwidth-only-5,bandwidth-only,greedy_lagrangian,46.258146706681515,False,2,4.901735879110093,bootstrap,model_credited
10,east-kv-only-1,east-kv-only,greedy_lagrangian,23.639409863756953,False,1,2.949743309790272,bootstrap,model_credited
10,east-kv-only-5,east-kv-only,greedy_lagrangian,46.258146706681515,False,2,4.902563173971051,bootstrap,model_credited
10,germany-service-only-1,germany-service-only,greedy_lagrangian,23.639409863756953,False,1,2.7005434968966835,bootstrap,model_credited
10,germany-service-only-5,germany-service-only,greedy_lagrangian,22.652908439979797,False,1,3.44759851140223,bootstrap,model_credited
10,slack-1,slack,greedy_lagrangian,22.838384836824105,False,1,3.9466041808047976,bootstrap,model_credited
10,slack-5,slack,greedy_lagrangian,26.159670332604975,False,1,3.198998992675349,bootstrap,model_credited
15,jointly-binding-1,jointly-binding,greedy_lagrangian,75.50678807807117,False,3,9.595440393137679,bootstrap,model_credited
15,jointly-binding-5,jointly-binding,greedy_lagrangian,46.678329822595146,False,2,7.8922243299466555,bootstrap,model_credited
15,bandwidth-only-1,bandwidth-only,greedy_lagrangian,75.50678807807117,False,3,8.847788726829656,bootstrap,model_credited
15,bandwidth-only-5,bandwidth-only,greedy_lagrangian,66.75932907136729,False,3,7.35251709716514,bootstrap,model_credited
15,east-kv-only-1,east-kv-only,greedy_lagrangian,68.23235492569043,False,3,8.848883043370815,bootstrap,model_credited
15,east-kv-only-5,east-kv-only,greedy_lagrangian,66.75932907136729,False,3,7.353758039456577,bootstrap,model_credited
15,germany-service-only-1,germany-service-only,greedy_lagrangian,68.23235492569043,False,3,8.099584387536078,bootstrap,model_credited
15,germany-service-only-5,germany-service-only,greedy_lagrangian,45.305816879959536,False,2,6.895023579804461,bootstrap,model_credited
15,slack-1,slack,greedy_lagrangian,45.676769673648266,False,2,7.893034918609596,bootstrap,model_credited
15,slack-5,slack,greedy_lagrangian,75.50678807807117,False,3,9.596650092026048,bootstrap,model_credited
20,jointly-binding-1,jointly-binding,greedy_lagrangian,101.66645841067614,False,4,12.090189613856085,bootstrap,model_credited
20,jointly-binding-5,jointly-binding,greedy_lagrangian,90.7048983655163,False,4,11.838249773419983,bootstrap,model_credited
20,bandwidth-only-1,bandwidth-only,greedy_lagrangian,101.66645841067614,False,4,8.847788726829656,bootstrap,model_credited
20,bandwidth-only-5,bandwidth-only,greedy_lagrangian,107.26231717041637,False,5,14.155191817048546,bootstrap,model_credited
20,east-kv-only-1,east-kv-only,greedy_lagrangian,91.87176478944738,False,4,11.118127375226852,bootstrap,model_credited
20,east-kv-only-5,east-kv-only,greedy_lagrangian,107.26231717041637,False,5,14.155191817048546,bootstrap,model_credited
20,germany-service-only-1,germany-service-only,greedy_lagrangian,70.91822959127077,False,3,12.190205531642063,bootstrap,model_credited
20,germany-service-only-5,germany-service-only,greedy_lagrangian,65.3849354820664,False,3,10.34244864820669,bootstrap,model_credited
20,slack-1,slack,greedy_lagrangian,88.75867595647867,False,4,11.839465656414392,bootstrap,model_credited
20,slack-5,slack,greedy_lagrangian,101.66645841067614,False,4,12.142377721822104,bootstrap,model_credited
25,jointly-binding-1,jointly-binding,greedy_lagrangian,101.66645841067614,False,4,15.186583421136069,bootstrap,model_credited
25,jointly-binding-5,jointly-binding,greedy_lagrangian,90.7048983655163,False,4,11.838249773419983,bootstrap,model_credited
25,bandwidth-only-1,bandwidth-only,greedy_lagrangian,112.4453499999048,False,9,18.170525730413193,bootstrap,model_credited
25,bandwidth-only-5,bandwidth-only,greedy_lagrangian,107.26231717041637,False,5,14.155191817048546,bootstrap,model_credited
25,east-kv-only-1,east-kv-only,greedy_lagrangian,91.87176478944738,False,4,11.118127375226852,bootstrap,model_credited
25,east-kv-only-5,east-kv-only,greedy_lagrangian,107.26231717041637,False,5,14.155191817048546,bootstrap,model_credited
