deadline_s,state_id,regime,policy,shed_by_deadline_w,deadline_met,selected_sessions,migration_makespan_s,profile_case,power_evidence_kind
10,germany-service-only-0,germany-service-only,queue_haul,66.33644452953348,False,3,4.030224061681049,bootstrap,model_credited
10,germany-service-only-0,germany-service-only,greedy,66.33644452953348,False,3,4.030224061681049,bootstrap,model_credited
10,germany-service-only-0,germany-service-only,replay_only,43.35388145009938,False,2,2.7005512426827747,bootstrap,model_credited
10,germany-service-only-0,germany-service-only,kv_only,22.9825630794341,False,1,4.030178833285362,bootstrap,model_credited
10,germany-service-only-0,germany-service-only,isolated_fastest,22.9825630794341,False,1,2.6999778008689086,bootstrap,model_credited
10,germany-service-only-0,germany-service-only,queue_haul_power_blind,2.773261054841953,False,3,4.030224061681049,bootstrap,model_credited
10,germany-service-only-0,germany-service-only,queue_haul_deadline_blind,49.388013636006775,False,19,,bootstrap,model_credited
10,germany-service-only-0,germany-service-only,exact_modeled_milp_optimum,66.33644452953348,False,3,4.030224061681049,bootstrap,model_credited
10,germany-service-only-4,germany-service-only,queue_haul,45.96512615886823,False,2,3.198998992675349,bootstrap,model_credited
10,germany-service-only-4,germany-service-only,greedy,45.96512615886823,False,2,3.198998992675349,bootstrap,model_credited
10,germany-service-only-4,germany-service-only,replay_only,45.96512615886823,False,2,3.198998992675349,bootstrap,model_credited
10,germany-service-only-4,germany-service-only,kv_only,0.0,False,0,0,bootstrap,model_credited
10,germany-service-only-4,germany-service-only,isolated_fastest,22.9825630794341,False,1,3.1983955669757904,bootstrap,model_credited
10,germany-service-only-4,germany-service-only,queue_haul_power_blind,23.940519732507425,False,2,3.198998992675349,bootstrap,model_credited
10,germany-service-only-4,germany-service-only,queue_haul_deadline_blind,63.342848399043675,False,19,,bootstrap,model_credited
10,germany-service-only-4,germany-service-only,exact_modeled_milp_optimum,45.96512615886823,False,2,3.198998992675349,bootstrap,model_credited
10,slack-0,slack,queue_haul,66.33644452953348,False,3,3.3418978710097424,bootstrap,model_credited
10,slack-0,slack,greedy,66.33644452953348,False,3,3.3418978710097424,bootstrap,model_credited
10,slack-0,slack,replay_only,45.96512615886823,False,2,2.700528561907933,bootstrap,model_credited
10,slack-0,slack,kv_only,22.9825630794341,False,1,3.341844765554541,bootstrap,model_credited
10,slack-0,slack,isolated_fastest,22.9825630794341,False,1,2.699975722793966,bootstrap,model_credited
10,slack-0,slack,queue_haul_power_blind,2.773261054841953,False,3,3.3418978710097424,bootstrap,model_credited
10,slack-0,slack,queue_haul_deadline_blind,49.43282575242674,False,19,,bootstrap,model_credited
10,slack-0,slack,exact_modeled_milp_optimum,66.33644452953348,False,3,3.3418978710097424,bootstrap,model_credited
10,slack-4,slack,queue_haul,45.96512615886823,False,2,3.448165609605825,bootstrap,model_credited
10,slack-4,slack,greedy,45.96512615886823,False,2,3.448165609605825,bootstrap,model_credited
10,slack-4,slack,replay_only,45.96512615886823,False,2,3.448165609605825,bootstrap,model_credited
10,slack-4,slack,kv_only,0.0,False,0,0,bootstrap,model_credited
10,slack-4,slack,isolated_fastest,22.9825630794341,False,1,3.4475992038878345,bootstrap,model_credited
10,slack-4,slack,queue_haul_power_blind,45.96512615886823,False,2,3.448165609605825,bootstrap,model_credited
10,slack-4,slack,queue_haul_deadline_blind,37.635659293674564,False,19,,bootstrap,model_credited
10,slack-4,slack,exact_modeled_milp_optimum,45.96512615886823,False,2,3.448165609605825,bootstrap,model_credited
15,jointly-binding-0,jointly-binding,queue_haul,109.06866122119632,False,6,9.049219354206912,bootstrap,model_credited
15,jointly-binding-0,jointly-binding,greedy,109.06866122119632,False,6,9.049417261228044,bootstrap,model_credited
15,jointly-binding-0,jointly-binding,replay_only,89.31900760896764,False,4,8.10014812045741,bootstrap,model_credited
15,jointly-binding-0,jointly-binding,kv_only,45.96512615886823,False,2,9.04868213811966,bootstrap,model_credited
15,jointly-binding-0,jointly-binding,isolated_fastest,66.33644452953348,False,3,8.099607588760069,bootstrap,model_credited
15,jointly-binding-0,jointly-binding,queue_haul_power_blind,60.29515063523331,False,8,9.049417261228044,bootstrap,model_credited
15,jointly-binding-0,jointly-binding,queue_haul_deadline_blind,83.84739377537181,False,27,,bootstrap,model_credited
15,jointly-binding-0,jointly-binding,exact_modeled_milp_optimum,109.06866122119632,False,6,9.049219354206912,bootstrap,model_credited
15,jointly-binding-4,jointly-binding,queue_haul,105.29616270507782,False,5,9.672960069645656,bootstrap,model_credited
15,jointly-binding-4,jointly-binding,greedy,93.17773458188267,False,5,9.672960069645656,bootstrap,model_credited
15,jointly-binding-4,jointly-binding,replay_only,70.62963120570856,False,4,6.8954195159743925,bootstrap,model_credited
15,jointly-binding-4,jointly-binding,kv_only,45.96512615886823,False,2,9.672451258322232,bootstrap,model_credited
15,jointly-binding-4,jointly-binding,isolated_fastest,68.94768923830233,False,3,9.069722159324183,bootstrap,model_credited
15,jointly-binding-4,jointly-binding,queue_haul_power_blind,51.15764940099385,False,6,9.672960069645656,bootstrap,model_credited
15,jointly-binding-4,jointly-binding,queue_haul_deadline_blind,73.30184262249037,False,26,,bootstrap,model_credited
15,jointly-binding-4,jointly-binding,exact_modeled_milp_optimum,105.29616270507782,False,5,9.672960069645656,bootstrap,model_credited
15,bandwidth-only-0,bandwidth-only,queue_haul,109.5817280700918,False,6,9.441125486028263,bootstrap,model_credited
15,bandwidth-only-0,bandwidth-only,greedy,109.5817280700918,False,8,9.803586059805662,bootstrap,model_credited
15,bandwidth-only-0,bandwidth-only,replay_only,95.38874047025183,False,6,9.803334854215166,bootstrap,model_credited
15,bandwidth-only-0,bandwidth-only,kv_only,45.96512615886823,False,2,9.197830209516813,bootstrap,model_credited
15,bandwidth-only-0,bandwidth-only,isolated_fastest,70.62963120570856,False,4,9.802596014243118,bootstrap,model_credited
15,bandwidth-only-0,bandwidth-only,queue_haul_power_blind,81.66338241269469,False,10,9.803586059805662,bootstrap,model_credited
15,bandwidth-only-0,bandwidth-only,queue_haul_deadline_blind,92.79820839467203,False,19,,bootstrap,model_credited
15,bandwidth-only-0,bandwidth-only,exact_modeled_milp_optimum,109.5817280700918,False,6,9.441125486028263,bootstrap,model_credited
15,bandwidth-only-4,bandwidth-only,queue_haul,78.94253822123719,False,6,9.91722005824817,bootstrap,model_credited
15,bandwidth-only-4,bandwidth-only,greedy,78.94253822123719,False,6,9.91722005824817,bootstrap,model_credited
15,bandwidth-only-4,bandwidth-only,replay_only,70.62963120570856,False,4,7.393821616505369,bootstrap,model_credited
15,bandwidth-only-4,bandwidth-only,kv_only,45.96512615886823,False,2,9.916723888199861,bootstrap,model_credited
15,bandwidth-only-4,bandwidth-only,isolated_fastest,45.96512615886823,False,2,7.393456785587495,bootstrap,model_credited
15,bandwidth-only-4,bandwidth-only,queue_haul_power_blind,78.94253822123719,False,6,9.91722005824817,bootstrap,model_credited
15,bandwidth-only-4,bandwidth-only,queue_haul_deadline_blind,58.89097965517459,False,19,,bootstrap,model_credited
15,bandwidth-only-4,bandwidth-only,exact_modeled_milp_optimum,78.94253822123719,False,6,9.91722005824817,bootstrap,model_credited
15,east-kv-only-0,east-kv-only,queue_haul,93.17773458188267,False,5,7.394654025962886,bootstrap,model_credited
15,east-kv-only-0,east-kv-only,greedy,93.17773458188267,False,5,7.394654025962886,bootstrap,model_credited
15,east-kv-only-0,east-kv-only,replay_only,70.62963120570856,False,4,7.394654025962886,bootstrap,model_credited
15,east-kv-only-0,east-kv-only,kv_only,45.96512615886823,False,2,8.060184223570722,bootstrap,model_credited
15,east-kv-only-0,east-kv-only,isolated_fastest,68.94768923830233,False,3,7.3935080386171235,bootstrap,model_credited
