dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,9.679924011230469,9.679924011230469,9.939993619918823,0.2600278854370117,2.0265579223632812e-05
1,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,S,8.223082542419434,8.223082542419434,8.223210334777832,8.058547973632812e-05,5.7220458984375e-06
2,codex:ae694cc1-4887-7ade-f085-b22a801120db,R,2.785660982131958,2.785660982131958,2.7857413291931152,3.2901763916015625e-05,6.67572021484375e-06
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,R,1.6593828201293945,1.6593828201293945,1.659494400024414,3.886222839355469e-05,6.4373016357421875e-06
4,codex:e6744833-786a-9c87-c539-3a40cda50680,S,8.671025514602661,8.671025514602661,8.671064376831055,1.4066696166992188e-05,3.5762786865234375e-06
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,6.390838861465454,6.542775869369507,7.415189504623413,0.8723604679107666,1.8596649169921875e-05
6,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,2.8813724517822266,2.8813724517822266,3.8603858947753906,0.9789609909057617,2.2411346435546875e-05
7,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,2.7848849296569824,2.7848849296569824,2.784944772720337,2.2649765014648438e-05,4.76837158203125e-06
8,codex:41e93e85-eff7-106f-9736-224049baedb2,R,3.5870580673217773,3.747403144836426,3.7474846839904785,3.3855438232421875e-05,5.4836273193359375e-06
9,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,R,2.150569200515747,2.150569200515747,3.0999271869659424,0.9492790699005127,1.9788742065429688e-05
10,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,4.048715829849243,4.048715829849243,7.044731140136719,2.9959774017333984,8.58306884765625e-06
11,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,7.471130847930908,7.471130847930908,7.471179962158203,1.5020370483398438e-05,3.337860107421875e-06
12,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,7.782353639602661,8.025487422943115,8.025543451309204,2.1457672119140625e-05,3.814697265625e-06
13,codex:c55b5430-f5e1-56b7-a298-2db8c6581658,R,7.8306944370269775,8.043726921081543,8.043778657913208,1.8596649169921875e-05,3.5762786865234375e-06
14,codex:b759a30c-c03e-8e0e-1900-3ac8dd4c0130,R,3.4231464862823486,3.4231464862823486,3.4232490062713623,3.6716461181640625e-05,5.245208740234375e-06
15,codex:1db326cd-3c43-ad82-b907-27bc1f12c287,R,1.9406437873840332,1.9406437873840332,1.9408268928527832,1.9073486328125e-05,4.5299530029296875e-06
