case_id,deadline_s,planning_deadline_s,sessions,maximum_removable_w,requested_fraction,requested_shed_w,policy,raw_safe_shed_w,plan_safe,target_met_by_30s,failure_reason,selected_sessions,bottleneck,service:pool/east:0,service:pool/germany:0,kv:pool/east,kv:pool/germany,migration:pool/east:replay,migration:pool/germany:replay,migration:pool/east:kv_transfer,migration:pool/germany:kv_transfer,used|service:pool/east:0,used|service:pool/germany:0,used|kv:pool/east,used|kv:pool/germany,used|migration:pool/east:replay,used|migration:pool/germany:replay,used|migration:pool/east:kv_transfer,used|migration:pool/germany:kv_transfer,capacity|service:pool/east:0,capacity|service:pool/germany:0,capacity|kv:pool/east,capacity|kv:pool/germany,capacity|migration:pool/east:replay,capacity|migration:pool/germany:replay,capacity|migration:pool/east:kv_transfer,capacity|migration:pool/germany:kv_transfer,unit|service:pool/east:0,unit|service:pool/germany:0,unit|kv:pool/east,unit|kv:pool/germany,unit|migration:pool/east:replay,unit|migration:pool/germany:replay,unit|migration:pool/east:kv_transfer,unit|migration:pool/germany:kv_transfer,east_replay,east_kv_transfer,germany_replay,germany_kv_transfer,safely_attained_shed_w,safely_attained_fraction
hardware_gap/all-bind,30,30,28,61.856632454374676,0.25,15.464158113593669,queue_haul_lp,16.849229792366657,True,True,,3,service:pool/germany:0,0.0,0.8894357914954987,0.0,0.06145251396648045,0.0,0.2658403574699168,0.0,0.2436341988360889,0.0,0.22235894787387456,0.0,231.00000000000003,0.0,6.64600893674792,0.0,6.090854970902222,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,0,0,2,1,16.849229792366657,0.2723916437706921
hardware_gap/all-bind,30,30,28,61.856632454374676,0.275,17.010573924953036,queue_haul_lp,20.316194099294137,True,True,,4,service:pool/germany:0,0.04442596438087014,0.8894357914954987,0.14745308310991959,0.06145251396648045,0.1329275209571806,0.2658403574699168,0.0,0.2436341988360889,0.0333194732856526,0.22235894787387456,55.00000000000001,231.00000000000003,3.3231880239295153,6.64600893674792,0.0,6.090854970902222,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,1,0,2,1,20.316194099294137,0.32844002806456235
hardware_gap/all-bind,30,30,28,61.856632454374676,0.30000000000000004,18.556989736312406,queue_haul_lp,20.316194099294137,True,True,,4,service:pool/germany:0,0.04442596438087014,0.8894357914954987,0.14745308310991959,0.06145251396648045,0.1329275209571806,0.2658403574699168,0.0,0.2436341988360889,0.0333194732856526,0.22235894787387456,55.00000000000001,231.00000000000003,3.3231880239295153,6.64600893674792,0.0,6.090854970902222,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,1,0,2,1,20.316194099294137,0.32844002806456235
hardware_gap/all-bind,30,30,28,61.856632454374676,0.325,20.10340554767177,queue_haul_lp,22.727237539970474,True,True,,5,service:pool/germany:0,0.07158562768377684,0.8556824739699982,0.14745308310991959,0.07608406491088056,0.1329275209571806,0.39876053620487517,0.0,0.2436341988360889,0.053689220762832626,0.21392061849249946,55.00000000000001,286.0,3.3231880239295153,9.96901340512188,0.0,6.090854970902222,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,1,0,3,1,22.727237539970474,0.36741795726972426
hardware_gap/all-bind,30,30,28,61.856632454374676,0.35000000000000003,21.64982135903114,queue_haul_lp,25.241494407007337,True,True,,8,service:pool/germany:0,0.14317125536755368,0.7134209017740053,0.29490616621983917,0.10534716679968077,0.2658550419143612,0.664600893674792,0.0,0.2436341988360889,0.10737844152566525,0.17835522544350124,110.00000000000001,396.0,6.646376047859031,16.6150223418698,0.0,6.090854970902222,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,2,0,5,1,25.241494407007337,0.4080644775744204
hardware_gap/all-bind,30,30,28,61.856632454374676,0.375,23.196237170390503,queue_haul_lp,29.901319760846633,True,True,,7,service:pool/germany:0,0.368309494972214,0.9543331786809885,0.9222520107238605,0.06517690875232776,0.9108696737653862,0.0,0.0,0.4905601874834348,0.2762321212291605,0.23858329467024703,344.0,245.00000000000006,22.771741844134656,0.0,0.0,12.264004687085869,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,5,0,0,2,29.901319760846633,0.48339714876819045
hardware_gap/all-bind,30,30,28,61.856632454374676,0.4,24.74265298174987,queue_haul_lp,29.901319760846633,True,True,,7,service:pool/germany:0,0.35681311900710944,0.9888223065763022,0.9142091152815013,0.06597499334929503,0.8970087016931956,0.0,0.0,0.49385197729469177,0.2676098392553321,0.24720557664407544,341.0,248.00000000000003,22.42521754232989,0.0,0.0,12.346299432367294,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,5,0,0,2,29.901319760846633,0.48339714876819045
hardware_gap/all-bind,30,30,28,61.856632454374676,0.42500000000000004,26.28906879310924,queue_haul_lp,30.12338581254926,True,True,,8,service:pool/germany:0,0.35681311900710944,0.9957612744080432,0.9142091152815013,0.08060654429369514,0.8970087016931956,0.1329201787349584,0.0,0.49385197729469177,0.2676098392553321,0.24894031860201069,341.0,303.00000000000006,22.42521754232989,3.32300446837396,0.0,12.346299432367294,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,5,0,1,2,30.12338581254926,0.48698716075059867
hardware_gap/all-bind,30,30,28,61.856632454374676,0.45,27.835484604468604,queue_haul_lp,38.138253042832986,True,True,,11,migration:pool/germany:kv_transfer,0.35681311900710944,0.7721069154000912,0.9142091152815013,0.15961691939345574,0.8970087016931956,0.2658403574699168,0.0,0.9811203749668695,0.2676098392553321,0.19302672885002273,341.0,600.0000000000001,22.42521754232989,6.64600893674792,0.0,24.528009374171738,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,5,0,2,4,38.138253042832986,0.6165588317625225
hardware_gap/all-bind,30,30,28,61.856632454374676,0.47500000000000003,29.381900415827975,queue_haul_lp,42.203131682898615,True,True,,14,migration:pool/germany:kv_transfer,0.3409045615460362,0.885816377779554,0.7667560321715817,0.21814312317105616,0.7640811807360149,0.7975210724097505,0.0,0.9811203749668695,0.25567842115952716,0.2214540944448884,286.0,820.0000000000001,19.102029518400375,19.938026810243763,0.0,24.528009374171738,0.75,0.2499999999999999,373,3759,25.0,25.0,25.0,25.0,replica-s/s,replica-s/s,blocks,blocks,replica-s,replica-s,replica-s,replica-s,4,0,6,4,42.203131682898615,0.6822733473896685
