workload,deadline_s,bandwidth_tbps,policy,handoff_fraction,recovered_handoff_fraction,power_shed_mw,full_handoff_power_mw,kv_source_session_fraction,replay_source_session_fraction,kv_share_of_moved,timing_consistent_handoff_fraction,locally_passing_handoff_fraction,simulate_s,audit_s,resident_ttft_attainment,incoming_ttft_attainment
coding,30,0.1,queue_haul,0.8607371549524303,0.8607371549524312,0.38750471620636345,0.45020098641818174,0.004322440073346438,0.7914770790786547,0.005431569094126122,0.6143603262701006,0.006395061287093246,14.796715583652258,11.345887125469744,0.8583172740537061,0.953483124851761
coding,30,0.1,greedy,0.8277243853944408,0.8277243853944404,0.37264233478696046,0.45020098641818174,0.0,0.708502100210021,0.0,0.7322558350029676,0.0,2.848350332118571,5.269708833657205,0.8556105610561056,0.9479574175498494
coding,30,0.1,kv_only,0.10440244391177095,0.10402812062538608,0.047002083233548174,0.45020098641818174,0.06805503598695185,0.0,1.0,0.10440244391177116,0.07452299428026965,4.7176627507433295,1.9453649166971445,1.0,0.6814161195247344
coding,30,0.1,replay_only,0.8586582911366538,0.8586582911366542,0.3865688096658718,0.45020098641818174,0.0,0.7929324134588944,0.0,0.5333526371568784,0.0,5.782300291582942,10.968671834096313,0.8574798938242643,0.952301909162316
coding,30,0.1,isolated_fastest,0.8032715727176615,0.8032715720914478,0.3616336543991754,0.45020098641818174,0.0028688751895108197,0.7599037538688087,0.003761114492339071,0.44646774693355157,0.004167040739091132,15.092407583259046,14.301919750869274,0.8725557398856338,0.9522293257346587
coding,30,0.4,queue_haul,0.8670963681056547,0.8670926606980502,0.39036764024078857,0.45020098641818174,0.018988546044143788,0.7856287363625166,0.02359947574994644,0.614073274965822,0.0267834267356128,17.98572645802051,11.522887332364917,0.8611166869673198,0.9536655118199854
coding,30,0.4,greedy,0.8277243853944408,0.8277243853944404,0.37264233478696046,0.45020098641818174,0.0,0.708502100210021,0.0,0.7326316871254006,0.0,2.538967584259808,3.638831582851708,0.8556105610561056,0.9479574175498494
coding,30,0.4,kv_only,0.2137366784414627,0.2116004587294642,0.09622446346809223,0.45020098641818174,0.13720025289153567,0.0,1.0,0.21373667844146135,0.14889590251012694,4.4689367916435,1.83217379078269,1.0,0.6011162404592405
coding,30,0.4,replay_only,0.8586582903680062,0.8586582903680071,0.3865688093198259,0.45020098641818174,0.0,0.7929324182418234,0.0,0.610120399633894,1.033315626526265e-09,7.307140042074025,7.483355792239308,0.8693021232283376,0.9523019093893661
coding,30,0.4,isolated_fastest,0.8096397668881405,0.8096397656357147,0.3645006216964276,0.45020098641818174,0.01148731885877866,0.7468990199102095,0.015147054042962937,0.4626389191529249,0.016712089706375576,14.212574082426727,13.906391167081892,0.8738603067068001,0.9515109189841449
coding,30,1.0,queue_haul,0.8794893721953068,0.8794893721953072,0.3959469829066345,0.45020098641818174,0.043130036799493704,0.7785512676377883,0.0524899819024491,0.6216242792951123,0.06413246084608615,16.521725040860474,8.953881208784878,0.865424628670679,0.9541490035403518
coding,30,1.0,greedy,0.8277243853944408,0.8277243853944404,0.37264233478696046,0.45020098641818174,0.0,0.708502100210021,0.0,0.7318799828805347,0.0,2.5262315003201365,3.7754285829141736,0.8556105610561056,0.9479574175498494
coding,30,1.0,kv_only,0.37924687833569537,0.3486325276383958,0.17073731872274622,0.45020098641818174,0.2403902612829079,0.0,1.0,0.37924687833568976,0.31440629665443426,4.3567838333547115,1.510478250682354,1.0,0.7682463956533534
coding,30,1.0,replay_only,0.8586582911366538,0.8586582911366538,0.3865688096658718,0.45020098641818174,0.0,0.7929324134588944,0.0,0.5333526371568712,0.0,4.356727916747332,6.866264540702105,0.8574830749459474,0.9523019091623157
coding,30,1.0,isolated_fastest,0.8124639487252523,0.8124639437118389,0.3657720711453196,0.45020098641818174,0.043109922442038054,0.6963685846955388,0.0582977355338032,0.5749222952216381,0.0508936099307089,10.842301290482283,10.3212421676144,0.8876737480407711,0.9509889703343116
coding,30,2.0,queue_haul,0.8999837521956311,0.8999779732100104,0.4051735729988096,0.45020098641818174,0.08627896612518322,0.7641608931287692,0.10145216641288586,0.6421167678673572,0.12828063247619087,15.420541499741375,7.415048625320196,0.8676550401694683,0.9538118138686241
coding,30,2.0,greedy,0.8277243853944408,0.8277243853944404,0.37264233478696046,0.45020098641818174,0.0,0.708502100210021,0.0,0.7318799828805347,0.0,2.340192792005837,2.831929124891758,0.8556105610561056,0.9479574175498494
coding,30,2.0,kv_only,0.5739141034360358,0.44032324518809846,0.2583766954862097,0.45020098641818174,0.3971760139563167,0.0,1.0,0.5739141034360244,0.5090735313418462,4.350933000445366,0.9943163748830557,1.0,0.8579955779524137
coding,30,2.0,replay_only,0.8586582911366538,0.8586582911366538,0.3865688096658718,0.45020098641818174,0.0,0.7929324134588944,0.0,0.5333526371568712,0.0,3.7743714172393084,5.000863582827151,0.8574830749459474,0.9523019091623157
