admission_rejected,api_request_bytes,attempt,background,background_warnings,bandwidth,capacity_violations,condition_index,deadline_met,deadline_s,destination,error,eventual_shed_w,eventual_target_met,kv_evidence_warnings,kv_response_bytes,load_warnings,median_tcp_rtt_ms,migration_s,movement_tokens,pack,policy,realized_shed_w,repeat,request_failures,requested_shed_w,retransmissions,scenario_id,session_count,status,target_met,time_to_target_s,workload
False,188317,2,"{""east"": [0.25, 0.96], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,germany,,10.569235311752266,False,0,1509951480,0,,14.821520463,648131,recorded-28-seed-8,isolated_fastest,10.569235311752266,0,0,30.078297046238415,0,bc5f3fd057e75c74,28,complete,False,,agentic_tool_loop
False,761050,1,"{""east"": [0.25, 0.96], ""germany"": [0.75, 0]}",0,controlled_40,[],0,False,45,"east,germany",,32.488757595191856,True,0,5951725417,0,,60.162613216,648131,recorded-28-seed-8,queue_haul_deadline_blind,21.49849818263354,0,0,30.078297046238415,0,5f80daad848d1dde,28,complete,False,59.459475963,agentic_tool_loop
True,20318,1,"{""east"": [0.25, 0.96], ""germany"": [0.75, 0]}",0,controlled_40,"[""candidate:codex:1229e212-7c9e-fc46-e948-4c87690d9e5e-separation-13/kv_transfer/pool/germany""]",0,True,45,,,0.0,False,0,0,0,,0.000636005,648131,recorded-28-seed-8,queue_haul_stale,0.0,0,0,30.078297046238415,0,807cee5df7361bda,28,complete,False,,agentic_tool_loop
False,393570,1,"{""east"": [0.25, 0.96], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,27.308138427518884,False,0,4844427665,0,,20.328496178,648131,recorded-28-seed-8,queue_haul_power_blind,27.308138427518884,0,0,30.078297046238415,0,60e101301f854840,28,complete,False,,agentic_tool_loop
False,302822,1,"{""east"": [0.25, 0.96], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,germany,,13.51195043810634,False,0,4152366570,0,,16.78976411,648131,recorded-28-seed-8,oracle_germany_only,13.51195043810634,0,0,30.078297046238415,0,5cfa2820af1d9f64,28,complete,False,,agentic_tool_loop
False,147617,1,"{""east"": [0.25, 0.96], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,23.033003998612145,False,0,0,0,,13.96769058,648131,recorded-28-seed-8,oracle_replay_only,23.033003998612145,0,0,30.078297046238415,0,05cffa6de379c2c8,28,complete,False,,agentic_tool_loop
False,416254,1,"{""east"": [0.25, 0.96], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,30.63645094899482,True,0,5788147340,0,,18.625699873,648131,recorded-28-seed-8,queue_haul_robust,30.63645094899482,0,0,30.078297046238415,0,5bd1c117e71ebaa2,28,complete,True,18.624799774,agentic_tool_loop
False,197026,1,"{""east"": [0.25, 0.96], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,east,,21.49849818263354,False,0,692061095,0,,14.402326314,648131,recorded-28-seed-8,oracle_east_only,21.49849818263354,0,0,30.078297046238415,0,456c1c20b24239be,28,complete,False,,agentic_tool_loop
False,445109,1,"{""east"": [0.25, 0.96], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,29.512178195244132,False,0,5536488760,0,,22.906625985,648131,recorded-28-seed-8,greedy,29.512178195244132,0,0,30.078297046238415,0,be603af10fc8b416,28,complete,False,,agentic_tool_loop
False,443412,1,"{""east"": [0.25, 0.96], ""germany"": [0.75, 0]}",0,controlled_40,[],0,True,45,"east,germany",,27.567439317037554,False,0,5536488760,0,,22.872857939,648131,recorded-28-seed-8,oracle_kv_only,27.567439317037554,0,0,30.078297046238415,0,fe4aa7c631b3e616,28,complete,False,,agentic_tool_loop
