deadline_s,headline,mode,policy,rho,row_id,seed,sessions,tier,workload,git_sha,planner_seed,source_replicas,destination_replicas,destination_pools,migration_headroom,absorbed_fraction,initial_source_power_w,idle_source_power_w,removable_power_w,credit_target_w,max_shed_probes,planned_shed_w,moves,replay_moves,kv_moves,solve_s,feasible,failure_reason,binding_resource,binding_utilization,executed_shed_w,executed_shed_fraction,landed_sessions,migration_makespan_s,within_contract,within_envelope,destination_offered_rps,destination_rho,committed_kv_fraction,east_replay,east_kv_transfer,germany_replay,germany_kv_transfer
240.0,True,normal,replay_only,0.48,372,1001,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,12444389970985210554,594,1188,150,0.025823172760635282,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,5055.517997090351,8,5301.553159863484,1629,1629,0,3.7945413410197943,True,,migration:pool/germany/node-34,0.9805822620798377,5301.553159863513,0.09018401741132394,1629,227.73091244728158,True,True,2.684341395203213,0.5368682790406426,0.0,946,0,683,0
300.0,True,normal,greedy,0.48,404,1003,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,12107483988163294808,595,1190,150,0.025717074669740714,0.4942829253302593,117685.83026335188,58869.74132999953,58816.088933352345,7355.364391459492,8,8130.542484586957,2062,1315,747,4.888953176006908,True,,migration:pool/germany/node-33,0.9830913211149859,8130.542484586986,0.1382367075410291,2062,290.0121131719208,True,True,2.8463741777232463,0.5692748355446493,0.3622696411251212,1081,0,234,747
300.0,True,normal,replay_only,0.2,436,1002,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,5123935869591119318,592,1184,148,0.3058394425693742,0.49416055743062587,116824.78142117317,58084.81144559924,58739.969975573935,58412.39071058659,8,58739.969975573935,12000,12000,0,9.796523928991519,True,,service:pool/germany/node-65:0,0.995194883211246,58739.96997557048,0.9999999999999412,12000,286.1822384175995,True,True,4.980779532844991,0.9961559065689982,0.0,4629,0,7371,0
375.0,True,normal,greedy,0.3,468,1001,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,17168049280983376295,594,1188,150,0.20582317276063522,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,29413.922892162045,8,58785.950238648664,12000,12000,0,11.205591500998707,True,,migration:pool/east/node-65,0.9970586187341076,58785.950238648074,0.99999999999999,12000,368.91186237461983,True,True,4.400282231072767,0.8800564462145534,0.0,7059,0,4941,0
375.0,True,normal,kv_only,0.3,500,1003,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,11651821596235992858,595,1190,150,0.20571707466974065,0.4942829253302593,117685.83026335188,58869.74132999953,58816.088933352345,3217.9719212635277,8,3449.1589361025544,923,0,923,6.593916073994478,True,,route:pipeline/germany/node-65,0.7257524359682433,3449.15893610254,0.05864311957245179,923,368.18766230454185,True,True,3.675211673304575,0.7350423346609151,1.0,0,0,0,923
450.0,True,normal,queue_haul,0.38,532,1002,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,7580450453472905230,592,1184,148,0.12583944256937413,0.49416055743062587,116824.78142117317,58084.81144559924,58739.969975573935,29206.195355293294,8,57966.439617596356,11954,8061,3893,36.28707342798589,True,,migration:pool/east/node-64,0.9998241232557337,57966.43961759589,0.9868312776070586,11954,444.9219082918017,True,True,4.875827851488312,0.9751655702976624,0.32566504935586416,5235,0,2826,3893
450.0,True,normal,isolated_fastest,0.44,564,1001,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,3960050319296516144,594,1188,150,0.06582317276063532,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,29413.922892162045,8,30265.761357942363,6489,2437,4052,6.136819654988358,True,,migration:pool/germany/node-33,0.997275690436553,30265.76135794248,0.5148468509069763,6489,443.78785568726596,True,True,4.0452197662057126,0.8090439532411425,0.62444136230544,1512,1030,925,3022
450.0,True,normal,replay_only,0.44,596,1003,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,979163066953932535,595,1190,150,0.06571707466974075,0.4942829253302593,117685.83026335188,58869.74132999953,58816.088933352345,22066.093174378475,8,28031.494133400367,6150,6150,0,5.874757095007226,True,,migration:pool/germany/node-65,0.9943326960908455,28031.494133400454,0.47659568396607327,6150,442.4782232034264,True,True,3.6217069760160663,0.7243413952032133,0.0,2906,0,3244,0
600.0,True,normal,greedy,0.48,628,1002,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,3224994562958348220,592,1184,148,0.02583944256937415,0.49416055743062587,116824.78142117317,58084.81144559924,58739.969975573935,14603.097677646647,8,17246.223789707263,3783,2247,1536,5.241799868003,True,,migration:pool/germany/node-64,0.9944993371600963,17246.223789707306,0.2936028703603163,3783,591.7272790532573,True,True,3.3627233562812404,0.6725446712562481,0.40602696272799366,1727,0,520,1536
600.0,True,normal,replay_only,0.2,660,1001,12000,natural,agentic_tool_loop,4aefc342a38d45083a0fc372c3f3fe399919790f,10600154702596752958,594,1188,150,0.3058231727606353,0.49417682723936474,117655.69156864818,58869.74132999952,58785.950238648664,29413.922892162045,8,58785.950238648664,12000,12000,0,9.877146901009837,True,,service:pool/east/node-65:0,0.995194883211246,58785.95023864803,0.9999999999999892,12000,331.20246343393785,True,True,4.980779532844991,0.9961559065689982,0.0,9563,0,2437,0
