deadline_s,policy,rho,seeds,median_executed_shed_fraction,min_executed_shed_fraction,max_executed_shed_fraction,median_executed_shed_kw,median_committed_kv_fraction,contracts_met,median_east_replay,median_east_kv_transfer,median_germany_replay,median_germany_kv_transfer
30.0,greedy,0.2,3,0.10250089985067774,0.09319087156313444,0.10313402013715926,6.025612798038652,0.0194954128440367,3,1133.0,0.0,567.0,34.0
30.0,greedy,0.3,1,0.06670795701016227,0.06670795701016227,0.06670795701016227,3.9235011320719497,0.01572052401746725,1,866.0,0.0,261.0,18.0
30.0,greedy,0.38,3,0.06287367672672663,0.05605012551810427,0.06327648582522385,3.6960888313782343,0.14708520179372198,3,594.0,0.0,356.0,164.0
30.0,greedy,0.44,3,0.03131799761836389,0.03129134987230855,0.031845014353560734,1.841058249567257,0.0,3,297.0,0.0,219.0,0.0
30.0,greedy,0.48,3,0.007822837468077137,0.007770395369970083,0.007859430674356295,0.46010870423358574,0.0,3,74.0,0.0,55.0,0.0
30.0,isolated_fastest,0.2,3,0.08122917417480535,0.07891298858381306,0.08182638732026995,4.771399252168733,0.018706157443491817,3,968.0,0.0,280.0,24.0
30.0,isolated_fastest,0.3,1,0.06463809064059046,0.06463809064059046,0.06463809064059046,3.799811579919013,0.011059907834101382,1,800.0,0.0,273.0,12.0
30.0,isolated_fastest,0.38,3,0.06287367672672663,0.05605012551810427,0.06327648582522385,3.6960888313782343,0.14708520179372198,3,594.0,0.0,356.0,164.0
30.0,isolated_fastest,0.44,3,0.03129134987230855,0.031212406062546983,0.03131799761836389,1.840434816934343,0.0,3,297.0,0.0,219.0,0.0
30.0,isolated_fastest,0.48,3,0.007822837468077137,0.007770395369970083,0.007859430674356295,0.46010870423358574,0.0,3,74.0,0.0,55.0,0.0
30.0,kv_only,0.2,2,0.0,0.0,0.0,0.0,1.0,0,0.0,32.0,0.0,0.0
30.0,kv_only,0.3,2,0.0,0.0,0.0,0.0,1.0,0,0.0,31.5,0.0,0.0
30.0,kv_only,0.38,2,0.03902733309638748,0.03896154507233926,0.0390931211204357,2.29395223812652,1.0,2,0.0,222.5,0.0,412.5
30.0,kv_only,0.44,3,0.023457979294256043,0.023368558826272853,0.023472640483810536,1.3797065963677013,1.0,3,0.0,148.0,0.0,235.0
30.0,kv_only,0.48,3,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,74.0
30.0,queue_haul,0.2,2,0.10533663645595272,0.10493760247336723,0.10573567043853821,6.189883392034688,0.024982599435855395,2,966.5,0.0,768.5,44.5
30.0,queue_haul,0.3,2,0.07537400997992474,0.07525646288050272,0.07549155707934675,4.430331304919666,0.12180509955895351,2,248.0,0.0,938.0,164.5
30.0,queue_haul,0.38,3,0.06287367672672663,0.05606595249516317,0.06327648582522385,3.6960888313782343,0.14708520179372198,3,592.0,0.0,357.0,164.0
