deadline_s,policy,headline_sessions,headline_shed,fleet_sessions,fleet_shed,delta
300.0,queue_haul,12000,0.6956820828601314,50000,0.6945003554302549,-0.0011817274298765446
300.0,greedy,12000,0.6251727626328057,50000,0.6242597776801818,-0.0009129849526239298
300.0,isolated_fastest,12000,0.6548405487036772,50000,0.653633130511236,-0.0012074181924413008
300.0,kv_only,12000,0.09502129963582553,50000,0.5701261174376417,0.47510481780181624
300.0,replay_only,12000,0.6251727626328057,50000,0.6241549788543047,-0.0010177837785010357
600.0,queue_haul,12000,0.9999999999999912,50000,0.9999999999999253,-6.59472476627343e-14
600.0,isolated_fastest,12000,0.9920541511669293,50000,0.9839754053783326,-0.008078745788596686
600.0,kv_only,12000,0.07385934211467347,50000,0.9453740788638648,0.8715147367491913
600.0,replay_only,12000,0.99999999999999,50000,0.9999999999998971,-9.29256671611256e-14
