phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,296.5867083333333
baseline,1,240,240,1.0,83.17866666666667
drain,0,305,305,1.0,105.41022950819674
drain,1,305,305,1.0,344.30400000000003
post,0,240,240,1.0,88.61270833333334
post,1,240,240,1.0,326.678
