phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,297.1955
baseline,1,240,240,1.0,83.18566666666666
drain,0,350,350,1.0,103.05514285714287
drain,1,350,350,1.0,296.5367142857143
post,0,240,240,1.0,88.32091666666666
post,1,240,240,1.0,337.00075
