sessions,source_instances,source_nodes,solver,bandwidth_gbps_per_node,deadline_s,end_s,target_fraction_of_removable_power,initial_source_power_w,minimum_awake_source_power_w,removable_source_power_w,requested_source_drop_w,planned_source_drop_w,modeled_source_drop_at_deadline_w,modeled_fraction_of_removable_power_shed,plan_feasible,planned_moves,replay_moves,kv_moves,moves_completed_by_deadline,moves_completed_by_end,source_nodes_drained_by_deadline,source_nodes_drained_by_end,makespan_s,p95_migration_time_s,p95_service_pause_ms,network_gb,destination_queue_max_depth,destination_queue_p95_observed_wait_s,build_s,plan_s,execute_s
1,1,1,node_aware,1.0,120,180,0.5,544.173619064978,536.9633567344,7.210262330577962,3.605131165288981,7.210262330577962,7.210262330577962,1.0,True,1,1,0,1,1,1,1,8.137082365543206,8.137082365543206,0.10033899999939422,6.4187e-05,0,0.0,0.000645332969725132,0.0005312501452863216,0.00016404176130890846
1,1,1,node_drain,1.0,120,180,0.5,544.173619064978,536.9633567344,7.210262330577962,3.605131165288981,7.210262330577962,7.210262330577962,1.0,True,1,1,0,1,1,1,1,8.137082365543206,8.137082365543206,0.10033899999939422,6.4187e-05,0,0.0,0.000645332969725132,0.0015965416096150875,0.00018004188314080238
1,1,1,lp,1.0,120,180,0.5,544.173619064978,536.9633567344,7.210262330577962,3.605131165288981,7.210262330577962,7.210262330577962,1.0,True,1,1,0,1,1,1,1,8.137082365543206,8.137082365543206,0.10033899999939422,6.4187e-05,0,0.0,0.000645332969725132,0.016423875000327826,0.00016920780763030052
3,1,1,node_aware,1.0,120,180,0.5,558.5941437261341,536.9633567344,21.630786991734112,10.815393495867056,14.42052466115615,14.42052466115615,0.6666666666666702,True,2,2,0,2,2,0,0,16.27416473108641,8.137082365543206,0.10033899999939422,0.000128374,0,0.0,0.0003025829792022705,0.0005389577709138393,0.00021941587328910828
3,1,1,node_drain,1.0,120,180,0.5,558.5941437261341,536.9633567344,21.630786991734112,10.815393495867056,21.630786991734112,21.630786991734112,1.0,True,3,3,0,3,3,1,1,24.411247096629616,8.137082365543206,0.10033899999939422,0.000192561,0,0.0,0.0003025829792022705,0.0014116251841187477,0.0003008325584232807
3,1,1,lp,1.0,120,180,0.5,558.5941437261341,536.9633567344,21.630786991734112,10.815393495867056,14.42052466115615,14.42052466115615,0.6666666666666702,True,2,2,0,2,2,0,0,16.27416473108641,8.137082365543206,0.10033899999939422,0.000128374,0,0.0,0.0003025829792022705,0.011160333175212145,0.0002560419961810112
10,1,1,node_aware,1.0,120,180,0.5,601.5198994017401,536.9633567344,64.55654266734007,32.27827133367009,35.71549334502788,35.71549334502788,0.5532435887880467,True,6,6,0,6,6,0,0,33.619667964387396,5.603277994064566,0.10033900000006035,0.000313698,0,0.0,0.00044108275324106216,0.0011455416679382324,0.0008559999987483025
10,1,1,node_drain,1.0,120,180,0.5,601.5198994017401,536.9633567344,64.55654266734007,32.27827133367009,64.55654266734007,64.55654266734007,1.0,True,10,10,0,10,10,1,1,66.16799742656023,8.137082365543211,0.10033899999988272,0.000570446,0,0.0,0.00044108275324106216,0.001913584303110838,0.0006692502647638321
10,1,1,lp,1.0,120,180,0.5,601.5198994017401,536.9633567344,64.55654266734007,32.27827133367009,42.925755675605956,42.925755675605956,0.6649326915910355,True,7,7,0,7,7,0,0,41.756750329930604,7.376941054099613,0.10033900000001594,0.000377885,0,0.0,0.00044108275324106216,0.01274595782160759,0.0005664592608809471
32,1,1,node_aware,1.0,120,180,0.5,685.1718931507537,536.9633567344,148.2085364163537,74.10426820817679,78.56092170685497,60.53845180905091,0.4084680496336846,False,21,21,0,18,21,0,0,143.00688159014226,8.137082365543208,0.10033899999939422,0.001216983,0,0.0,0.0007297908887267113,0.0028397920541465282,0.0013446249067783356
32,1,1,node_drain,1.0,120,180,0.5,685.1718931507537,536.9633567344,148.2085364163537,74.10426820817679,59.312137238100036,59.312137238100036,0.40019379903649993,False,17,17,0,17,17,0,0,110.45855212796945,8.137082365543208,0.10033899999957185,0.000960235,0,0.0,0.0007297908887267113,0.004032874945551157,0.0011536669917404652
32,1,1,lp,1.0,120,180,0.5,685.1718931507537,536.9633567344,148.2085364163537,74.10426820817679,59.312137238100036,59.312137238100036,0.40019379903649993,False,17,17,0,17,17,0,0,110.45855212796945,8.137082365543208,0.10033899999957185,0.000960235,0,0.0,0.0007297908887267113,0.016259875148534775,0.0011237501166760921
