scenario_id,action,predicted_s,measured_s
5e19c10f47fa0204,kv_transfer,66.30013299799998,48.50496227
23a72a106e2a7034,kv_transfer,66.59731704683333,51.979705003
44e6021622f13c41,mixed,33.87214412575,27.920613674
009fee0bfe56408f,mixed,16.815725791749998,14.793965764
46d879e878d8bae5,kv_transfer,65.41759367641666,47.986739583
6c976fd2a76d2617,replay,25.599413442680643,12.619287223
568228eaa5443785,replay,20.389835166957134,10.124843228
97b136f62064c0cd,kv_transfer,76.89060485699999,61.896008706
46b68ab8f07e84f0,mixed,17.457572571083332,15.367752612
9be4464a60680e7c,kv_transfer,21.573085130166664,17.879407332
d8b002060654b701,kv_transfer,47.98376044616666,35.955866161
d2b76f04ec6f738b,mixed,16.5750332495,15.615982419
2053d93676da8102,kv_transfer,15.451801385666665,11.956615116
c193127b8694cb1f,kv_transfer,26.70785936483333,22.227540819
896a405cda8159b6,mixed,10.882758576655966,11.833729398
3ef1a50a4c9045ae,replay,34.16577281838077,17.53026314
ed8200dbbfc933aa,kv_transfer,16.013417317583333,14.545680358
c798848b580b7008,replay,32.028996604035015,16.498249838
2d9c6d122da4cca7,mixed,7.281867020593308,7.333838331
dfff00fc6a23b887,mixed,15.11948688807211,9.298008549
ab1aedf902a9d60a,replay,29.72798047758639,15.41116433
017cfd00898f2fbe,mixed,37.081378022416665,30.319290475
c36e41db15f6eac1,kv_transfer,69.50936689466666,52.336275993
4fd34b26108ece6a,replay,20.610065458250787,11.015543948
c0d62e4c7dfeab1d,mixed,11.897904758499998,13.050590242
1a8eba97f5894a3f,mixed,8.768901709249999,7.838219446
2393590ee86583a4,kv_transfer,40.07365871766666,26.841897029
8d76fece27467b2d,replay,21.098036817467456,11.623539703
360f6ccaf00a2e1d,replay,22.21501951144686,11.025944189
1930fd3f87924497,replay,32.33919403526173,16.35756035
78b75054393537f2,mixed,20.58657562033333,15.9504042
73c41bd81232f954,replay,11.738026144901072,6.185554206
2d8c0fdae0d14545,kv_transfer,72.076754012,50.845241678
4bfc4c78be8efa6d,mixed,7.645669845416665,6.760069962
758eb7c1b2624440,replay,37.926276698040596,19.836599565
5d9f805095f6b266,replay,30.0027797786741,17.426093119
e733f94ea496fb02,mixed,12.643721726083331,11.157813426
06dcf876710544f4,mixed,37.24183971725,27.16927794
f4ab5d289523cd47,mixed,18.74126612975,19.468227002
b53a03f0b2944ae4,replay,22.800962837034,12.212211995
0917cb3f6f582d29,replay,12.696786717714026,7.132990955
f6cd57a993e3fe57,kv_transfer,32.50821971966666,24.236258362
90050d29616bb80a,mixed,16.25410985983333,12.808595584
8dff545c8dfa133b,kv_transfer,56.86564516858332,42.720094825
387199f333964c0a,replay,23.190138130672487,12.110550484
479b9dae4bd778bc,kv_transfer,67.72054891066666,51.501096993
1a3963bef2203690,replay,21.153930887409572,10.866879197
1fbffc6c5095ec4c,mixed,24.862549874249996,19.174949803
94b1d3561e834671,replay,14.259201692910136,7.879331134
63cfdae678a6412b,kv_transfer,41.70201500683333,27.923858558
f7132cbec590b2d2,kv_transfer,20.747037315166665,17.046301279
ce80f161137c8356,mixed,23.819548857833333,17.394552317
4f992fb7a0e3c6c4,replay,18.929033896307608,12.466268722
c0480444f9bbd01a,kv_transfer,69.02798181016665,47.533875864
6eb46c1a2dec5163,kv_transfer,73.36044757066665,53.218062162
9a23e981525c927c,kv_transfer,29.860601754916665,20.865725749
a8b02e4de352f925,mixed,24.862549874249996,19.33896674
44f449a4159bafff,mixed,28.232245465749997,22.546966959
7455b5a1e9d51c95,mixed,14.729723758916665,13.750978423
e46c294ae84dafb6,mixed,24.30093394233333,19.623636784
92476d688216c96e,mixed,26.868321059666663,20.515440321
ae527e5518fcc601,replay,23.18346681001514,15.992933738
85bc419a0d0a9f94,kv_transfer,58.25330891549999,41.975358699
66258acb292bae92,replay,14.841300257293252,8.268653575
fa5d50c7b554a377,replay,20.351539635460135,11.005928524
bf64c857ee2eb660,kv_transfer,21.974239367249996,16.188545684
5ab56a08fac430c8,kv_transfer,50.20648483299999,35.693924953
987720414bb89051,kv_transfer,32.82914310933333,24.047832285
a43b93215be0bc7f,replay,25.878232933231587,13.829280026
ee5297a3dc6aa974,mixed,22.13470106208333,16.13176971
7206d54e6f168600,mixed,17.618034265916663,15.398636753
d1a6373c17afa2e5,replay,18.606024831945206,9.954835174
70968b2c3e249cd0,mixed,18.027310584827443,10.400435365
aceaa615ccdb7188,kv_transfer,36.383039736499995,25.35129153
463bd84722532b81,replay,21.076810142791924,11.568612485
659749070e7b5cae,kv_transfer,33.73542177175,23.092967222
cec2c56a291ca0aa,mixed,20.374572210930072,13.589890436
7ffc45ed2a11f4f4,replay,17.078253455020707,9.495755182
b79ad78fd0b6948c,replay,16.88702387164429,9.023246345
c5c5432c1e7eaad6,kv_transfer,49.219975323166665,36.471008744
a3239a64cf0da987,mixed,8.608440014416665,9.180350499
a77340c761acf8ed,kv_transfer,40.739244837833326,27.024217144
675b3914d1d51e71,replay,24.26345650244469,13.156821321
6f8cd2c768fceea7,kv_transfer,60.09861840608332,42.739423148
29acd02b91543266,kv_transfer,52.292486865833325,36.78167343
6d2dfeee5abbf956,kv_transfer,20.66680646775,16.536552697
79e7704c87e6ef93,mixed,10.791191998890923,6.203591776
623d24c05d37618f,mixed,13.766953589916664,11.309021659
748bbacb4ef02538,mixed,40.77199700358332,32.350656022
48a2e4845e4b6cef,replay,32.096511428673324,18.229710153
2b59be9365137702,replay,24.563337317053623,12.642826282
