sequence,stage,family,cohort,source_gpu_uuid,prompt_tokens,output_tokens,concurrency,realized_prefill_tps,realized_decode_tps,predicted_power_w,measured_power_w,residual_w
0,idle,idle,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,0,0,0,0.0,0.0,119.64291666666666,97.34927083333334,-22.29364583333333
1,discovery,prefill,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,8192,1,1,14229.257946807664,1.73696996420992,297.2994705069285,297.61957446808515,0.320103961156633
2,discovery,agentic,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,8192,64,4,12010.629461907472,93.83304267115213,297.57744750369733,296.88654205607475,-0.6909054476225833
3,discovery,decode,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,256,512,16,795.7781528295208,1591.5563056590415,300.63756598574486,299.24733333333336,-1.3902326524114983
4,discovery,prefill,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,28672,1,1,7961.272119107474,0.2776671358505676,293.87416158988617,293.08849557522126,-0.7856660146649119
5,discovery,decode,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,8192,512,1,2601.1976527935803,162.57485329959877,294.0987891767596,282.48656565656563,-11.612223520193993
6,discovery,decode,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,256,512,1,114.19591349972609,228.39182699945218,293.9003641358379,296.56142857142856,2.6610644355906743
7,discovery,decode,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,256,512,4,305.23258865252564,610.4651773050513,298.77274617389315,298.3385576923077,-0.4341884815854655
8,discovery,agentic,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,8192,64,16,13033.41328180702,101.82354126411734,297.90304208989534,298.05063694267517,0.1475948527798323
9,discovery,campaign,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,604,64,1,1867.5097731669603,197.8818302693468,294.51202024664025,292.4948958333333,-2.017124413306931
10,discovery,decode,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,8192,512,16,8308.93834320562,519.3086464503513,299.3287318701691,297.51861788617884,-1.8101139839902771
11,discovery,decode,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,28672,512,16,6681.794908178955,119.31776621748133,295.88766381290645,296.0945640074211,0.20690019451467379
12,discovery,prefill,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,8192,1,1,13849.504972975665,1.6906134000214434,297.17873718062015,297.70897959183674,0.5302424112165909
13,discovery,decode,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,28672,512,1,4143.395500867174,73.9892053726281,292.441713644576,290.0226851851852,-2.419028459390802
14,discovery,decode,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,256,512,8,501.9441781631306,1003.8883563262611,299.9538289448939,299.0904210526316,-0.8634078922623303
15,discovery,decode,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,8192,512,2,3892.2113598706483,243.26320999191552,296.5855345795005,295.38357142857143,-1.201963150929089
16,discovery,decode,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,28672,512,1,4143.523521800731,73.99149146072735,292.44198842043915,289.15527777777777,-3.286710642661376
17,discovery,prefill,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,2048,1,16,18170.19675143757,8.872166382537875,298.3036545786403,298.5212244897959,0.21756991115557867
18,discovery,prefill,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,28672,1,4,7887.426291762145,0.2750915977874632,293.8030628441103,299.67263157894735,5.86956873483706
19,discovery,agentic,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,16384,64,16,10253.091563840557,40.051138921252175,296.30030168361947,296.09265,-0.20765168361947417
20,discovery,decode,fit_campaign,GPU-d809b3d2-a896-24d6-65b3-48aae6e5ab86,28672,512,8,6302.75720111076,112.54923573412073,295.5433270421512,297.72456140350874,2.1812343613575536
