workload,method,seed,requested_shed_w,predicted_shed_w,measured_shed_w,predicted_percent,measured_percent
interactive_coding,greedy,0,24.48083239881769,26.03393257067323,35.73929166666666,14.279056418845915,19.602238758688085
interactive_coding,greedy,1,24.48083239881769,26.03393257067323,27.883749999999992,14.279056418845915,15.293641801450612
interactive_coding,greedy,2,24.48083239881769,26.03393257067323,32.17933333333336,14.279056418845915,17.649677586747845
interactive_coding,lp,0,24.48083239881769,31.265926069380754,7.806686018131103,17.148693195705242,4.281800676655396
interactive_coding,lp,1,24.48083239881769,31.265926069380754,8.47004166666666,17.148693195705242,4.645637093051031
interactive_coding,lp,2,24.48083239881769,31.265926069380754,1.0396605648535484,17.148693195705242,0.5702316321859143
interactive_coding,greedy,0,48.96166479763538,48.96166479763538,38.15187499999999,26.854428239305314,20.925489229523237
interactive_coding,greedy,1,48.96166479763538,48.96166479763538,40.56442712691771,26.854428239305314,22.24872258430541
interactive_coding,greedy,2,48.96166479763538,48.96166479763538,46.46652737099025,26.854428239305314,25.485898610094615
interactive_coding,lp,0,48.96166479763538,48.96166479763538,37.84929166666666,26.854428239305314,20.759528728690714
interactive_coding,lp,1,48.96166479763538,48.96166479763538,37.46670833333333,26.854428239305314,20.54968993515667
interactive_coding,lp,2,48.96166479763538,48.96166479763538,43.172965481171545,26.854428239305314,23.679450202194094
coding,greedy,0,91.16124975986818,135.80291132946064,128.50531450488145,74.4849986629105,70.48242254432827
coding,greedy,1,91.16124975986818,135.80291132946064,149.216660390516,74.4849986629105,81.84215375698233
coding,greedy,2,91.16124975986818,135.80291132946064,141.67087499999997,74.4849986629105,77.70345150663323
coding,lp,0,91.16124975986818,135.80291132946064,165.71450000000004,74.4849986629105,90.89086669857852
coding,lp,1,91.16124975986818,135.80291132946064,169.20532147838213,74.4849986629105,92.80550778104362
coding,lp,2,91.16124975986818,135.80291132946064,157.79217573221757,74.4849986629105,86.54564090985194
coding,greedy,0,182.32249951973637,182.32249951973637,206.3548953974896,100.0,113.18125625803617
coding,greedy,1,182.32249951973637,182.32249951973637,215.07168462343097,100.0,117.96222912145272
coding,greedy,2,182.32249951973637,182.32249951973637,200.77275505578797,100.0,110.11957141035924
coding,lp,0,182.32249951973637,182.32249951973637,215.84572873082288,100.0,118.38677579530311
coding,lp,1,182.32249951973637,182.32249951973637,207.974,100.0,114.06930057882782
coding,lp,2,182.32249951973637,182.32249951973637,222.35537813807537,100.0,121.95717957124948
agentic_tool_loop,greedy,0,91.16124975986818,95.65010429187919,99.46991666666665,52.46204091312662,54.557126481199354
agentic_tool_loop,greedy,1,91.16124975986818,95.65010429187919,89.11849999999995,52.46204091312662,48.87959535150674
agentic_tool_loop,greedy,2,91.16124975986818,95.65010429187919,82.46963249651319,52.46204091312662,45.232833420861404
agentic_tool_loop,lp,0,91.16124975986818,95.65010429187919,66.89640616246501,52.46204091312662,36.6912511284563
agentic_tool_loop,lp,1,91.16124975986818,95.65010429187919,100.48733333333331,52.46204091312662,55.115157809941934
agentic_tool_loop,lp,2,91.16124975986818,95.65010429187919,96.35629166666666,52.46204091312662,52.84936961728967
agentic_tool_loop,greedy,0,182.32249951973637,182.32249951973637,206.71300000000002,100.0,113.37766899012011
agentic_tool_loop,greedy,1,182.32249951973637,182.32249951973637,202.75383333333338,100.0,111.20615056694379
agentic_tool_loop,greedy,2,182.32249951973637,182.32249951973637,208.3467916666667,100.0,114.27376885216144
agentic_tool_loop,lp,0,182.32249951973637,182.32249951973637,208.8745833333333,100.0,114.56325131760421
agentic_tool_loop,lp,1,182.32249951973637,182.32249951973637,197.0670711297072,100.0,108.08708286076053
agentic_tool_loop,lp,2,182.32249951973637,182.32249951973637,204.37742799860536,100.0,112.09665759133668
