scenario_id,action,predicted_s,measured_s
8bb95bac8d5d8d35,replay,10.556234272661262,13.838975245
3af1441a7d99ee83,kv_transfer,52.373626137059354,52.020744437
f145036e2f68b787,mixed,14.444170387874289,15.778234337
d19a99a6a2d90702,mixed,22.97882777897839,25.26572197
26f483708fa9f714,mixed,24.08624737147924,22.265297858
ba22eb224f837290,replay,11.545275597544547,11.789650436
99a23061fb2017af,mixed,8.790769039331797,10.369855109
9cee79e3acd12e04,replay,17.540391819008352,17.19831023
898696a260b305a4,kv_transfer,38.48072813597838,37.154500195
cfba119c1cfccb1f,mixed,5.032986618468312,4.412894663
7118dcd2f78a4a99,kv_transfer,47.55915438136192,45.433452173
c3b34a509c59fce4,replay,15.87142089895327,15.21326745
3ca29a40db5aba48,kv_transfer,33.565336154812464,31.0181392
7212c84eb3d87ac3,kv_transfer,32.777932528262994,32.27808967
e4f89330a779b5c4,replay,15.492811209979996,15.15140247
16a7f6b3ca984e83,kv_transfer,40.68944992575655,37.144939542
32a254656fa3e819,kv_transfer,20.73842677615301,19.159112587
200a93458c005703,replay,6.235130085284787,7.889513167
b664fc498a8b63d4,mixed,7.446182886136381,8.931921763
d62b91689e88c3cc,mixed,17.40839943002595,15.664267738
492e184b6cd8bb97,replay,16.20384947453358,16.272033657
fab83dae8fce03ff,replay,17.838096488555866,17.481089517
adb19a6ea181c250,kv_transfer,43.709751022617525,42.937909268
b9ea7c02f14c9495,mixed,15.103394595976669,14.224458827
