session_class,source_nodes,jobs,deadline_s,target_frac,target_kw,full_node_kw,dest_nodes,workers,method,hit,node_kw,active_kw,cost_s,intensity_s_per_kw
ordinary_chat,1,360,10.0,0.25,1.2513565911611804,5.0054263646447215,12,4,additive LP,False,0.24223615534599957,0.05178122694029079,nan,nan
ordinary_chat,1,360,10.0,0.25,1.2513565911611804,5.0054263646447215,12,4,active-knee LP relaxation,True,1.2513565911611821,0.058909221946048876,15.369012747268773,12.281881004843928
ordinary_chat,1,360,10.0,0.25,1.2513565911611804,5.0054263646447215,12,4,active-knee MILP,True,1.2515282238337713,0.058910434285814876,15.377265723409277,12.286791005243598
ordinary_chat,1,360,10.0,0.25,1.2513565911611804,5.0054263646447215,12,4,live greedy,True,1.2605491997708722,0.058974154600204116,15.404286147575792,12.22029743097358
ordinary_chat,1,360,10.0,0.25,1.2513565911611804,5.0054263646447215,12,4,random jobs,True,1.257228323338515,0.058950697349925106,41.695127367975466,33.16432392905043
ordinary_chat,1,360,30.0,0.25,1.2513565911611804,5.0054263646447215,12,4,additive LP,False,0.24223615534599957,0.05178122694029079,nan,nan
ordinary_chat,1,360,30.0,0.25,1.2513565911611804,5.0054263646447215,12,4,active-knee LP relaxation,True,1.2513565911611821,0.058909221946048876,15.369012747268773,12.281881004843928
ordinary_chat,1,360,30.0,0.25,1.2513565911611804,5.0054263646447215,12,4,active-knee MILP,True,1.2515282238337713,0.058910434285814876,15.377265723409277,12.286791005243598
ordinary_chat,1,360,30.0,0.25,1.2513565911611804,5.0054263646447215,12,4,live greedy,True,1.2605491997708722,0.058974154600204116,15.404286147575792,12.22029743097358
ordinary_chat,1,360,30.0,0.25,1.2513565911611804,5.0054263646447215,12,4,random jobs,True,1.257228323338515,0.058950697349925106,57.34822007632607,45.61480123518087
ordinary_chat,1,360,120.0,0.25,1.2513565911611804,5.0054263646447215,12,4,additive LP,False,0.24223615534599957,0.05178122694029079,nan,nan
ordinary_chat,1,360,120.0,0.25,1.2513565911611804,5.0054263646447215,12,4,active-knee LP relaxation,True,1.2513565911611821,0.058909221946048876,15.369012747268773,12.281881004843928
ordinary_chat,1,360,120.0,0.25,1.2513565911611804,5.0054263646447215,12,4,active-knee MILP,True,1.2515282238337713,0.058910434285814876,15.377265723409277,12.286791005243598
ordinary_chat,1,360,120.0,0.25,1.2513565911611804,5.0054263646447215,12,4,live greedy,True,1.2605491997708722,0.058974154600204116,15.404286147575792,12.22029743097358
ordinary_chat,1,360,120.0,0.25,1.2513565911611804,5.0054263646447215,12,4,random jobs,True,1.257228323338515,0.058950697349925106,107.27769738259983,85.32873098000893
ordinary_chat,1,360,10.0,0.45,2.252441864090125,5.0054263646447215,12,4,additive LP,True,5.00497212542638,0.08542315609322987,58.01561579744063,11.591596185462912
