action,region,cohort,scenario_id,context_tokens,predicted_s,measured_s
kv_transfer,southcentralus,new_holdout,cc9b26465b97fbfb,8192,1.1390883526395454,1.136345306
replay,southcentralus,new_holdout,b0fa6e84ae40ed65,8192,2.5948304968677127,2.428571472
kv_transfer,australiaeast,new_holdout,c8fe9256c1da3b0d,8192,3.873228390845689,4.613734558
replay,australiaeast,new_holdout,9f3fe696a15d0948,8192,2.5948304968677127,2.801355716
kv_transfer,australiaeast,new_holdout,75496f231237e277,24576,11.071944252452855,10.778821086
replay,southcentralus,new_holdout,08e3facd932495df,24576,18.113900252351748,17.9358531
kv_transfer,southcentralus,new_holdout,0e31244eaa906e5c,24576,2.8695241378344263,2.785782594
replay,australiaeast,new_holdout,bf859b91b4c389fb,24576,18.113900252351748,18.299262143
kv_transfer,southcentralus,new_holdout,6205e73362a18581,16384,2.0043062452369855,1.843831718
replay,southcentralus,new_holdout,e856a5c016146991,16384,8.707250797300555,8.369192428
kv_transfer,australiaeast,new_holdout,befdd07c5bfa7131,16384,7.472586321649272,7.737634819
replay,australiaeast,new_holdout,687f52d2b75b725f,16384,8.707250797300555,8.684109709
replay,australiaeast,new_holdout,e565447346144e6d,31488,28.96327586923911,29.040288421
kv_transfer,southcentralus,new_holdout,eaae20eae4c7ef39,31488,3.599551734713516,3.345988182
kv_transfer,australiaeast,new_holdout,cd153dff9fe4a6c2,31488,14.108902506568379,13.796519529
replay,southcentralus,new_holdout,129365568545bcec,31488,28.96327586923911,28.757470445
replay,australiaeast,historical,d341bf20f7b4fe5c,24576,18.113900252351748,36.957606502
replay,australiaeast,historical,d341bf20f7b4fe5c,24576,18.113900252351748,20.738042992
replay,southcentralus,historical,d341bf20f7b4fe5c,24576,18.113900252351748,20.406048391
replay,southcentralus,historical,d341bf20f7b4fe5c,24576,18.113900252351748,38.448292055
replay,southcentralus,historical,d341bf20f7b4fe5c,24576,18.113900252351748,56.863660134
replay,southcentralus,historical,e9202d25c1a6a7c5,31488,28.96327586923911,29.135820183
replay,australiaeast,historical,e9202d25c1a6a7c5,31488,28.96327586923911,58.023162739
replay,southcentralus,historical,e9202d25c1a6a7c5,31488,28.96327586923911,58.064469482
replay,australiaeast,historical,e9202d25c1a6a7c5,31488,28.96327586923911,29.357954499
kv_transfer,southcentralus,historical,466b8179bb003070,16384,2.0043062452369855,3.049591202
kv_transfer,southcentralus,historical,1ac0b7cc93b3bbbf,24576,2.8695241378344263,39.214116477
kv_transfer,southcentralus,historical,1ac0b7cc93b3bbbf,24576,2.8695241378344263,39.213173544
kv_transfer,southcentralus,historical,1ac0b7cc93b3bbbf,24576,2.8695241378344263,56.448047038
kv_transfer,southcentralus,historical,1ac0b7cc93b3bbbf,24576,2.8695241378344263,39.211870934
kv_transfer,southcentralus,historical,1ac0b7cc93b3bbbf,24576,2.8695241378344263,56.447269898
kv_transfer,southcentralus,historical,1ac0b7cc93b3bbbf,24576,2.8695241378344263,56.446504713
kv_transfer,southcentralus,historical,1ac0b7cc93b3bbbf,24576,2.8695241378344263,56.44577115
replay,southcentralus,historical,1ac0b7cc93b3bbbf,24576,18.113900252351748,39.210228251
replay,southcentralus,historical,1ac0b7cc93b3bbbf,24576,18.113900252351748,20.602734259
replay,southcentralus,historical,1ac0b7cc93b3bbbf,24576,18.113900252351748,56.444135666
replay,australiaeast,historical,1ac0b7cc93b3bbbf,24576,18.113900252351748,54.36947556
replay,australiaeast,historical,1ac0b7cc93b3bbbf,24576,18.113900252351748,38.550890112
replay,australiaeast,historical,1ac0b7cc93b3bbbf,24576,18.113900252351748,20.678740211
replay,australiaeast,historical,ae101d9ba946349c,16384,8.707250797300555,11.095324897
kv_transfer,southcentralus,historical,ae101d9ba946349c,16384,2.0043062452369855,1.955897518
replay,australiaeast,historical,ae101d9ba946349c,16384,8.707250797300555,26.125290813
replay,australiaeast,historical,ae101d9ba946349c,16384,8.707250797300555,19.397716309
kv_transfer,southcentralus,historical,e794a3c77e0dc49e,16384,2.0043062452369855,3.60823628
kv_transfer,southcentralus,historical,e794a3c77e0dc49e,16384,2.0043062452369855,4.849256971
kv_transfer,southcentralus,historical,e794a3c77e0dc49e,16384,2.0043062452369855,2.323832401
replay,australiaeast,historical,e794a3c77e0dc49e,16384,8.707250797300555,17.156237136
replay,australiaeast,historical,e794a3c77e0dc49e,16384,8.707250797300555,11.029886969
kv_transfer,southcentralus,historical,e73e80b2c5565a2e,31488,3.599551734713516,8.0421473
kv_transfer,southcentralus,historical,e73e80b2c5565a2e,31488,3.599551734713516,5.667412324
kv_transfer,southcentralus,historical,e73e80b2c5565a2e,31488,3.599551734713516,12.161870933
kv_transfer,southcentralus,historical,e73e80b2c5565a2e,31488,3.599551734713516,14.389046453
kv_transfer,southcentralus,historical,e73e80b2c5565a2e,31488,3.599551734713516,10.598040513
kv_transfer,southcentralus,historical,e73e80b2c5565a2e,31488,3.599551734713516,16.316728802
kv_transfer,australiaeast,historical,e73e80b2c5565a2e,31488,14.108902506568379,18.575867514
kv_transfer,australiaeast,historical,e73e80b2c5565a2e,31488,14.108902506568379,26.469570096
replay,southcentralus,historical,a9a138bac65bbeda,16384,8.707250797300555,18.956274586
replay,australiaeast,historical,a9a138bac65bbeda,16384,8.707250797300555,33.972304917
replay,southcentralus,historical,a9a138bac65bbeda,16384,8.707250797300555,10.658538589
replay,australiaeast,historical,a9a138bac65bbeda,16384,8.707250797300555,11.026164964
replay,southcentralus,historical,a9a138bac65bbeda,16384,8.707250797300555,27.277039087
replay,australiaeast,historical,a9a138bac65bbeda,16384,8.707250797300555,27.691077705
replay,southcentralus,historical,a9a138bac65bbeda,16384,8.707250797300555,35.748835707
replay,australiaeast,historical,a9a138bac65bbeda,16384,8.707250797300555,19.330176519
replay,southcentralus,historical,a9a138bac65bbeda,16384,8.707250797300555,42.160234694
kv_transfer,southcentralus,historical,e1a3353ce27dbe87,16384,2.0043062452369855,2.293475446
