window_s,ell_lo,ell_hi,ell_mean,power_mean_w,power_p10_w,power_p90_w,n
1.0,0.0,0.10148577719408959,0.011776817849039023,85.08481607828408,67.53999999999999,124.29900000000002,7988
1.0,0.10148577719408959,0.20297155438817918,0.15071818781043952,196.75370553722038,92.1905,243.636,2727
1.0,0.20297155438817918,0.3044573315822688,0.2561673355381508,217.53344513928369,96.421,273.5705,1759
1.0,0.3044573315822688,0.40594310877635836,0.3508294970857397,245.75459145021645,162.33075000000002,292.0255,1232
1.0,0.40594310877635836,0.507428885970448,0.45474428319448634,267.0069471856725,206.79925,309.18825,912
1.0,0.507428885970448,0.6089146631645376,0.5573664906279511,279.03641744548287,222.2375,317.53,856
1.0,0.6089146631645376,0.7104004403586271,0.6613150342167222,296.3987243337702,259.55,325.7975,763
1.0,0.7104004403586271,0.8118862175527167,0.761037068873759,305.1722087251829,276.9005,329.77075,638
1.0,0.8118862175527167,0.9133719947468063,0.8605880981963211,313.3741456718346,285.90999999999997,334.14125,516
1.0,0.9133719947468063,1.014857771940896,0.9601763317385043,314.47285240464345,288.196,335.16975,402
1.0,1.014857771940896,1.1163435491349856,1.0598687017636628,320.9048381877023,304.77750000000003,334.3505,309
1.0,1.1163435491349856,1.2178293263290751,1.163189842593264,319.89079081632656,301.9175,336.40500000000003,196
1.0,1.2178293263290751,1.3193151035231647,1.2631797473177255,324.001314699793,306.97249999999997,338.3425,161
1.0,1.3193151035231647,1.4208008807172543,1.3635342876091758,326.79354683195595,313.1725,337.6425,121
1.0,1.4208008807172543,1.5222866579113439,1.4747282594256288,327.1139791666667,312.99600000000004,339.3005,80
1.0,1.5222866579113439,1.6237724351054335,1.5727486913358724,328.38817567567565,315.816,340.1565,37
1.0,1.6237724351054335,1.725258212299523,1.66682954007071,328.37097222222224,317.64649999999995,337.72725,18
1.0,1.725258212299523,1.8267439894936126,1.7555820428944942,328.8471428571429,312.80174999999997,338.00575000000003,14
1.0,1.8267439894936126,1.9282297666877022,1.8925401722438049,327.70875,322.57175,332.84575,2
1.0,1.9282297666877022,2.029715543881792,1.9898136497941548,333.2665,322.895,341.34400000000005,5
1.0,2.029715543881792,2.1312013210758813,2.0652608474343186,339.29791666666665,334.97249999999997,344.85249999999996,6
1.0,2.1312013210758813,2.232687098269971,2.1870383665111808,342.08250000000004,342.08250000000004,342.08250000000004,1
1.0,2.3341728754640605,2.4356586526581503,2.3943913420788863,343.44249999999994,341.82649999999995,345.63050000000004,3
2.0,0.0,0.09243730551934466,0.01659530662548974,85.7253406383752,67.54,139.244125,3538
2.0,0.09243730551934466,0.18487461103868932,0.1362660980659732,163.95382385714288,82.99862500000002,235.17262499999998,1250
2.0,0.18487461103868932,0.277311916558034,0.22564076933459207,191.18386361830605,100.4975,257.649,899
2.0,0.277311916558034,0.36974922207737865,0.32050085657694,221.22122995932045,139.98125,275.096,597
2.0,0.36974922207737865,0.4621865275967233,0.41537386076945515,241.49225854641466,161.116,291.91112499999997,514
2.0,0.4621865275967233,0.554623833116068,0.5081948972611705,263.13396469155845,201.738125,302.92637500000006,440
2.0,0.554623833116068,0.6470611386354126,0.5989696187344589,272.9537440870388,225.57574999999997,307.59700000000004,302
2.0,0.6470611386354126,0.7394984441547573,0.6908287890522525,288.2109210849288,251.53125,320.52,291
2.0,0.7394984441547573,0.831935749674102,0.7867219231445516,302.33626623376625,278.53024999999997,324.68339285714285,253
2.0,0.831935749674102,0.9243730551934466,0.8791294065314662,309.9843870314083,286.116125,328.801125,282
2.0,0.9243730551934466,1.0168103607127912,0.9694930718680362,310.7445812569214,282.94912500000004,332.73437500000006,258
2.0,1.0168103607127912,1.109247666232136,1.0616384902552796,313.4968415750916,290.35524999999996,332.10724999999996,195
2.0,1.109247666232136,1.2016849717514806,1.1533819912124696,319.7788892431973,299.10487500000005,333.7985,168
2.0,1.2016849717514806,1.2941222772708252,1.2431265182389022,319.43807881773404,299.985625,335.2275000000001,116
2.0,1.2941222772708252,1.38655958279017,1.338798517481366,324.39745147515526,312.5525,336.04225,92
2.0,1.38655958279017,1.4789968883095146,1.4352674404805066,328.12379032258065,314.85425,338.70899999999995,62
2.0,1.4789968883095146,1.5714341938288592,1.5301339545837236,329.2923214285714,316.96725,339.2995,33
2.0,1.5714341938288592,1.663871499348204,1.6133913533940492,328.098097826087,311.80825,339.84149999999994,23
2.0,1.663871499348204,1.7563088048675486,1.7011634327848055,330.5265789473684,318.47725,338.66274999999996,19
2.0,1.7563088048675486,1.8487461103868932,1.808186786375481,328.8079166666667,315.075,337.299875,12
2.0,1.8487461103868932,1.941183415906238,1.8812457461197412,331.56979166666673,321.036875,342.204375,6
2.0,1.941183415906238,2.0336207214255824,1.9946957469989564,336.74075000000005,332.69475,340.63675,5
2.0,2.0336207214255824,2.126058026944927,2.0798241060547222,339.186875,336.467375,341.90637499999997,2
2.0,2.126058026944927,2.218495332464272,2.197495864692832,341.905,341.63,342.18,2
5.0,0.0,0.08472771241138409,0.026139915804159763,86.25432763967966,67.56380000000001,123.84419999999999,1137
