bundle,probe_type,level,label,concurrency,input_len,output_len,prefix_len,duration_s,n_requests,input_tps,output_tps,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,power_mean_w
a100_prefill_staircase_tp1_1783368708,prefill_staircase,0,prefill_256_c1,1,256,1,0,24.759857177734375,235,2429.739378872495,9.491169448720683,31.194284558296204,34.32068042457104,nan,nan,141.02242424242422
a100_prefill_staircase_tp1_1783368708,prefill_staircase,1,prefill_1024_c1,1,1024,1,0,21.382582187652588,59,2825.4772725666094,2.7592551489908295,64.09930344671011,65.83797186613083,nan,nan,126.573488372093
a100_prefill_staircase_tp1_1783368708,prefill_staircase,2,prefill_4096_c1,1,4096,1,0,21.573256492614746,15,2847.970589003704,0.6953053195809824,281.16375021636486,283.4933716803789,nan,nan,137.32965116279067
a100_prefill_staircase_tp1_1783368708,prefill_staircase,3,prefill_8192_c1,1,8192,1,0,21.98689317703247,8,2980.6848776824445,0.3638531344827203,584.8583234474063,589.0693839639425,nan,nan,135.05397727272728
a100_prefill_staircase_tp1_1783368708,prefill_staircase,4,prefill_16384_c1,1,16384,1,0,26.07392692565918,4,2513.4687301553513,0.15340995667452095,1891.1746945232153,1953.9435636252165,nan,nan,153.90855769230768
a100_prefill_staircase_tp1_1783368708,prefill_staircase,5,prefill_28672_c1,1,28672,1,0,30.854259729385376,3,2787.8160342987903,0.09723130699981829,4539.363830350339,4618.260633852333,nan,nan,190.74186991869917
