session_class,source_nodes,jobs,deadline_s,target_frac,target_kw,full_node_kw,method,hit,node_kw,achieved_over_target,active_kw,cost_s,intensity_s_per_kw,requested_intensity_s_per_kw
ordinary_chat,4,1439,300.0,0.05,1.0014696990146186,20.02939398029237,LP relaxation,True,1.0014696990146204,1.0000000000000018,0.0575882794776588,13.130534807571259,13.111265194035159,13.111265194035182
ordinary_chat,4,1439,300.0,0.05,1.0014696990146186,20.02939398029237,MILP,True,1.0017427091656337,1.0002726094971057,0.05759020790455799,13.136062210378592,13.113209699644145,13.116784485145809
ordinary_chat,4,1439,300.0,0.05,1.0014696990146186,20.02939398029237,greedy,True,1.0360092003699437,1.0344888131805783,0.2100266705309365,42.842509686064176,41.35340658245674,42.77963649645959
ordinary_chat,4,1439,300.0,0.05,1.0014696990146186,20.02939398029237,random,True,1.1044098568882281,1.1027890888510117,0.20698756117845618,325.0278520112986,294.3000281861782,324.55085993226254
ordinary_chat,4,1439,300.0,0.1,2.002939398029237,20.02939398029237,LP relaxation,True,2.0029393980292327,0.9999999999999978,0.06466223295203045,17.22127222183309,8.597999639318965,8.597999639318948
ordinary_chat,4,1439,300.0,0.1,2.002939398029237,20.02939398029237,MILP,True,2.003503310794784,1.0002815425998917,0.06466621619053585,17.22749006064239,8.598683100657464,8.601103996253268
ordinary_chat,4,1439,300.0,0.1,2.002939398029237,20.02939398029237,greedy,True,2.0063537724453564,1.0017046818388409,0.2168807694255156,46.58650013766954,23.21948440871902,23.25906624209781
ordinary_chat,4,1439,300.0,0.1,2.002939398029237,20.02939398029237,random,True,2.043204970581127,1.0201032405630985,0.22191576708392965,348.43023569313607,170.5312196818099,173.95944981459195
ordinary_chat,4,1439,300.0,0.15,3.0044090970438555,20.02939398029237,LP relaxation,True,3.0044090970438555,1.0,0.07315804055632164,22.773702230122797,7.580093620582713,7.580093620582713
ordinary_chat,4,1439,300.0,0.15,3.0044090970438555,20.02939398029237,MILP,True,3.0045324167349134,1.0000410462380704,0.07315891163385686,22.777206692280323,7.580948890886915,7.581260060319889
ordinary_chat,4,1439,300.0,0.15,3.0044090970438555,20.02939398029237,greedy,True,3.0204109406990103,1.0053261200916013,0.22404363539703484,52.03515655079162,17.227840043099956,17.319597588088403
ordinary_chat,4,1439,300.0,0.15,3.0044090970438555,20.02939398029237,random,True,3.0379337340834347,1.0111584794070039,0.22937357492056185,358.84311968204344,118.12078573541001,119.43883409057771
ordinary_chat,4,1439,300.0,0.2,4.005878796058474,20.02939398029237,LP relaxation,True,4.00587879605847,0.9999999999999989,0.0802319940306933,30.709327991861684,7.666065189510404,7.6660651895103955
ordinary_chat,4,1439,300.0,0.2,4.005878796058474,20.02939398029237,MILP,True,4.005942205717677,1.0000158291507135,0.08023244192939606,30.717672345234924,7.668026838078599,7.668148216431093
ordinary_chat,4,1439,300.0,0.2,4.005878796058474,20.02939398029237,greedy,True,4.011705535564508,1.001454547130025,0.23104571628912207,59.49604140645826,14.830610292558838,14.852182114196395
ordinary_chat,4,1439,300.0,0.2,4.005878796058474,20.02939398029237,random,True,4.018241268647145,1.0030860825347074,0.23629804791949824,364.88519265167605,90.80718858241308,91.08742706112314
ordinary_chat,4,1439,300.0,0.25,5.007348495073092,20.02939398029237,LP relaxation,True,5.007348495073102,1.000000000000002,0.1378202735083522,39.72875414399639,7.934090104390945,7.934090104390961
ordinary_chat,4,1439,300.0,0.25,5.007348495073092,20.02939398029237,MILP,True,5.007644627991968,1.000059139666266,0.1378223652645904,39.73274583618987,7.934418032399883,7.934887271234333
ordinary_chat,4,1439,300.0,0.25,5.007348495073092,20.02939398029237,greedy,True,5.012153034011202,1.0009594976149228,0.23811244937603113,74.91206888530182,14.946085719443815,14.960426453044054
ordinary_chat,4,1439,300.0,0.25,5.007348495073092,20.02939398029237,random,True,5.008147968856171,1.000159660104318,0.24329032531754388,374.62121906424,74.80234637512139,74.81428932554687
ordinary_chat,4,1439,300.0,0.3,6.008818194087711,20.02939398029237,LP relaxation,True,6.00881819408772,1.0000000000000016,0.1448942269827239,45.57993566639091,7.585507531454114,7.585507531454126
ordinary_chat,4,1439,300.0,0.3,6.008818194087711,20.02939398029237,MILP,True,6.009414227343246,1.000099193091933,0.14489843710662767,45.586008622823684,7.5857657499135644,7.586518205472978
ordinary_chat,4,1439,300.0,0.3,6.008818194087711,20.02939398029237,greedy,True,6.009522007979799,1.0001171301692535,0.2470444557441064,85.16484409198246,14.171650254195848,14.173310181988725
