sweep,deadline_s,plan_deadline_s,source_nodes,jobs,mode,variant,ordering,target_basis,target_frac,full_node_kw,target_kw,cost_s,selected_node_kw,selected_active_kw,selected_over_target,selected_hit,selected_node_s_per_kw,selected_active_s_per_kw,egress_realized_node_kw,egress_realized_active_kw,egress_realized_over_target,egress_realized_hit,egress_realized_node_s_per_kw,egress_realized_active_s_per_kw,rebuild_realized_node_kw,rebuild_realized_active_kw,rebuild_realized_over_target,rebuild_realized_hit,rebuild_realized_node_s_per_kw,rebuild_realized_active_s_per_kw
fixed_plan_replay,1.0,300.0,4,74,sf,active-knee MILP,fifo,full_node_expected,0.45,20.47305957305462,9.21287680787458,262.14114824079616,9.213782661439415,8.567427613731935,1.000098324723507,True,28.450980218784906,30.597416174329204,0.0,0.0,0.0,False,nan,nan,0.0,0.0,0.0,False,nan,nan
fixed_plan_replay,1.0,300.0,4,74,sf,active-knee MILP,certified_pd,full_node_expected,0.45,20.47305957305462,9.21287680787458,262.14114824079616,9.213782661439415,8.567427613731935,1.000098324723507,True,28.450980218784906,30.597416174329204,0.0,0.0,0.0,False,nan,nan,0.0,0.0,0.0,False,nan,nan
fixed_plan_replay,1.0,300.0,4,74,sf,active-knee MILP,node_marginal_pd,full_node_expected,0.45,20.47305957305462,9.21287680787458,262.14114824079616,9.213782661439415,8.567427613731935,1.000098324723507,True,28.450980218784906,30.597416174329204,0.0,0.0,0.0,False,nan,nan,0.0,0.0,0.0,False,nan,nan
fixed_plan_replay,1.0,300.0,4,74,sf,active-knee LP relaxation,fifo,full_node_expected,0.45,20.47305957305462,9.21287680787458,259.5225927931689,9.212876807874588,7.163899639653879,1.0000000000000009,True,28.169549881677053,36.22644172130078,0.0,0.0,0.0,False,nan,nan,0.0,0.0,0.0,False,nan,nan
fixed_plan_replay,1.0,300.0,4,74,sf,active-knee LP relaxation,certified_pd,full_node_expected,0.45,20.47305957305462,9.21287680787458,259.5225927931689,9.212876807874588,7.163899639653879,1.0000000000000009,True,28.169549881677053,36.22644172130078,0.0,0.0,0.0,False,nan,nan,0.0,0.0,0.0,False,nan,nan
fixed_plan_replay,1.0,300.0,4,74,sf,active-knee LP relaxation,node_marginal_pd,full_node_expected,0.45,20.47305957305462,9.21287680787458,259.5225927931689,9.212876807874588,7.163899639653879,1.0000000000000009,True,28.169549881677053,36.22644172130078,0.0,0.0,0.0,False,nan,nan,0.0,0.0,0.0,False,nan,nan
fixed_plan_replay,5.0,300.0,4,74,sf,active-knee MILP,fifo,full_node_expected,0.45,20.47305957305462,9.21287680787458,262.14114824079616,9.213782661439415,8.567427613731935,1.000098324723507,True,28.450980218784906,30.597416174329204,0.15827230824067737,3.45178689371331,0.017179466472990967,False,1656.2666656896813,75.94360727141935,0.0,0.0,0.0,False,nan,nan
fixed_plan_replay,5.0,300.0,4,74,sf,active-knee MILP,certified_pd,full_node_expected,0.45,20.47305957305462,9.21287680787458,262.14114824079616,9.213782661439415,8.567427613731935,1.000098324723507,True,28.450980218784906,30.597416174329204,0.3536879518675023,7.495475400841598,0.03839060906200248,False,741.1650491815419,34.973251758169035,0.0,0.0,0.0,False,nan,nan
fixed_plan_replay,5.0,300.0,4,74,sf,active-knee MILP,node_marginal_pd,full_node_expected,0.45,20.47305957305462,9.21287680787458,262.14114824079616,9.213782661439415,8.567427613731935,1.000098324723507,True,28.450980218784906,30.597416174329204,0.3536879518675023,7.495475400841598,0.03839060906200248,False,741.1650491815419,34.973251758169035,0.0,0.0,0.0,False,nan,nan
fixed_plan_replay,5.0,300.0,4,74,sf,active-knee LP relaxation,fifo,full_node_expected,0.45,20.47305957305462,9.21287680787458,259.5225927931689,9.212876807874588,7.163899639653879,1.0000000000000009,True,28.169549881677053,36.22644172130078,0.14261451632205535,3.0747112873495945,0.01547991135626144,False,1819.7487849491356,84.40551601086348,0.0,0.0,0.0,False,nan,nan
fixed_plan_replay,5.0,300.0,4,74,sf,active-knee LP relaxation,certified_pd,full_node_expected,0.45,20.47305957305462,9.21287680787458,259.5225927931689,9.212876807874588,7.163899639653879,1.0000000000000009,True,28.169549881677053,36.22644172130078,0.2914705980136032,6.091947426763542,0.03163730549012364,False,890.3902985818718,42.60092456691554,0.0,0.0,0.0,False,nan,nan
