bundle,probe_type,level,label,concurrency,input_len,output_len,prefix_len,duration_s,n_requests,input_tps,output_tps,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,power_mean_w
a100_decode_staircase_tp1_1783368933,decode_staircase,0,decode_N1,1,256,512,0,61.292508363723755,3,12.530079458365654,25.060158916731307,32.521555200219154,73.78834001719952,18.906529061496258,22.20613937824964,109.06848979591835
a100_decode_staircase_tp1_1783368933,decode_staircase,1,decode_N2,2,256,512,0,61.45917248725891,6,24.992201128617992,49.984402257235985,64.67506242915988,1601.7887783236802,19.381843972951174,22.67017145641148,116.67142857142858
a100_decode_staircase_tp1_1783368933,decode_staircase,2,decode_N4,4,256,512,0,57.54611349105835,12,53.38327497090372,106.76654994180744,77.13265577331185,90.14025866053998,19.471799954771996,22.693153796717525,126.5716956521739
a100_decode_staircase_tp1_1783368933,decode_staircase,3,decode_N8,8,256,512,0,59.693015813827515,24,102.92661404748092,205.85322809496185,104.17187213897705,124.28402001969516,19.888995680958033,23.193958587944508,137.46577405857738
a100_decode_staircase_tp1_1783368933,decode_staircase,4,decode_N16,16,256,512,0,60.342307806015015,48,203.63821747591683,407.27643495183366,212.0877681300044,1812.8339196555316,18.692384008318186,21.916409023106066,150.30792531120335
a100_decode_staircase_tp1_1783368933,decode_staircase,5,decode_N32,32,256,512,0,59.713364124298096,96,411.56616044681573,823.1323208936315,318.3605270460248,484.87154045142233,19.777672830969095,23.133741226047277,178.8172384937239
a100_decode_staircase_tp1_1783368933,decode_staircase,6,decode_N64,64,256,512,0,62.15951156616211,192,790.7398041196477,1581.4796082392954,574.7938235290349,834.0103142429143,21.355866454541683,24.819248681887984,201.03483870967742
a100_decode_staircase_tp1_1783368933,decode_staircase,7,decode_N128,128,256,512,0,74.09864711761475,384,1326.6638977087498,2653.3277954174996,463.6136614717543,868.4914138633758,27.321480214595795,29.928585747256875,213.10966216216215
a100_decode_staircase_tp1_1783368933,decode_staircase,8,decode_N256,256,256,512,0,104.1831202507019,768,1887.138718123346,3774.277436246692,826.3922743499279,1681.4756502397358,43.66735788062215,48.039228562265635,228.39896882494008
a100_decode_staircase_tp1_1783369625,decode_staircase,0,decode_N1,1,4096,512,0,47.583292961120605,2,172.16126691134062,21.520158363917577,194.20844549313188,322.47549393214285,19.27925692871213,22.48398386873305,114.18790575916233
a100_decode_staircase_tp1_1783369625,decode_staircase,1,decode_N2,2,4096,512,0,50.71607327461243,4,323.0534018532058,40.381675231650725,415.0449512526393,661.2981361337006,19.755247049033642,24.272507848218083,117.72990099009903
a100_decode_staircase_tp1_1783369625,decode_staircase,2,decode_N4,4,4096,512,0,52.53611922264099,8,623.7232685789681,77.96540857237102,407.17299515381455,1269.2378120031208,19.821342080831528,23.036311333999038,129.46976190476192
a100_decode_staircase_tp1_1783369625,decode_staircase,3,decode_N8,8,4096,512,0,50.79934597015381,16,1290.0953496232892,161.26191870291115,446.63421530276537,2697.325710672885,20.11838322505355,23.35306233726442,153.11635467980298
a100_decode_staircase_tp1_1783369625,decode_staircase,4,decode_N16,16,4096,512,0,55.194090127944946,32,2374.7470009228005,296.84337511535006,563.3791517466307,4158.128094905987,19.063408952206373,22.322527877986428,176.23352941176472
a100_decode_staircase_tp1_1783369625,decode_staircase,5,decode_N32,32,4096,512,0,61.2905535697937,64,4277.070196494268,534.6337745617835,640.4329603537917,6078.789937356487,22.958521265536547,24.97499817982316,217.09440816326529
a100_decode_staircase_tp1_1783369625,decode_staircase,6,decode_N64,64,4096,512,0,80.68442797660828,128,6498.007275356771,812.2509094195964,1326.365111861378,12153.60468304716,29.743035323917866,37.66977512277663,250.62034161490683
a100_decode_staircase_tp1_1783369625,decode_staircase,7,decode_N128,128,4096,512,0,115.50473093986511,256,9078.20823846529,1134.7760298081612,2677.3009188473225,15408.574199536815,44.09252945333719,353.1964714638889,294.1700865800866
a100_decode_staircase_tp1_1783369625,decode_staircase,8,decode_N256,256,4096,512,0,190.36765217781067,512,11016.32538936384,1377.04067367048,5936.626899987459,43417.45769698173,73.96573107689619,629.1346029844135,321.6012631578948
a100_decode_staircase_tp1_1783370411,decode_staircase,0,decode_N1,1,8192,512,0,47.85773706436157,2,342.3479881208329,21.396749257552056,484.8279654979706,862.1404079720377,18.931929022073746,22.015684796497226,119.68546875
a100_decode_staircase_tp1_1783370411,decode_staircase,1,decode_N2,2,8192,512,0,48.82616400718689,4,671.1155927624535,41.944724547653344,948.8827586174011,1800.8238649461418,19.56026814877987,22.820228710770607,128.02210256410254
a100_decode_staircase_tp1_1783370411,decode_staircase,2,decode_N4,4,8192,512,0,54.48522663116455,8,1202.821462846125,75.17634142788282,967.1484655700624,2618.4782126452774,19.649527966976166,22.98286035656929,139.9244036697248
a100_decode_staircase_tp1_1783370411,decode_staircase,3,decode_N8,8,8192,512,0,54.60766100883484,16,2400.249297965613,150.01558112285082,1044.2561274394393,5012.89516990073,20.11046651750803,23.429839638993144,176.1129357798165
a100_decode_staircase_tp1_1783370411,decode_staircase,4,decode_N16,16,8192,512,0,66.53883457183838,32,3939.714329035585,246.23214556472405,1278.427782934159,11305.81766483374,24.50985601171851,26.44993648864328,211.61063909774438
a100_decode_staircase_tp1_1783370411,decode_staircase,5,decode_N32,32,8192,512,0,87.81298518180847,64,5970.506513524297,373.15665709526854,1431.617851369083,23409.75310564972,30.78074287623167,32.650231942534425,252.34515669515667
a100_decode_staircase_tp1_1783370411,decode_staircase,6,decode_N64,64,8192,512,0,127.4666440486908,128,8226.277610317065,514.1423506448166,2698.8961189053953,45912.649390473955,41.50938568636775,45.917811803519726,296.3044793713163
a100_decode_staircase_tp1_1783370411,decode_staircase,7,decode_N128,128,8192,512,0,207.9852259159088,256,10083.177739018378,630.1986086886486,5081.179071683437,56111.822738312185,62.94018356129527,857.2867263574153,327.30253012048195
a100_decode_staircase_tp1_1783370411,decode_staircase,8,decode_N256,256,8192,512,0,585.2529828548431,512,7166.65121387393,447.9157008671206,6724.687760230154,209032.11142290384,110.35912530496716,931.3453045208007,372.78346301838394
