sequence,stage,family,cohort,source_gpu_uuid,prompt_tokens,output_tokens,concurrency,realized_prefill_tps,realized_decode_tps,predicted_power_w,measured_power_w,residual_w
0,idle,idle,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,0,0,0,0.0,0.0,93.48877551020408,91.7111224489796,-1.777653061224484
1,discovery,prefill,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,8192,1,1,3581.9770294070195,0.43725305534753656,119.78749848386461,115.18124999999999,-4.6062484838646185
2,discovery,agentic,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,8192,64,4,2917.54174618381,22.793294892061017,121.35985564692484,117.73,-3.629855646924838
3,discovery,decode,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,256,512,16,276.0421024981399,552.0842049962798,164.24117109997022,159.2590082644628,-4.98216283550741
4,discovery,prefill,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,28672,1,1,1212.5136582334894,0.04228912033459436,104.21262339660446,103.70880208333334,-0.5038213132711178
5,discovery,decode,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,8192,512,1,492.1931835931083,30.76207397456927,108.72239153582483,115.19867647058824,6.476284934763413
6,discovery,decode,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,256,512,1,17.76226213343162,35.52452426686324,106.75939958123907,112.86076923076922,6.101369649530156
7,discovery,decode,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,256,512,4,70.73879812354902,141.47759624709803,131.4350870270428,133.55179487179487,2.1167078447520566
8,discovery,agentic,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,8192,64,16,2936.8343108221966,22.94401805329841,121.49293885038855,116.58247933884299,-4.910459511545568
9,discovery,campaign,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,604,64,1,333.2520445577484,35.31147492002632,108.98383958058355,115.25970873786407,6.275869157280525
10,discovery,decode,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,8192,512,16,1308.2797266608668,81.76748291630417,125.86539137525608,116.34190651906519,-9.52348485619089
11,discovery,decode,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,28672,512,16,796.347049770704,14.220483031619713,105.71757198914037,104.12033091374893,-1.5972410753914374
12,discovery,prefill,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,8192,1,1,3581.1988154211217,0.43715805852308615,119.78327575369184,116.32383928571429,-3.4594364679775538
13,discovery,decode,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,28672,512,1,755.1335000168349,13.484526786014907,105.15797961387447,109.42529032258064,4.267310708706162
14,discovery,decode,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,256,512,8,135.7817555090053,271.5635110180106,147.5928622678854,142.06819672131147,-5.524665546573942
15,discovery,decode,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,8192,512,2,864.4634489533353,54.028965559583455,117.49903100251451,121.4738961038961,3.9748651013815817
16,discovery,decode,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,28672,512,1,754.9340058800052,13.480964390714378,105.15525370492338,109.81925566343043,4.664001958507043
17,discovery,prefill,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,2048,1,16,8684.423112873148,4.240440973082592,140.35956352511653,144.9027868852459,4.54322336012936
18,discovery,prefill,fit_campaign,GPU-f14828c6-e880-6e74-e189-c7576c7851f3,28672,1,4,1212.9795625499628,0.04230536978759636,104.21630533885434,102.99929870129871,-1.2170066375556274
