window_s,n_windows,F_prefill_tps,G_decode_tps,P0_w,P_max_w,r2_linear,r2_saturating,ell_power_knee,rho_star,ell_p95,ell_max
1.0,18746,2667.829123477139,1422.1599999999999,71.1133621665258,403.6863483386911,0.7916782695940174,0.975232590628667,1.1711879899599174,0.4393112228528417,1.0203187173869155,2.4356586526581503
2.0,9359,1921.3000000000002,1382.749999999999,69.16595521819747,412.50335965423346,0.8117332757554093,0.9839102375606493,1.4997891121740905,0.5172518253367651,1.14498361642549,2.218495332464272
5.0,3725,1448.319999999999,1260.3799999999999,67.12041959182154,424.44649546305266,0.846222697569438,0.990062987485255,2.0527780176849793,0.534657100938009,1.3143186789537769,2.033465097873218
10.0,1843,1211.7839999999997,1179.2919999999995,66.30827197839466,432.70263181588905,0.8740140697567861,0.9925291484768455,2.5263322613329233,0.6229889030772394,1.4649964397539827,2.0065403512878373
30.0,592,1062.4353658895564,1011.4675,65.88994128333918,439.38841279613206,0.90292001142772,0.996545152487541,3.117684127917263,0.5893042741503636,1.641217271271076,1.9033064170428386
