run_id,model_profile,profile_case,workload_profile,solver,seed,sessions,source_nodes,destination_nodes,power_limit_w,deadline_s,end_s,controller_delay_s,solve_s,planned_moves,plan_feasible,initial_source_power_w,requested_source_drop_w,planned_source_power_w,expected_source_power_at_deadline_w,modeled_source_power_at_deadline_w,modeled_source_drop_at_deadline_w,power_met,moves_committed_by_deadline,requests_started_by_deadline,accepted,completed_by_end,makespan_s,total_pause_s,p95_pause_s,total_wake_s,unresumed_after_deadline_s,deferred_sessions,request_arrivals,requests_completed_by_end,unfinished_requests,total_request_wait_s,p95_request_wait_s,network_bytes,network_duration_s,excess_energy_j,job_type,requested_fraction_of_available_drop,migration_completion_s,control_p95_request_wait_s
interactive-coding-live-20260714-lowest-context:0.25:random,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,random,3,50,1,1,603.6356561180903,10,15,0.0,0.0038659172132611275,16,False,625.8597559126537,22.224099794563358,602.5381138101718,622.5537784254138,622.5537784254138,3.3059774872398293,False,False,True,False,5,13.010053447371755,0.49999999999999856,0.09999999999999994,0,0.09999999999999964,5,8,8,0,0.24068758998018502,0.15644693348712013,156136,12.910365719371756,82.31753591154707,interactive_coding,0.25,15,0.15644693348712013
interactive-coding-live-20260714-lowest-context:0.25:load_only,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,load_only,3,50,1,1,603.6356561180903,10,15,0.0,0.0041268751956522465,16,True,625.8597559126537,22.224099794563358,602.5381138101718,602.5381138101718,602.5381138101718,23.32164210248186,True,True,False,False,16,1.6000000000000003,1.6000000000000003,0.10000000000000009,11.228529682922375,0.0,16,8,6,2,11.228529682922375,6.191963651729426,117102,3.9578109444771457,0.0,interactive_coding,0.25,1.6000000000000003,0.15644693348712013
interactive-coding-live-20260714-lowest-context:0.25:node_aware,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,node_aware,3,50,1,1,603.6356561180903,10,15,0.0,0.004301333799958229,16,True,625.8597559126537,22.224099794563358,602.5381138101718,602.5381138101718,602.5381138101718,23.32164210248186,True,True,False,False,16,1.6000000000000003,1.6000000000000003,0.10000000000000009,11.228529682922375,0.0,16,8,6,2,11.228529682922375,6.191963651729426,117102,3.9578109444771457,0.0,interactive_coding,0.25,1.6000000000000003,0.15644693348712013
interactive-coding-live-20260714-lowest-context:0.25:node_drain,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,node_drain,3,50,1,1,603.6356561180903,10,15,0.0,0.007864417042583227,50,True,625.8597559126537,22.224099794563358,536.9633567344,536.9633567344,536.9633567344,88.89639917825366,True,True,False,False,50,4.999999999999998,4.999999999999998,0.10000000000000009,10.522902665430369,0.0,50,8,3,5,10.522902665430369,6.134598146254864,273238,9.60622634360222,0.0,interactive_coding,0.25,4.999999999999998,0.15644693348712013
interactive-coding-live-20260714-lowest-context:0.5:random,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,random,3,50,1,1,581.4115563235268,10,15,0.0,0.0042624580673873425,29,False,625.8597559126537,44.44819958912683,580.2175002568191,622.5537784254138,622.5537784254138,3.3059774872398293,False,False,True,False,5,13.010053447371755,0.49999999999999856,0.09999999999999994,0,0.09999999999999964,15,8,8,0,0.24068758998018502,0.15644693348712013,156136,12.910365719371756,193.4380348843644,interactive_coding,0.5,15,0.15644693348712013
interactive-coding-live-20260714-lowest-context:0.5:load_only,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,load_only,3,50,1,1,581.4115563235268,10,15,0.0,0.005537082906812429,29,True,625.8597559126537,44.44819958912683,580.2175002568191,580.2175002568191,580.2175002568191,45.64225565583456,True,True,False,False,29,2.9000000000000012,2.9000000000000012,0.10000000000000009,9.225109516297017,0.0,29,8,4,4,9.225109516297017,4.922330617799055,234204,10.904019492735573,0.0,interactive_coding,0.5,2.9000000000000012,0.15644693348712013
interactive-coding-live-20260714-lowest-context:0.5:node_aware,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,node_aware,3,50,1,1,581.4115563235268,10,15,0.0,0.005702541675418615,29,True,625.8597559126537,44.44819958912683,580.2175002568191,580.2175002568191,580.2175002568191,45.64225565583456,True,True,False,False,29,2.9000000000000012,2.9000000000000012,0.10000000000000009,9.225109516297017,0.0,29,8,4,4,9.225109516297017,4.922330617799055,234204,10.904019492735573,0.0,interactive_coding,0.5,2.9000000000000012,0.15644693348712013
interactive-coding-live-20260714-lowest-context:0.5:node_drain,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,node_drain,3,50,1,1,581.4115563235268,10,15,0.0,0.007736333180218935,50,True,625.8597559126537,44.44819958912683,536.9633567344,536.9633567344,536.9633567344,88.89639917825366,True,True,False,False,50,4.999999999999998,4.999999999999998,0.10000000000000009,10.522902665430369,0.0,50,8,3,5,10.522902665430369,6.134598146254864,273238,9.60622634360222,0.0,interactive_coding,0.5,4.999999999999998,0.15644693348712013
interactive-coding-live-20260714-lowest-context:0.75:random,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,random,3,50,1,1,559.1874565289634,10,15,0.0,0.004494583234190941,40,False,625.8597559126537,66.6722993836903,558.5941437261341,622.5537784254138,622.5537784254138,3.3059774872398293,False,False,True,False,5,13.010053447371755,0.49999999999999856,0.09999999999999994,0,0.09999999999999964,22,8,8,0,0.24068758998018502,0.15644693348712013,156136,12.910365719371756,304.55853385718177,interactive_coding,0.75,15,0.15644693348712013
interactive-coding-live-20260714-lowest-context:0.75:load_only,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,load_only,3,50,1,1,559.1874565289634,10,15,0.0,0.007027708925306797,40,True,625.8597559126537,66.6722993836903,558.5941437261341,558.5941437261341,558.5941437261341,67.26561218651955,True,True,False,False,40,4.000000000000002,4.000000000000002,0.10000000000000009,11.211948026238403,0.0,40,8,3,5,11.211948026238403,6.754738970982094,273238,10.904019492735573,0.0,interactive_coding,0.75,4.000000000000002,0.15644693348712013
interactive-coding-live-20260714-lowest-context:0.75:node_aware,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,node_aware,3,50,1,1,559.1874565289634,10,15,0.0,0.007307916879653931,40,True,625.8597559126537,66.6722993836903,558.5941437261341,558.5941437261341,558.5941437261341,67.26561218651955,True,True,False,False,40,4.000000000000002,4.000000000000002,0.10000000000000009,11.211948026238403,0.0,40,8,3,5,11.211948026238403,6.754738970982094,273238,10.904019492735573,0.0,interactive_coding,0.75,4.000000000000002,0.15644693348712013
interactive-coding-live-20260714-lowest-context:0.75:node_drain,gpt-oss-20b-a100-tp1-20260715,central,interactive-coding-live-20260714-lowest-context,node_drain,3,50,1,1,559.1874565289634,10,15,0.0,0.008591792080551386,50,True,625.8597559126537,66.6722993836903,536.9633567344,536.9633567344,536.9633567344,88.89639917825366,True,True,False,False,50,4.999999999999998,4.999999999999998,0.10000000000000009,10.522902665430369,0.0,50,8,3,5,10.522902665430369,6.134598146254864,273238,9.60622634360222,0.0,interactive_coding,0.75,4.999999999999998,0.15644693348712013
