metric,input_len,concurrency,throughput_tps,scale_vs_short,power_mean_w
rho,256,1,2429.739378872495,1.0,141.02242424242422
rho,1024,1,2825.4772725666094,1.1628725686117638,126.573488372093
rho,4096,1,2847.970589003704,1.1721300703144906,137.32965116279067
rho,8192,1,2980.6848776824445,1.2267508620885967,135.05397727272728
rho,16384,1,2513.4687301553513,1.034460219071607,153.90855769230768
rho,28672,1,2787.8160342987903,1.1473724542392931,190.74186991869917
G,256,256,3774.277436246692,1.0,228.39896882494008
G,4096,256,1377.04067367048,0.3648488212461323,321.6012631578948
G,8192,128,630.1986086886486,0.1669719885020816,327.30253012048195
