ell_lo,ell_hi,ell_mean,power_mean_w,power_p10_w,power_p90_w,n
0.0,0.08472771241138409,0.026139915804159763,86.25432763967966,67.56380000000001,123.84419999999999,1137
0.08472771241138409,0.16945542482276818,0.12404696485308954,132.54558652745996,78.23259999999998,182.93535,552
0.16945542482276818,0.25418313723415226,0.20884242843442324,166.6602666917293,106.03680000000001,214.84015,350
0.25418313723415226,0.33891084964553636,0.29525119421946383,197.41743927125503,154.10535000000002,234.74229999999997,260
0.33891084964553636,0.42363856205692046,0.3788470517034665,212.8913620300752,169.15835,253.12214999999998,210
0.42363856205692046,0.5083662744683045,0.46618010221579426,238.36104365079362,195.06,282.52675,126
0.5083662744683045,0.5930939868796886,0.5524134277363236,255.26471369087278,212.6498,289.25630000000007,158
0.5930939868796886,0.6778216992910727,0.6344014976427745,262.7938175888439,224.56259999999997,291.5109,117
0.6778216992910727,0.7625494117024568,0.7226826981745568,274.07622098922,237.70720000000003,302.6319,83
0.7625494117024568,0.8472771241138409,0.8069648059772679,282.5259113360324,258.4519,304.84190000000007,65
0.8472771241138409,0.932004836525225,0.8894180928855353,287.97420547945205,257.44960000000003,315.702,73
0.932004836525225,1.016732548936609,0.9746845317555113,301.1104195402299,277.82609999999994,321.44950000000006,87
1.016732548936609,1.1014602613479931,1.0606583287100333,309.60393446852424,287.58670000000006,326.79245000000003,102
1.1014602613479931,1.1861879737593772,1.1387442515443644,309.81679149797566,286.368,324.86150000000004,91
1.1861879737593772,1.2709156861707613,1.2338998406017372,319.4963277511962,306.992947368421,332.39160000000004,77
1.2709156861707613,1.3556433985821454,1.3113039341833703,317.0438666061706,300.8222,329.27490000000006,87
1.3556433985821454,1.4403711109935295,1.3984494905935458,322.9256998880179,309.638,332.7514,47
1.4403711109935295,1.5250988234049137,1.4784675803892613,323.92913984962405,310.55789999999996,335.121,35
1.5250988234049137,1.6098265358162978,1.561118696449082,324.58294258373206,312.76394999999997,335.632,22
1.6098265358162978,1.6945542482276819,1.654582274242903,329.3673611111111,320.44515000000007,336.96945,18
1.6945542482276819,1.779281960639066,1.7238650160859559,328.9203195488722,314.34695000000005,337.0367,14
1.779281960639066,1.86400967305045,1.8232305102809836,332.50271428571426,324.9837,339.01910000000004,7
1.86400967305045,1.9487373854618342,1.9189894569230301,334.4427157894737,327.8335,339.4315315789474,5
1.9487373854618342,2.033465097873218,2.028066004466642,336.48225,333.27725,339.68725000000006,2
