activity,activity_output_tokens,activity_overlapped_initial_copy,activity_s,bandwidth_mbps,catch_up_cache_hit_bytes,catch_up_cache_hit_chunks,catch_up_end_ns,catch_up_kv_throughput_mbps,catch_up_kv_wire_bytes,catch_up_network_window_s,catch_up_new_tokens,catch_up_prompt_tokens,catch_up_request_s,catch_up_response_s,catch_up_s,catch_up_start_ns,catch_up_time_to_first_response_s,catch_up_validation_s,concurrency,current_model_time_s,idle_ns,initial_end_ns,initial_kv_throughput_mbps,initial_kv_wire_bytes,initial_network_window_s,initial_request_s,initial_response_s,initial_start_ns,initial_time_to_first_response_s,initial_validation_s,job_class,match_id,measured_activity_append_tokens,measured_kv_bytes,measured_kv_chunks,measured_processed_tokens,measured_prompt_tokens,method,order,pause_start_ns,repeat,request_wait_s,requested_activity_tokens,route_switch_s,scenario_id,service_pause_s,session_id,success,switch_end_ns,switch_start_ns
one_turn,118,True,2.396901513,10000.0,566231040,45,5803741557886562,178.3515043618434,25169280,1.128974161,543,11590,1.118031617,0.978697381,1.128974161,5803740428912401,0.139334236,0.010649637,1,,5803740428911621,5803740428710653,1500.2389490062062,549220724,2.928710653,2.928214824,1.841515856,5803737490491715,1.086698968,0.008961665,coding,2b3cc2a2a8ff3a67,512,542982144,44,0,11047,kv_transfer,0,5803740428710893,0,0.000200728,512,0.000228058,m-215e8134db7ba1e6,1.129404027,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5803741558114920,5803741557886862
one_turn,112,True,2.329291737,10000.0,566231040,45,5803759478339521,1223.2946476256188,25167624,0.164589122,543,11590,1.12812605,0.999087054,1.142928643,5803758335410878,0.129038996,0.014571346,1,,5803758335410248,5803758335212650,1859.4807629631719,568154520,2.444357721,2.431368828,1.832500941,5803755890854929,0.598867887,0.012030413,coding,dfc8f72f7fcf6abd,512,542982144,44,0,11047,kv_transfer,0,5803758335213000,1,0.000197248,512,0.000203648,m-75eacc3080969dd7,1.143330609,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5803759478543609,5803759478339961
one_turn,112,True,2.253683787,1000.0,541065216,43,5803772525379547,0.020232454440297,3168,1.252640903,159,11206,1.239459542,1.126409558,1.252640903,5803771272738644,0.113049984,0.012839174,1,,5803771272737944,5803771272497427,697.4606243080631,542988480,6.228176457,6.207351427,1.73241836,5803765044320970,4.474933067,0.019662982,coding,7e8153b326a0913a,128,542982144,44,0,11047,kv_transfer,0,5803771272497787,0,0.000240157,128,0.000139839,m-1ead5c8f484bcc11,1.253021829,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5803772525519616,5803772525379777
one_turn,112,True,2.232130561,10000.0,541065216,43,5803789513228521,0.02006287823515663,3168,1.263228521,159,11206,1.249524064,1.144763142,1.267260166,5803788245968355,0.104760922,0.017485345,1,,5803788245967885,5803788245787527,7186.22365693927,542986896,0.604475365,2.333674756,1.764689115,5803785895524635,0.568985641,0.015773494,coding,83269ec3bffc5a53,128,542982144,44,0,11047,kv_transfer,0,5803788245787797,1,0.000180088,128,0.000198588,m-774f8021cac03384,1.267639622,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5803789513427419,5803789513228831
one_turn,118,True,2.719290408,1000.0,641728512,51,5803803395364020,424.9003988162654,100667616,1.89536402,2079,13126,1.896155174,0.979743157,1.914289893,5803801481074127,0.916412017,0.017878131,1,,5803801481073467,5803801480869120,957.2176870993393,542986896,4.53804315,6.499582424,2.036792967,5803794961956850,4.462789457,0.018191718,coding,72b2839dfabe218f,2048,542982144,44,0,11047,kv_transfer,0,5803801480869620,1,0.000203847,2048,0.000101969,m-6ac1e553f70ec9c1,1.914596469,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5803803395466089,5803803395364120
one_turn,112,True,2.230437089,1000.0,541065216,43,5803824758615502,0.02013641176334407,3168,1.258615502,159,11206,1.245612605,1.133241883,1.262638156,5803823495977346,0.112370722,0.016894422,1,,5803823495977106,5803823495875487,968.2189774512836,542986896,4.486480093,6.208783699,1.73962134,5803817263519907,4.469162359,0.022402793,coding,83269ec3bffc5a53,128,542982144,44,0,11047,kv_transfer,0,5803823495875697,1,0.000101409,128,0.000155438,m-734bf8fe9b4c40d1,1.262895443,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5803824758771140,5803824758615702
one_turn,140,True,2.704417836,1000.0,541065216,43,5803837876733552,0.02187033373391465,3168,1.158830053,63,11110,1.137451189,1.057713822,1.158830053,5803836717903499,0.079737367,0.021243876,1,,5803836717903229,5803836717799890,667.355412700194,542987472,6.509124963,6.48485499,2.017898147,5803830208674927,4.466956843,0.023526861,coding,2e208e11fc5b878e,32,542982144,44,0,11047,kv_transfer,0,5803836717800060,1,0.000103169,32,8.5589e-05,m-a1d190e59ab347c2,1.159019281,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5803837876819341,5803837876733752
one_turn,140,True,2.782032638,10000.0,541065216,43,5803848711762031,0.01815050517190947,2520,1.110712887,63,11110,1.089012596,0.99103103,1.110712887,5803847601049144,0.097981566,0.021469834,1,,5803847601048594,5803847600867385,1482.553464400359,542988480,2.930017665,2.909237065,1.985541614,5803844670849720,0.923695451,0.019712961,coding,bd05eb389ce1f626,32,542982144,44,0,11047,kv_transfer,0,5803847600867625,0,0.000180969,32,0.000148428,m-e767094dc2487161,1.111043074,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5803848711910699,5803848711762271
one_turn,118,True,2.751590599,10000.0,641728512,51,5803859357397294,662.2743685124875,100667616,1.216023096,2079,13126,1.193404504,0.986791895,1.216023096,5803858141374198,0.206612609,0.022236936,1,,5803858141373498,5803857753929057,7112.55307741884,542986896,0.610736415,2.340515977,1.751209097,5803855389263585,0.58930688,0.022945708,coding,e044229a1d16e474,2048,542982144,44,0,11047,kv_transfer,0,5803857753929207,0,0.387444291,2048,9.8279e-05,m-5c43cc0a29156105,1.603566516,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5803859357495723,5803859357397444
one_turn,118,True,2.746662141,1000.0,641728512,51,5803882753353376,418.37197162581225,100667616,1.924939964,2079,13126,1.897973738,0.986589097,1.924939964,5803880828413412,0.911384641,0.026818647,1,,5803880828413202,5803880828301963,703.6302518486506,556598088,6.328301963,6.302023097,1.826249486,5803874499741527,4.475773611,0.025781837,coding,e044229a1d16e474,2048,542982144,44,0,11047,kv_transfer,0,5803880828302153,0,0.000111049,2048,0.000112659,m-21572fa03920ad74,1.925164232,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,True,5803882753466385,5803882753353726
