activity_overlapped_initial_copy,activity_s,appended_prompt_tokens,bandwidth_mbps,bytes_per_token,catch_up_kv_wire_bytes,converges,decoded_output_tokens,effective_copy_bytes_per_s,initial_kv_wire_bytes,kv_growth_bytes_per_s,requested_append_tokens,scenario_id,service_pause_s,session_id,state_growth_bytes,state_growth_tokens
True,2.396901513,512,10000.0,49152.0,25169280,True,118,499661967.1032944,549220724,11135015.708924541,512,m-215e8134db7ba1e6,1.129404027,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,26689536.0,543
True,2.329291737,512,10000.0,49152.0,25167624,True,112,906681015.6077044,568154520,11458219.49910605,512,m-75eacc3080969dd7,1.143330609,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,26689536.0,543
True,2.253683787,128,1000.0,49152.0,3168,True,112,121338606.82837337,542988480,3467730.497543842,128,m-1ead5c8f484bcc11,1.253021829,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,7815168.0,159
True,2.232130561,128,10000.0,49152.0,3168,True,112,954298500.4783275,542986896,3501214.5510425633,128,m-774f8021cac03384,1.267639622,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,7815168.0,159
True,2.719290408,2048,1000.0,49152.0,100667616,True,118,121668778.96252051,542986896,37578556.412868425,2048,m-6ac1e553f70ec9c1,1.914596469,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,102187008.0,2079
True,2.230437089,128,1000.0,49152.0,3168,True,112,121495282.64654392,542986896,3503872.86803228,128,m-734bf8fe9b4c40d1,1.262895443,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,7815168.0,159
True,2.704417836,32,1000.0,49152.0,3168,True,140,121555269.74720763,542987472,1145006.499653924,32,m-a1d190e59ab347c2,1.159019281,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,3096576.0,63
True,2.782032638,32,10000.0,49152.0,2520,True,140,587836763.0934669,542988480,1113062.4269836477,32,m-e767094dc2487161,1.111043074,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,3096576.0,63
True,2.751590599,2048,10000.0,49152.0,100667616,True,118,921391150.2271957,542986896,37137431.72299594,2048,m-5c43cc0a29156105,1.603566516,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,102187008.0,2079
True,2.746662141,2048,1000.0,49152.0,100667616,True,118,121315819.60837473,556598088,37204069.067918174,2048,m-21572fa03920ad74,1.925164232,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,102187008.0,2079
True,2.752314391,32,10000.0,49152.0,1836,True,140,933389427.9289821,542986896,1125080.7720679464,32,m-2dc96f47eac5cb4a,1.633205193,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,3096576.0,63
True,3.323208149,2048,10000.0,49152.0,100667616,True,148,812746398.5158385,542986896,30749505.724084575,2048,m-a5cc7e7e3b33d2a3,1.927164942,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,102187008.0,2079
True,2.415509934,512,1000.0,49152.0,25169280,True,118,121602194.54648453,545827188,11049234.625089312,512,m-af0ea3a1dde996a1,1.464387683,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,26689536.0,543
True,2.259146549,128,10000.0,49152.0,3168,True,112,846802128.7502767,542988480,3459345.3016402787,128,m-48861b49fb941a6f,1.27492055,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,7815168.0,159
True,2.755933171,32,1000.0,49152.0,3168,True,140,121889924.2915707,542988480,1123603.44314024,32,m-0b56abef784e898c,1.23789314,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,3096576.0,63
True,2.41591499,512,1000.0,49152.0,25169280,True,118,121393719.61472008,547291508,11047382.093523083,512,m-be401a6fe84f2842,1.294094085,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,26689536.0,543
