total_jobs,D_s,Z_star,percent_evacuated
10000,1,7125.892737538075,28.741072624619246
10000,2,6140.442799841239,38.595572001587605
10000,5,4712.202785204929,52.877972147950715
10000,10,3555.880697423193,64.44119302576807
10000,20,2396.372572011521,76.0362742798848
10000,30,1755.8050025513646,82.44194997448636
10000,45,1211.5704796718082,87.88429520328191
10000,60,886.292388575939,91.1370761142406
10000,90,503.9516510300237,94.96048348969977
10000,120,304.3100989841245,96.95689901015876
10000,180,106.75080119430102,98.932491988057
10000,300,0.0,100.0
10000,600,0.0,100.0
10000,900,0.0,100.0
20000,1,16005.854437988133,19.970727810059334
20000,2,14325.946745987687,28.370266270061563
20000,5,11698.143779176227,41.50928110411886
20000,10,9481.909280898108,52.59045359550946
20000,20,7130.945982099821,64.3452700895009
20000,30,5743.944891343444,71.28027554328277
20000,45,4428.813634170439,77.85593182914779
20000,60,3568.5371277260615,82.1573143613697
20000,90,2496.674344210225,87.51662827894887
20000,120,1847.4036330686265,90.76298183465687
20000,180,1088.9767559078891,94.55511622046055
20000,300,420.07479200677847,97.89962603996611
20000,600,0.0,100.0
20000,900,0.0,100.0
