U_star,model_Kimi K2.6,bucket_1k-4k,evac_total_evacuated,model_DeepSeek V4 Pro,model_GLM 5,evac_p50_class_evacuated_fraction,bucket_16k-64k,evac_p10_class_evacuated_fraction,evac_min_class_evacuated_fraction,model_Qwen3.5 397B,model_Qwen3 Next 80B,bucket_256k-1M,evac_total_unmoved,evac_num_starved_classes,alpha_star,objective,evac_kv_weighted_evacuation,phi_star,bucket_4k-16k,model_Qwen3 235B,weights,evac_token_weighted_evacuation,Z_star,evac_evacuated_fraction_total,bucket_64k-256k,variant,evac_p90_class_evacuated_fraction
,0.954,1.0,9644.926287271841,1.0,0.996,1.0,1.0,0.3471332955565428,0.0,1.0,1.0,0.37359550561797755,355.07371272815925,3,,throughput,0.4710492377049611,0.9999999999999998,1.0,0.8439508581812272,population,0.6804261755753668,355.07371272815925,0.9644926287271841,0.8751666231302843,throughput,1.0
,0.4285430959787532,0.4698699101449956,4468.541711240981,0.4285430959787532,0.4285430959787531,0.4285430959787531,0.4285430959787531,0.42854309597875306,0.42854309597875306,0.4285430959787531,0.794764598885652,0.4285430959787531,5531.458288759019,0,0.42854319597875307,max_min,0.42908217506691615,0.9999978998838408,0.44801000472623365,0.4285430959787531,population,0.4303125727309023,5531.458288759019,0.44685417112409814,0.4285430959787531,max_min,0.4285430959787532
-826.2804136465609,0.955839713497043,0.999999999989284,9571.036875619338,0.9999999999871326,0.9875768013480428,0.9999999999746788,0.9999999999763425,0.2931387741182371,0.07104700844214107,0.9628736642270004,0.9999999999487859,0.3015624481006343,428.96312438066394,0,,prop_fair,0.4710492376684314,1.0000000277579801,0.9999999999902023,0.8371745957146257,population,0.6354607416293278,428.96312438066394,0.9571036875619339,0.8295658262910187,prop_fair_pop,0.9999999999923627
-5.727124274616092,0.9052211837669731,0.9999999999999181,9411.162105225783,0.9999999999999197,0.99999999999988,0.9999999999999059,0.9660877386935616,0.492988989411458,0.1279814834854216,0.9862053099195781,0.9999999999999084,0.46552055149795657,588.8378947742173,0,,prop_fair,0.47104923770485946,1.0000000696995353,0.9999999999999113,0.779200787286273,class,0.6620879515283513,588.8378947742173,0.9411162105225783,0.701015144197685,prop_fair_cls,0.9999999999999255
