total_jobs,D_s,Z_star,sigma_star,max_s_net,max_s_pfill,max_s_ing
10000,10,3555.880697423195,26.767292262400538,26.767292262400538,26.767292262400538,0.17236244550405722
10000,20,2396.3725720115217,12.883646131200274,12.883646131200274,12.883646131200274,0.0
10000,30,1755.805002551365,8.255764087466826,8.255764087466826,8.255764087475319,0.0
10000,45,1211.5704796718085,5.170509391644529,5.170509391644529,5.170509391657805,0.0
10000,60,886.2923885759394,3.6278820437334143,3.6278820437334143,3.6278820437457813,0.0
10000,90,503.9519222579027,2.085254311399869,2.085254311399869,2.0852543114009228,0.0
10000,120,304.31032522598366,1.3139406099096602,1.3139406099096602,1.3139406099096602,0.0
10000,180,106.75096856606127,0.5426268497530449,0.5426268497530449,0.5426268497530876,0.0
10000,300,0.0,0.0,0.0,0.0,0.0
10000,600,0.0,0.0,0.0,0.0,0.0
10000,900,0.0,0.0,0.0,0.0,0.0
