D,method,metric,mean,std
10.0,state_only,phi,69.209694346895,0.0
10.0,state_only,num_starved,17.0,0.0
10.0,least_loaded,evac_frac,0.34565033042630194,0.0
10.0,least_loaded,token_wtd,0.03636895202732786,0.0
10.0,least_loaded,kv_wtd,0.02509538399263031,0.0
10.0,least_loaded,min_class,0.0,0.0
10.0,least_loaded,phi,1865.9529787282906,0.0
10.0,least_loaded,num_starved,16.0,0.0
20.0,optimizer,evac_frac,0.7482945026643122,0.0
20.0,optimizer,token_wtd,0.21178510193831546,0.0
20.0,optimizer,kv_wtd,0.09538949646915115,0.0
20.0,optimizer,min_class,0.07142376599645861,0.0
20.0,optimizer,phi,0.9999999999999996,0.0
20.0,random,evac_frac,0.5154204387034772,0.0597581914820647
20.0,random,token_wtd,0.07332372795085312,0.013168779431929213
20.0,random,kv_wtd,0.06732469905013044,0.007335164140767565
20.0,random,min_class,0.0,0.0
20.0,random,phi,641.7651411333856,346.07870588863966
20.0,random,num_starved,14.86,0.9593747964169165
20.0,replay_only,evac_frac,0.42761473638954955,0.0
20.0,replay_only,token_wtd,0.053999515231422414,0.0
20.0,replay_only,kv_wtd,0.04182215494915036,0.0
20.0,replay_only,min_class,0.0,0.0
20.0,replay_only,phi,1139.816488459706,0.0
20.0,replay_only,num_starved,14.0,0.0
20.0,state_only,evac_frac,0.4172350436291508,0.0
20.0,state_only,token_wtd,0.05334434944774495,0.0
20.0,state_only,kv_wtd,0.05057095011079215,0.0
20.0,state_only,min_class,0.0,0.0
20.0,state_only,phi,34.6048471734475,0.0
20.0,state_only,num_starved,16.0,0.0
20.0,least_loaded,evac_frac,0.42761473638954955,0.0
20.0,least_loaded,token_wtd,0.053999515231422414,0.0
20.0,least_loaded,kv_wtd,0.04182215494915036,0.0
20.0,least_loaded,min_class,0.0,0.0
20.0,least_loaded,phi,932.9764893641453,0.0
20.0,least_loaded,num_starved,14.0,0.0
30.0,optimizer,evac_frac,0.8098007969704247,0.0
30.0,optimizer,token_wtd,0.2579386088035196,0.0
30.0,optimizer,kv_wtd,0.1373208192378808,0.0
30.0,optimizer,min_class,0.10713569899468822,0.0
30.0,optimizer,phi,1.0000000000000002,0.0
30.0,random,evac_frac,0.6384622148348752,0.008942368054377606
30.0,random,token_wtd,0.11570539573103604,0.008724013873949535
30.0,random,kv_wtd,0.09760709845982167,0.00972315582151554
30.0,random,min_class,0.0,0.0
30.0,random,phi,427.84342742225704,230.71913725909312
30.0,random,num_starved,12.52,0.4995998398718719
30.0,replay_only,evac_frac,0.47675519288339185,0.0
30.0,replay_only,token_wtd,0.07024473184711669,0.0
30.0,replay_only,kv_wtd,0.05591324148363469,0.0
30.0,replay_only,min_class,0.0,0.0
30.0,replay_only,phi,759.8776589731374,0.0
30.0,replay_only,num_starved,13.0,0.0
30.0,state_only,evac_frac,0.6265158543106514,0.0
30.0,state_only,token_wtd,0.09618980027369357,0.0
30.0,state_only,kv_wtd,0.07585642516618822,0.0
30.0,state_only,min_class,0.0,0.0
30.0,state_only,phi,23.069898115631666,0.0
30.0,state_only,num_starved,13.0,0.0
30.0,least_loaded,evac_frac,0.47675519288339185,0.0
30.0,least_loaded,token_wtd,0.07024473184711669,0.0
30.0,least_loaded,kv_wtd,0.05591324148363469,0.0
30.0,least_loaded,min_class,0.0,0.0
30.0,least_loaded,phi,621.9843262427636,0.0
30.0,least_loaded,num_starved,13.0,0.0
45.0,optimizer,evac_frac,0.8692500918432244,0.0
45.0,optimizer,token_wtd,0.3517208915692917,0.0
45.0,optimizer,kv_wtd,0.1964494444504461,0.0
45.0,optimizer,min_class,0.16070359849203242,0.0
45.0,optimizer,phi,1.0000000000000002,0.0
45.0,random,evac_frac,0.676662588028212,0.0058020091412994785
45.0,random,token_wtd,0.17061343727521663,0.006987327865704131
45.0,random,kv_wtd,0.14069664597775192,0.010902416568103052
45.0,random,min_class,0.0,0.0
45.0,random,phi,285.228951614838,153.81275817272873
45.0,random,num_starved,10.04,0.19595917942265423
45.0,replay_only,evac_frac,0.5368280398675422,0.0
45.0,replay_only,token_wtd,0.09303346614456334,0.0
45.0,replay_only,kv_wtd,0.07328143404452363,0.0
45.0,replay_only,min_class,0.0,0.0
45.0,replay_only,phi,506.5851059820916,0.0
45.0,replay_only,num_starved,13.0,0.0
