method,seed,D_s,kv_evac_pct
ours,-1,1,0.5667567817653364
greedy,0,1,0.2528547505539607
round_robin,0,1,0.2528547505539607
replay_only,0,1,0.26569357118015585
state_only,0,1,0.2528547505539607
least_loaded,0,1,0.26569357118015585
random,0,1,0.28973699053014984
random,1,1,0.383400725920798
random,2,1,0.3770441271537038
random,3,1,0.32128476696875113
random,4,1,0.34719689542374915
random,5,1,0.345596745530441
random,6,1,0.3023072519446491
random,7,1,0.2843021321772235
random,8,1,0.32128476696875113
random,9,1,0.25285475055396067
random,10,1,0.34719689542374915
random,11,1,0.2739597752926642
random,12,1,0.31414936390744347
random,13,1,0.3479250448757194
random,14,1,0.33235527330528075
random,15,1,0.29133714042345793
random,16,1,0.4052845549539802
random,17,1,0.3823719366549216
random,18,1,0.35496005312195383
random,19,1,0.3079428999282524
random,20,1,0.26946051005875515
random,21,1,0.2968723935917228
random,22,1,0.2669247670464297
random,23,1,0.2843021321772235
random,24,1,0.3141493639071782
random,25,1,0.3212847669687512
random,26,1,0.31937099436534966
random,27,1,0.33525438864588164
random,28,1,0.38077178676161333
random,29,1,0.3825793803219686
ours,-1,2,1.1103480278669422
greedy,0,2,0.5057095011079215
round_robin,0,2,0.5057095011079215
replay_only,0,2,0.5466866001534337
state_only,0,2,0.5057095011079215
least_loaded,0,2,0.5466866001534337
random,0,2,0.5523502191553609
random,1,2,0.7922573242989126
random,2,2,0.724241022577453
random,3,2,0.6588188379389461
random,4,2,0.6943937908474983
random,5,2,0.693844867333815
random,6,2,0.6095220024209314
random,7,2,0.6011028723573347
random,8,2,0.6264805314307935
random,9,2,0.5382081091108092
random,10,2,0.7268923988503859
random,11,2,0.6270636178332979
random,12,2,0.5984514960844017
random,13,2,0.7090378548991236
random,14,2,0.6128803337339376
random,15,2,0.5826742808469162
random,16,2,0.8596948537079476
random,17,2,0.7643419898131909
random,18,2,0.736776004387905
random,19,2,0.6201823461766349
random,20,2,0.5546362066571764
random,21,2,0.5704892165150066
random,22,2,0.6151728888498037
random,23,2,0.6639976356038605
random,24,2,0.5542400103092099
random,25,2,0.6425695339375024
random,26,2,0.6003261341386545
random,27,2,0.6102653903181707
random,28,2,0.6683996950500943
random,29,2,0.6695075961338195
ours,-1,5,2.6511461864661388
greedy,0,5,1.2642737527698034
round_robin,0,5,1.2642737527698036
replay_only,0,5,1.413209494737807
state_only,0,5,1.2642737527698034
least_loaded,0,5,1.413209494737807
random,0,5,1.6557985660476682
random,1,5,1.5587324961329252
random,2,5,1.8257315904627245
random,3,5,1.5338728880029344
random,4,5,1.9403058852428374
random,5,5,1.6938455342494447
random,6,5,1.7443953222404236
random,7,5,1.3861435327806317
random,8,5,1.308246429605557
random,9,5,1.500020329591613
random,10,5,1.7094447281517517
random,11,5,1.5619771740293271
random,12,5,1.4114410630555825
random,13,5,1.9741365408443452
random,14,5,1.518487113091274
random,15,5,1.6369896029599176
random,16,5,1.9323449804755897
random,17,5,1.7242441572618565
random,18,5,1.9486948261796395
random,19,5,1.5364439004114672
random,20,5,1.3988348395602606
random,21,5,1.7632243731931663
random,22,5,1.8224110457402514
random,23,5,1.5755728601411076
random,24,5,1.3391321057373509
random,25,5,1.7704555667542674
random,26,5,1.574429902453692
random,27,5,1.5605483118604058
random,28,5,1.6947185501738848
random,29,5,1.64152719354302
ours,-1,10,4.952624061920314
greedy,0,10,2.528547505539607
round_robin,0,10,2.528547505539607
replay_only,0,10,2.509538399263031
state_only,0,10,2.528547505539607
least_loaded,0,10,2.509538399263031
random,0,10,3.8036253039695587
random,1,10,3.167320207375169
random,2,10,3.2008098534133467
random,3,10,3.732696925765823
random,4,10,3.5826822608396256
random,5,10,3.5468234080217362
random,6,10,3.3772006158517796
random,7,10,3.7570379054570466
random,8,10,2.98256577380516
random,9,10,3.4794628441589435
random,10,10,3.7432029654260672
random,11,10,3.281929719395485
random,12,10,3.394142452235537
random,13,10,3.140997364086263
random,14,10,3.120733490554207
random,15,10,3.1639613066568706
random,16,10,3.54971755007872
random,17,10,3.4893373966897836
random,18,10,3.774919543153923
random,19,10,3.7936870984836326
random,20,10,3.5079612730906455
random,21,10,4.0041841261486875
random,22,10,3.8161123779977135
