phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,129.7035833333333
baseline,1,240,240,1.0,82.64433333333334
drain,0,368,368,1.0,101.45866847826088
drain,1,368,368,1.0,138.36573369565218
post,0,240,240,1.0,86.09404166666667
post,1,240,240,1.0,88.755125
