phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,129.09025
baseline,1,240,240,1.0,83.17933333333333
drain,0,42,42,1.0,95.65785714285714
drain,1,42,42,1.0,276.6590476190476
post,0,240,240,1.0,120.62020833333334
post,1,240,240,1.0,89.18258333333333
