phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,123.09174999999999
baseline,1,240,240,1.0,82.80725
drain,0,154,154,1.0,92.32396103896102
drain,1,154,154,1.0,263.4474675324675
post,0,239,239,1.0,86.43552301255232
post,1,239,239,1.0,120.0110041841004
