activity,bandwidth_mbps,catch_up_new_tokens,concurrency,continuation_difference_s,continuation_ttft_s,deadline_met,deadline_s,destination_added_energy_j,destination_added_power_w,destination_baseline_power_w,destination_mean_power_w,elapsed_s,initial_requests_s,initial_time_to_first_responses_s,kind,kv_network_window_s,match_id,measured_kv_payload_bytes,measured_kv_throughput_mbps,measured_kv_wire_bytes,measured_processed_tokens,measured_prompt_tokens,measured_replay_throughput_tokens_s,median_service_pause_s,method,migration_s,repeat,scenario_id,service_window_s,session_set,source_added_energy_j,source_added_power_w,source_baseline_power_w,source_mean_power_w,status,total_added_energy_j
none,1000,0,4,-0.4145732355,0.882967118,True,900,63.836303194999914,6.819083237309485,82.29,89.10908323730949,22.08778013,9.361202578,7.705535572,migration,9.361420146,76711adfd9d55714,833716224,712.4766687082094,833724180,0,16962,0.0,0.000215708,kv_transfer,9.361420146,0,m-7a07de6e79b9f0fa,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",2.1924842780198825,0.2342042386546126,90.12,90.35420423865462,complete,66.02878747301979
none,1000,0,2,0.9886143669999999,1.424919723,True,900,133.78996937177948,4.49174403118019,82.29,86.7817440311802,53.749247701,29.785321158,29.161475776,migration,29.785751023,b182bb88b660801d,3221225472,865.180023431367,3221254596,578,66114,0.0,0.000293551,kv_transfer,29.785751023,1,m-94712322a9cc6c4f,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",37.346325078910475,1.253831909427845,90.12,91.37383190942785,complete,171.13629445068995
one_turn,1000,2156,1,-0.12711288599999998,0.456647132,True,900,1891.4612454409112,158.62018822942252,82.29,240.91018822942252,20.567411482,7.512783833,7.016889265,migration,0.0,42b5d498405740a0,0,0.0,0,28139,28139,4010.1815686840546,4.411679873,replay,11.924467286,0,m-b35dec3b9a228389,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,409.8128765006597,34.36739492604447,90.12,124.48739492604447,complete,2301.2741219415707
none,1000,0,2,-0.11509322250000009,1.4182158139999999,True,900,222.63588722272883,7.464019331964721,82.29,89.75401933196473,54.789789033,29.827335948,29.196333403,migration,29.827881912,859e02e9ce7fba13,3221225472,863.958255836882,3221255604,578,66114,0.0,0.0004732195,kv_transfer,29.827881912,2,m-541a48caf4e7f93c,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",4.066563604260644,0.1363343068159537,90.12,90.25633430681596,complete,226.70245082698946
none,10000,0,1,-0.012458319999999912,0.8380807605,True,900,158.17044418738007,30.59297609843776,82.29,112.88297609843777,15.564875684,5.16998,4.572225433,migration,5.170155518,40fe9a8097bcef12,833716224,1290.0566369384792,833724180,0,16962,0.0,0.000172078,kv_transfer,5.170155518,1,m-7fb6b6fed9b793f4,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",0.22087591895997577,0.04272132979191667,90.12,90.16272132979192,complete,158.39132010634003
one_turn,1000,0,1,,1.039834903,True,900,-5.201183269800153,-0.3783866664734603,82.29,81.91161333352655,24.759576622,0.0,0.0,control,0.0,1354cbc6feb5d874,0,0.0,0,0,0,0.0,0.0,replay,0.0,1,c-1354cbc6feb5d874,13.745683267,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,1025.0942598200804,74.57572242196787,90.12,164.69572242196787,complete,1019.8930765502803
none,10000,0,2,-0.07748434000000004,1.387190975,True,900,184.79250522610997,24.23958088302419,82.29,106.5295808830242,28.715040735,7.623329833,6.682494799,migration,7.623585,175f22bb9b0161fa,3221225472,3380.3028889951383,3221253300,578,66114,0.0,0.000253522,kv_transfer,7.623585,0,m-2d8ae59fa44a27ea,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",36.399151407970116,4.774545231406236,90.12,94.89454523140624,complete,221.1916566340801
none,1000,0,2,0.46517712200000005,1.326966077,True,900,145.15071648772985,15.056550422821175,82.29,97.34655042282118,21.884540953,9.640278847,9.033253066,migration,9.626972619,f4ddc1c2c69765cf,833716224,692.8235598007573,833724180,0,16962,0.0,0.0001172535,kv_transfer,9.640369966,2,m-b9b168fcc387e82e,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",12.891501074400006,1.3372413216366397,90.12,91.45724132163664,complete,158.04221756212985
one_turn,1000,0,1,,1.85334847,True,900,-1.771972799690055,-0.24294094157461643,82.29,82.04705905842539,19.184954751,0.0,0.0,control,0.0,28a18ca5d8632e04,0,0.0,0,0,0,0.0,0.0,replay,0.0,0,c-28a18ca5d8632e04,7.293841821,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,379.43156225472984,52.02081037215433,90.12,142.14081037215433,complete,377.6595894550398
none,1000,0,2,-0.5084576365,0.9562176785000001,True,900,160.9871241602893,5.443940386299488,82.29,87.7339403862995,50.695301378,29.571361124,28.361534631,migration,29.571801441,175f22bb9b0161fa,3221225472,871.439803334773,3221255604,578,66114,0.0,0.000427127,kv_transfer,29.571801441,0,m-6d4544361087c38a,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",24.541512433879653,0.8298957533190361,90.12,90.94989575331904,complete,185.52863659416897
none,1000,0,2,-0.0712632125,0.505309075,True,900,24.336338018599193,0.49016983885258014,82.29,82.78016983885259,85.366501648,49.648397729,49.121134029,migration,49.648787195,063565740025b8d1,5926649856,954.980517968723,5926703064,0,120578,0.0,0.0004041055,kv_transfer,49.648787195,0,m-e93e7614cef4547b,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",54.6795595149698,1.1013271945639076,90.12,91.22132719456391,complete,79.01589753356899
none,10000,0,4,-0.1648457605,0.4943400955,True,900,28.212148866009855,2.8823908697515748,82.29,85.17239086975158,46.268597293,9.78734919,9.220184126,migration,9.25,68757ca6403bf6d6,5926649856,5125.795314162162,5926700832,0,120578,0.0,0.000405531,kv_transfer,9.787759586,1,m-ba2be7639ded4ccb,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",55.884390656160214,5.709620282878106,90.12,95.82962028287811,complete,84.09653952217008
none,1000,0,1,,0.861788955,True,900,,,,,12.043771817,0.0,0.0,control,0.0,f4ddc1c2c69765cf,0,0.0,0,0,0,0.0,0.0,kv_transfer,0.0,2,c-f4ddc1c2c69765cf,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",,,,,complete,
none,10000,0,1,0.9207595805000001,1.3570649365,True,900,279.6723085065598,24.810341698119274,82.29,107.10034169811928,32.611470041,11.272132928,10.659972684,migration,11.272408575,b182bb88b660801d,3221225472,2286.1167663096353,3221255280,578,66114,0.0,0.000396121,kv_transfer,11.272408575,1,m-4a17bb7b6c222980,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",30.00205874494991,2.661548199334135,90.12,92.78154819933414,complete,309.6743672515097
one_turn,10000,0,1,-0.07100831299999999,0.96882659,True,900,443.8712285628599,24.317753405784288,82.29,106.6077534057843,27.100567284,2.734996943,2.108418415,migration,18.252970213,1354cbc6feb5d874,1383088128,655.8335983846707,1496363892,0,28139,0.0,0.000394786,kv_transfer,18.252970213,1,m-f1de779d5522ff55,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,1083.1598576597307,59.34156715427554,90.12,149.46156715427554,complete,1527.0310862225906
one_turn,10000,0,1,0.37679061300000005,0.958711104,True,900,422.40119000928973,26.375454188087147,82.29,108.66545418808715,24.965025056,2.452754107,1.823726524,migration,16.014935212,476c4b17360f0f6a,1383088128,747.4861125276465,1496367708,0,28139,0.0,0.000392126,kv_transfer,16.014935212,2,m-2031ff7ab0881bf6,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,913.4357598797994,57.03649423416721,90.12,147.1564942341672,complete,1335.8369498890893
one_turn,1000,2156,1,0.433713974,1.015634465,True,900,2041.2439679895604,172.13187083928017,82.29,254.42187083928016,20.591586081,7.094361809,6.616735777,migration,0.090410783,476c4b17360f0f6a,0,0.3790698284296465,4284,28139,28139,4252.70117295784,4.764241614,replay,11.858605603,2,m-543cf556ff42fecd,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,477.2339974443399,40.243685760458106,90.12,130.3636857604581,complete,2518.4779654339004
one_turn,1000,2156,1,-0.024734489999999942,1.015100413,True,900,2072.3496487059074,105.6408770604806,82.29,187.9308770604806,29.498644172,7.699217181,7.041438849,migration,0.185429353,1354cbc6feb5d874,0,0.05125402125520009,1188,28139,28139,3996.200294204955,11.917711364,replay,19.616929605,1,m-0ad651f9ef36fca6,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,854.1835326707096,43.54318182662968,90.12,133.66318182662968,complete,2926.533181376617
none,10000,0,4,-0.07406443500000004,0.5025078525,True,900,74.23293573196017,7.74388169838582,82.29,90.03388169838583,45.472893979,9.585676729,9.003460716,migration,9.586011076,063565740025b8d1,5926649856,4946.128297171185,5926705080,0,120578,0.0,0.000387841,kv_transfer,9.586011076,0,m-6277f0b76f6635a5,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",53.70466746638002,5.6023998971624,90.12,95.7223998971624,complete,127.93760319834018
none,10000,0,1,0.04934543250000001,1.346885786,True,900,172.07421671212987,28.434224901531124,82.29,110.72422490153113,19.420548401,6.051453358,5.467693232,migration,6.051658426,76711adfd9d55714,833716224,1102.1430772338833,833724180,0,16962,0.0,0.00022424800000000003,kv_transfer,6.051658426,0,m-84c94332c91489a9,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",1.6373618977799633,0.2705641631631579,90.12,90.39056416316316,complete,173.71157860990982
none,10000,0,1,-0.10014296249999999,0.476429325,True,900,111.8441267649297,12.482654611076654,82.29,94.77265461107666,44.744216355,8.959619128,8.485827527,migration,8.959963265,063565740025b8d1,5926649856,5291.722659758025,5926705080,0,120578,0.0,0.0003522215,kv_transfer,8.959963265,0,m-d13e468fa988be86,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",50.873842851519754,5.6779075256085605,90.12,95.79790752560857,complete,162.71796961644947
none,1000,0,1,,0.5765722875,True,900,,,,,35.846400429,0.0,0.0,control,0.0,063565740025b8d1,0,0.0,0,0,0,0.0,0.0,kv_transfer,0.0,0,c-063565740025b8d1,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",,,,,complete,
one_turn,1000,2156,1,-1.325389402,0.44964878,True,900,57.738754308119994,3.4796529009024795,82.29,85.76965290090249,24.782477015,11.982213495,11.471259912,migration,16.117178301,6cf91c0f18583e03,1383088128,742.736039797814,1496351148,0,28139,0.0,4.61103588,kv_transfer,16.593251095,1,m-283b196daf70b14f,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,424.4795624510107,25.58145839056928,90.12,115.70145839056929,complete,482.2183167591307
one_turn,1000,0,1,,0.548217972,True,900,7.013362271539815,1.0137396364708309,82.29,83.30373963647084,17.39219964,0.0,0.0,control,0.0,e22dbc10d1ee9346,0,0.0,0,0,0,0.0,0.0,replay,0.0,2,c-e22dbc10d1ee9346,6.918307245,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,380.2861193675701,54.96808769839046,90.12,145.08808769839047,complete,387.2994816391099
none,1000,0,1,-0.13231600750000005,1.400993029,True,900,237.59771778564897,7.585591660807623,82.29,89.87559166080763,55.890173166,31.321841077,30.707324458,migration,31.322239373,859e02e9ce7fba13,3221225472,822.7395405902546,3221255604,578,66114,0.0,0.00042098,kv_transfer,31.322239373,2,m-fc1a8b12b27aafb4,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",5.262352785389219,0.16800691427974357,90.12,90.28800691427975,complete,242.8600705710382
one_turn,1000,0,1,0.32662744099999996,0.910387459,True,900,572.8930866618689,22.661043540623425,82.29,104.95104354062343,34.098883661,12.084822708,11.479176905,migration,25.280966679,42b5d498405740a0,1383088128,469.53420756098774,1483784832,0,28139,0.0,0.000415615,kv_transfer,25.280966679,0,m-99f3ad8e322c013d,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,926.6371480982407,36.65354888774745,90.12,126.77354888774745,complete,1499.5302347601096
one_turn,1000,0,1,,1.775038182,True,900,19.76983715356984,1.1744843986165563,82.29,83.46448439861656,28.608807986,0.0,0.0,control,0.0,6cf91c0f18583e03,0,0.0,0,0,0,0.0,0.0,replay,0.0,1,c-6cf91c0f18583e03,16.832779709,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,1048.1561995849004,62.2687528563379,90.12,152.3887528563379,complete,1067.9260367384702
one_turn,1000,2156,1,-0.8534221020000001,0.92161608,True,900,2009.4856797092698,95.34434456315627,82.29,177.63434456315628,30.142851048,7.252308038,6.628773077,migration,0.081473144,6cf91c0f18583e03,0,0.4206539519329216,4284,28139,28139,4244.978621705201,13.823777309,replay,21.076086777,1,m-a0d64f211b935c85,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,1045.7979582750897,49.620120155149124,90.12,139.74012015514913,complete,3055.2836379843593
none,10000,0,2,0.459437683,1.3099767635,True,900,81.61150497657005,26.067390571137935,82.29,108.35739057113794,15.456905137,3.130698415,2.523038067,migration,3.130789204,40fe9a8097bcef12,833716224,2130.3872619333333,833724180,0,16962,0.0,0.0001254135,kv_transfer,3.130789204,1,m-5a2907452887968d,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",11.492446842279946,3.670782698367816,90.12,93.79078269836782,complete,93.10395181884999
one_turn,10000,2156,1,-0.8411646660000001,1.012183804,True,900,129.55239383901926,6.609636270892679,82.29,88.89963627089269,28.641483056,2.377774334,1.765658929,migration,19.589480059,28a18ca5d8632e04,1383088128,611.0853080299205,1496355432,0,28139,0.0,17.222755775,kv_transfer,19.600532999,0,m-930af06108a8dfdb,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,1018.8200869226404,51.97920316629245,90.12,142.09920316629245,complete,1148.3724807616595
none,1000,0,2,-0.4774253035,0.8201150500000001,True,900,128.67443034013002,13.350363202939391,82.29,95.6403632029394,18.944754363,9.638176438,9.030177942,migration,9.638271887,76711adfd9d55714,833716224,692.0113396049916,833724180,0,16962,0.0,0.00011587899999999999,kv_transfer,9.638271887,0,m-6996b8f249817930,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",4.824959577749877,0.5006042197520628,90.12,90.62060421975207,complete,133.49938991787988
none,10000,0,1,-0.11489626750000004,1.3497790475,True,900,215.15243094901987,23.797291994955174,82.29,106.08729199495518,31.033353108,9.040806246,8.417651943,migration,9.041046813,175f22bb9b0161fa,3221225472,2850.338485466705,3221255460,578,66114,0.0,0.000230743,kv_transfer,9.041046813,0,m-0ef7b9a5fc539c46,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",31.600434551759903,3.4952185521616883,90.12,93.61521855216169,complete,246.75286550077976
one_turn,1000,0,1,0.430130856,0.978348828,True,900,385.49292563118905,15.174028638514557,82.29,97.46402863851456,34.339344573,11.990861003,11.377972741,migration,25.364147166,e22dbc10d1ee9346,1383088128,467.9942453540013,1483784364,0,28139,0.0,0.000458305,kv_transfer,25.404784373,2,m-3a2eae9ee842c5da,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,1006.4823808757494,39.6178281263206,90.12,129.7378281263206,complete,1391.9753065069385
none,10000,0,4,0.43711673250000005,1.2989056875,True,900,107.48654876001994,31.309442793230218,82.29,113.59944279323022,14.677958517,3.432949089,1.351845897,migration,3.433039338,f4ddc1c2c69765cf,833716224,1942.8246470037973,833724180,0,16962,0.0,9.206399999999999e-05,kv_transfer,3.433039338,2,m-7653ebceb108b48c,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",11.146118497100032,3.246720296422083,90.12,93.36672029642209,complete,118.63266725711998
none,1000,0,1,,0.8505390804999999,True,900,,,,,11.423812644,0.0,0.0,control,0.0,40fe9a8097bcef12,0,0.0,0,0,0,0.0,0.0,kv_transfer,0.0,1,c-40fe9a8097bcef12,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",,,,,complete,
none,1000,0,2,-0.12092785699999997,0.4991101095,True,900,113.09570360842064,2.2730048539931147,82.29,84.56300485399312,86.045132298,49.755661321,49.175060331,migration,49.756032597,5ffede37a42d8b4b,5926649856,952.9224531229761,5926705080,0,120578,0.0,0.00038463099999999997,kv_transfer,49.756032597,2,m-5e837c92c2d94c72,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",75.8791826945793,1.5250247805962402,90.12,91.64502478059624,complete,188.97488630299995
one_turn,1000,2156,1,-0.8239202190000001,1.029428251,True,900,2201.3470042901295,103.36527091856242,82.29,185.65527091856242,31.062223969,7.673712717,7.022016265,migration,0.194938194,28a18ca5d8632e04,0,0.017728696101493583,432,28139,28139,4007.2536060979915,13.623061562,replay,21.296775839,0,m-9a9eba229be8e678,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,981.1898828481183,46.0722266255581,90.12,136.1922266255581,complete,3182.536887138248
none,1000,0,1,,0.659185856,True,900,,,,,36.533509179,0.0,0.0,control,0.0,68757ca6403bf6d6,0,0.0,0,0,0,0.0,0.0,kv_transfer,0.0,1,c-68757ca6403bf6d6,,"claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0",,,,,complete,
one_turn,1000,0,1,-0.01522733300000012,1.02460757,True,900,468.94600913040955,18.280896356091176,82.29,100.57089635609118,35.095687345,12.569660187,11.95378721,migration,23.659319783,1354cbc6feb5d874,1383088128,505.97005754161586,1496363424,0,28139,0.0,0.000691232,kv_transfer,25.652243741,1,m-91bdba1fa245d783,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,850.82094941621,33.167506047681215,90.12,123.28750604768122,complete,1319.7669585466197
one_turn,1000,2156,1,0.45148641,1.033406901,True,900,236.38460320007138,8.918621756771174,82.29,91.20862175677118,35.501817769,11.999246538,11.389830161,migration,26.504611323,476c4b17360f0f6a,1383088128,451.6513488961077,1496355432,0,28139,0.0,14.505363255,kv_transfer,26.504611323,2,m-455a848c658cefda,,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,856.7878328149994,32.32599121615874,90.12,122.44599121615875,complete,1093.1724360150708
