activity_overlapped_initial_copy,activity_s,appended_prompt_tokens,bandwidth_mbps,bytes_per_token,catch_up_kv_wire_bytes,converges,decoded_output_tokens,effective_copy_bytes_per_s,initial_kv_wire_bytes,kv_growth_bytes_per_s,requested_append_tokens,scenario_id,service_pause_s,session_id,state_growth_bytes,state_growth_tokens
True,8.459835528,2129,1000,0.0,0,False,101,0.0,0,0.0,2048,m-b35dec3b9a228389,4.411679873,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,8.3492887,2129,1000,0.0,4284,False,112,0.0,0,0.0,2048,m-543cf556ff42fecd,4.764241614,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,14.093649937,2129,1000,0.0,1188,False,469,0.0,0,0.0,2048,m-0ad651f9ef36fca6,11.917711364,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,12.962976506,2129,1000,49152.0,113251140,True,102,120576243.04338609,1383100008,8174952.099230473,2048,m-283b196daf70b14f,4.61103588,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
True,16.480101077,2129,1000,0.0,4284,False,718,0.0,0,0.0,2048,m-a0d64f211b935c85,13.823777309,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,15.220086008,2129,10000,49152.0,113255424,True,667,783823377.859232,1383100008,6962622.415162372,2048,m-930af06108a8dfdb,17.222755775,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
True,15.756902024,2129,1000,0.0,432,False,665,0.0,0,0.0,2048,m-9a9eba229be8e678,13.623061562,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,20.340118164,2129,1000,49152.0,113255424,True,579,121443942.82297637,1383100008,5209985.07213982,2048,m-455a848c658cefda,14.505363255,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
True,16.736000565,2129,10000,0.0,612,False,700,0.0,0,0.0,2048,m-92bc715e90b03f1a,14.026293739,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,15.46441458,2129,10000,0.0,1512,False,574,0.0,0,0.0,2048,m-eb37b387fc6f528a,13.332203162,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,15.319028443,2129,10000,49152.0,113251212,True,691,546304625.0969591,1383100008,6917652.277643206,2048,m-0d41d4a3ced809ad,16.801867517,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
True,6.924505216,2129,10000,49152.0,113255424,True,101,773913688.3579422,1383100008,15303867.741356902,2048,m-e98f0c024c59b12e,7.512834909,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
True,7.18084878,2129,10000,49152.0,113255424,True,101,617646263.5078579,1383100008,14757546.809111333,2048,m-40024ed591a5d9cd,7.486598846,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
True,15.107130501,2129,10000,0.0,0,False,650,0.0,0,0.0,2048,m-2bef2017bd870082,12.839515817,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,6.993190328,2129,10000,49152.0,113251284,True,102,530508888.5122273,1383100008,15153557.536636803,2048,m-06811a32a76ed9e5,6.703181436,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
True,7.108476482,2129,10000,49152.0,113255424,True,101,871396252.0139838,1383100008,14907795.259411817,2048,m-0a17820b27fc0737,7.909133437,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
True,13.37493195,2129,1000,49152.0,113255424,True,112,121617370.14014941,1383100008,7923158.966053655,2048,m-37aa9ef26b2d2d18,5.235729317,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
True,8.443516752,2129,10000,0.0,2160,False,101,0.0,0,0.0,2048,m-29b5595136c5b2c8,4.945538318,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,8.229709683,2129,10000,0.0,4284,False,102,0.0,0,0.0,2048,m-8d7de2996ddcc372,4.709690204,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,13.377558954,2129,1000,49152.0,113251140,True,97,121548122.24989058,1383100008,7921603.064086187,2048,m-e12304fef63e618d,5.222993107,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
True,8.442897251,2129,1000,0.0,2052,False,102,0.0,0,0.0,2048,m-786c3f998a8afd17,4.954087482,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,13.076262043,2129,1000,49152.0,113255172,True,101,121133491.81346613,1383100008,8104128.813840107,2048,m-f8bac664cb8a7522,4.900632403,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
True,8.631296077,2129,10000,0.0,3888,False,101,0.0,0,0.0,2048,m-7284e408dab69dc0,5.152270666,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,0.0,2156
True,13.300820906,2129,1000,49152.0,113255424,True,98,121934779.39136197,1383100008,7967306.134630845,2048,m-901df83039269cb7,5.134965975,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,105971712.0,2156
