activity,activity_output_tokens,activity_overlapped_initial_copy,activity_s,bandwidth_mbps,campaign,catch_up_cache_hit_bytes,catch_up_cache_hit_chunks,catch_up_end_ns,catch_up_kv_throughput_mbps,catch_up_kv_wire_bytes,catch_up_network_window_s,catch_up_new_tokens,catch_up_prompt_tokens,catch_up_request_s,catch_up_response_s,catch_up_s,catch_up_start_ns,catch_up_time_to_first_response_s,catch_up_validation_s,concurrency,copy_policy,current_model_time_s,idle_ns,initial_end_ns,initial_kv_throughput_mbps,initial_kv_wire_bytes,initial_network_window_s,initial_request_s,initial_response_s,initial_start_ns,initial_time_to_first_response_s,initial_validation_s,job_class,match_id,measured_activity_append_tokens,measured_kv_bytes,measured_kv_chunks,measured_processed_tokens,measured_prompt_tokens,method,move_concurrency,order,pause_start_ns,repeat,request_wait_s,requested_activity_tokens,route_switch_s,scenario_id,service_pause_s,serving_concurrency,session_id,split,success,switch_end_ns,switch_start_ns
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890107357894629,5890107357582802,858.6066991163754,2419592116,22.544358142,22.528726487,8.493489402,5890084813224660,14.035237085,0.01513527,coding,859e02e9ce7fba13,0,805306368,64,148,16532,kv_transfer,2,1,5890107357587322,2,0.000307307,0,0.000251597,m-541a48caf4e7f93c,0.000560474,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,validation,True,5890107358147796,5890107357896199
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890114603608641,5890114603380974,853.6252992110199,1610628972,15.094482073,15.080830825,8.274921026,5890099508898901,6.805909799,0.01341433,coding,859e02e9ce7fba13,0,805306368,64,146,16530,kv_transfer,2,2,5890114603386724,2,0.000221917,0,0.000180058,m-541a48caf4e7f93c,0.000402735,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,validation,True,5890114603789459,5890114603609401
none,0,False,0.0,1000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890114639612739,5890114639302292,884.8559770771127,805315656,7.280874419,7.270711413,0.621067326,5890107358427873,6.649644087,0.009935219,coding,859e02e9ce7fba13,0,805306368,64,145,16529,kv_transfer,2,3,5890114639304552,2,0.000308187,0,0.000234867,m-541a48caf4e7f93c,0.000543704,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,validation,True,5890114639848256,5890114639613389
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,1.750364275230777,5890128873847109,5890128873744500,2650.3598037663755,303363348,0.915689553,0.901256434,0.589623308,5890127958054947,0.311633126,0.014229531,coding,40fe9a8097bcef12,0,208158720,17,0,4235,kv_transfer,1,0,5890128873747390,1,9.9719e-05,0,6.2039e-05,m-7fb6b6fed9b793f4,0.000162468,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,True,5890128873909858,5890128873847819
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,1.7510768786806181,5890131213406512,5890131213294794,713.4012778355725,208603644,2.339257307,2.321574845,2.070975996,5890128874037487,0.250598849,0.017565964,coding,40fe9a8097bcef12,0,208601088,17,0,4244,kv_transfer,1,1,5890131213297514,1,0.000108998,0,6.18e-05,m-7fb6b6fed9b793f4,0.000171518,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,True,5890131213469032,5890131213407232
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,1.7509185223584312,5890132206350961,5890132206236732,1680.3911155579308,208505772,0.992653532,0.978940605,0.6699307,5890131213583200,0.309009905,0.013597128,coding,40fe9a8097bcef12,0,208502784,17,0,4242,kv_transfer,1,2,5890132206239742,1,0.000111219,0,6.2339e-05,m-7fb6b6fed9b793f4,0.000174068,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,True,5890132206413810,5890132206351471
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,1,initial_final,1.7508393441973378,5890133128149565,5890133128034947,1809.7209692852798,208456080,0.921494898,0.908373904,0.584753572,5890132206540049,0.323620332,0.013000995,coding,40fe9a8097bcef12,0,208453632,17,0,4241,kv_transfer,1,3,5890133128037827,1,0.000111738,0,6.044e-05,m-7fb6b6fed9b793f4,0.000172638,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,True,5890133128210465,5890133128150025
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890183700573350,5890183700422702,3847.4748837850266,1610627460,3.348954852,3.331756244,0.603399323,5890180351467850,2.728356921,0.016888501,coding,175f22bb9b0161fa,0,805306368,64,139,16523,kv_transfer,2,0,5890183700425262,0,0.000148088,0,9.2109e-05,m-2d8ae59fa44a27ea,0.000240417,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,True,5890183700665679,5890183700573570
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890186119437331,5890186119252243,3368.8949292051457,2428527540,5.766941602,5.747784126,3.020106367,5890180352310641,2.727677759,0.0187506,coding,175f22bb9b0161fa,0,805306368,64,148,16532,kv_transfer,2,1,5890186119253723,0,0.000183608,0,0.000237817,m-2d8ae59fa44a27ea,0.000421755,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,True,5890186119675478,5890186119437661
none,0,False,0.0,10000,parallel_surface,0,0,,0.0,0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,2,initial_final,,5890187974947131,5890187974797683,3014.7559354180808,1610626668,4.273982246,4.255683101,2.47524903,5890183700815437,1.780434071,0.018118327,coding,175f22bb9b0161fa,0,805306368,64,146,16530,kv_transfer,2,2,5890187974800293,0,0.000146838,0,0.000105449,m-2d8ae59fa44a27ea,0.000252557,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,True,5890187975052850,5890187974947401
