campaign,end_ns,first_response_ns,output_tokens,prompt_tokens,request_index,retained_growth_tokens,route,scenario_id,schedule_delay_s,scheduled_ns,service_s,serving_concurrency,session_id,split,start_ns,success,ttft_s
staged_append,5895072768404046,5895072651427579,32,29190,1,1019,source,c-28a18ca5d8632e04,1.127422743,5895070371457613,1.26952369,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895071498880356,True,1.152547223
staged_append,5895075885279892,5895075769063056,25,29249,2,59,source,c-28a18ca5d8632e04,0.00011039,5895075171457613,0.713711889,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895075171568003,True,0.597495053
staged_append,5895077465412690,5895077287365721,31,30268,3,1019,source,c-28a18ca5d8632e04,0.529021014,5895075371457613,1.564934063,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895075900478627,True,1.386887094
staged_append,5895079448463550,5895079331141866,24,30298,continuation,0,source,c-28a18ca5d8632e04,,,1.970670154,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895077477793396,True,1.85334847
parallel_surface,5890414443635958,5890414320955825,46,16526,continuation,0,destination,m-6d4544361087c38a,,,1.044452564,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890413399183394,True,0.921772431
parallel_surface,5890415582279201,5890415410314052,50,16535,continuation,0,destination,m-6d4544361087c38a,,,1.137025323,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,5890414445253878,True,0.965060174
parallel_surface,5890416690910328,5890416531399683,50,16533,continuation,0,destination,m-6d4544361087c38a,,,1.106885828,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,5890415584024500,True,0.947375183
parallel_surface,5890418836626675,5890418713881993,100,16532,continuation,0,destination,m-6d4544361087c38a,,,2.144165376,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,5890416692461299,True,2.021420694
parallel_surface,5895164287541018,5895164175864643,25,30142,continuation,0,destination,m-e93e7614cef4547b,,,0.62915467,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895163658386348,True,0.517478295
parallel_surface,5895164953286187,5895164804643977,27,30151,continuation,0,destination,m-e93e7614cef4547b,,,0.664063447,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,5895164289222740,True,0.515421237
parallel_surface,5895165599342216,5895165450164542,27,30149,continuation,0,destination,m-e93e7614cef4547b,,,0.644374587,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,5895164954967629,True,0.495196913
parallel_surface,5895166206746199,5895166094623298,25,30148,continuation,0,destination,m-e93e7614cef4547b,,,0.60576999,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,5895165600976209,True,0.493647089
parallel_surface,5895211854560517,5895211742301174,25,30142,continuation,0,destination,m-ba2be7639ded4ccb,,,0.60600602,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895211248554497,True,0.493746677
parallel_surface,5895212508320785,5895212351213072,27,30151,continuation,0,destination,m-ba2be7639ded4ccb,,,0.652041227,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,5895211856279558,True,0.494933514
parallel_surface,5895213152412149,5895213002938432,27,30149,continuation,0,destination,m-ba2be7639ded4ccb,,,0.642234434,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,5895212510177715,True,0.492760717
parallel_surface,5895213899251640,5895213780149691,32,30148,continuation,0,destination,m-ba2be7639ded4ccb,,,0.74510225,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,5895213154149390,True,0.626000301
parallel_surface,5890741531196878,5890741416327975,46,4238,continuation,0,source,c-f4ddc1c2c69765cf,,,0.944993713,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5890740586203165,True,0.83012481
parallel_surface,5890742551694029,5890742389712891,50,4247,continuation,0,source,c-f4ddc1c2c69765cf,,,1.019506171,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,validation,5890741532187858,True,0.857525033
parallel_surface,5890743570210651,5890743418868295,50,4245,continuation,0,source,c-f4ddc1c2c69765cf,,,1.017395233,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,validation,5890742552815418,True,0.866052877
parallel_surface,5890745585572372,5890745468105626,100,4244,continuation,0,source,c-f4ddc1c2c69765cf,,,2.014263322,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,validation,5890743571309050,True,1.896796576
parallel_surface,5890774387095967,5890774275450982,46,16526,continuation,0,destination,m-4a17bb7b6c222980,,,0.953686814,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890773433409153,True,0.842041829
parallel_surface,5890775413984694,5890775265018265,50,16535,continuation,0,destination,m-4a17bb7b6c222980,,,1.025362912,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,5890774388621782,True,0.876396483
parallel_surface,5890777593542792,5890777415824532,110,16533,continuation,0,destination,m-4a17bb7b6c222980,,,2.177948554,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,5890775415594238,True,2.000230294
parallel_surface,5890779545103876,5890779433505250,100,16532,continuation,0,destination,m-4a17bb7b6c222980,,,1.949332016,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,5890777595771860,True,1.83773339
staged_append,5890795019817931,5890794904466350,209,28171,0,32,source,m-f1de779d5522ff55,0.000137171,5890790695600495,4.324080265,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890790695737666,True,4.208728684
staged_append,5890799660449161,5890799544166149,207,29190,1,1019,source,m-f1de779d5522ff55,4.138736668,5890790895600495,4.626111998,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890795034337163,True,4.509828986
staged_append,5890800914966712,5890800797314164,51,29249,2,59,source,m-f1de779d5522ff55,3.977862733,5890795695600495,1.241503484,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890799673463228,True,1.123850936
staged_append,5890804770483504,5890804654722667,165,30268,3,1019,source,m-f1de779d5522ff55,5.027620372,5890795895600495,3.847262637,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890800923220867,True,3.7315018
staged_append,5890808034297233,5890807920741823,50,30298,continuation,0,destination,m-f1de779d5522ff55,,,1.082382,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890806951915233,True,0.96882659
staged_append,5890821981932720,5890821866105223,128,28171,0,32,source,m-2031ff7ab0881bf6,8.8322e-05,5890819292275401,2.689568997,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5890819292363723,True,2.5737415
staged_append,5890825990340650,5890825873751471,174,29190,1,1019,source,m-2031ff7ab0881bf6,2.502038152,5890819492275401,3.996027097,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5890821994313553,True,3.879437918
staged_append,5890827238779953,5890827123144205,51,29249,2,59,source,m-2031ff7ab0881bf6,1.709495682,5890824292275401,1.23700887,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5890826001771083,True,1.121373122
staged_append,5890831133082849,5890831017065285,166,30268,3,1019,source,m-2031ff7ab0881bf6,2.765202081,5890824492275401,3.875605367,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5890827257477482,True,3.759587803
staged_append,5890834388793491,5890834270303262,50,30298,continuation,0,destination,m-2031ff7ab0881bf6,,,1.077201333,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5890833311592158,True,0.958711104
staged_append,5895225653983748,5895225539118083,24,28171,0,32,source,m-543cf556ff42fecd,0.00011779,5895224977204710,0.676661248,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5895224977322500,True,0.561795583
staged_append,5895231321222928,5895231208456239,32,29190,1,1019,source,m-543cf556ff42fecd,4.899234026,5895225177204710,1.244784192,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5895230076438736,True,1.132017503
staged_append,5895232054352319,5895231937233298,25,29249,2,59,source,m-543cf556ff42fecd,1.375349845,5895229977204710,0.701797764,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5895231352554555,True,0.584678743
staged_append,5895233326611200,5895233211231611,31,30268,3,1019,source,m-543cf556ff42fecd,1.910429105,5895230177204710,1.238977385,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5895232087633815,True,1.123597796
staged_append,5895235969595987,5895235857413733,52,30298,continuation,0,destination,m-543cf556ff42fecd,,,1.127816719,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5895234841779268,True,1.015634465
staged_append,5890983800223174,5890983686127282,123,28171,0,32,source,m-0ad651f9ef36fca6,0.000102634,5890981065862645,2.734257895,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890981065965279,True,2.620162003
staged_append,5890990446813406,5890990331688216,153,29190,1,1019,source,m-0ad651f9ef36fca6,5.502174961,5890981265862645,3.6787758,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890986768037606,True,3.56365061
staged_append,5890991749916710,5890991635737089,51,29249,2,59,source,m-0ad651f9ef36fca6,4.38797351,5890986065862645,1.296080555,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890990453836155,True,1.181900934
staged_append,5890995159615216,5890995044595764,142,30268,3,1019,source,m-0ad651f9ef36fca6,5.490606827,5890986265862645,3.403145744,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890991756469472,True,3.288126292
staged_append,5890999818704646,5890999701173600,50,30298,continuation,0,destination,m-0ad651f9ef36fca6,,,1.132631459,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5890998686073187,True,1.015100413
parallel_surface,5895280968446339,5895280855880033,25,30142,continuation,0,destination,m-6277f0b76f6635a5,,,0.623255192,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895280345191147,True,0.510688886
parallel_surface,5895281582320959,5895281433070679,25,30151,continuation,0,destination,m-6277f0b76f6635a5,,,0.612165358,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,5895280970155601,True,0.462915078
parallel_surface,5895282239908919,5895282090035216,27,30149,continuation,0,destination,m-6277f0b76f6635a5,,,0.655930338,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,5895281583978581,True,0.506056635
parallel_surface,5895282853128936,5895282740528361,25,30148,continuation,0,destination,m-6277f0b76f6635a5,,,0.611559645,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,5895282241569291,True,0.49895907
parallel_surface,5891172353904311,5891172238538561,46,4238,continuation,0,destination,m-84c94332c91489a9,,,0.919223563,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5891171434680748,True,0.803857813
parallel_surface,5891173365500708,5891173214022888,50,4247,continuation,0,destination,m-84c94332c91489a9,,,1.010681887,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,5891172354818821,True,0.859204067
parallel_surface,5891175435711172,5891175283495320,106,4245,continuation,0,destination,m-84c94332c91489a9,,,2.069529801,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,5891173366181371,True,1.917313949
parallel_surface,5891177385443969,5891177271211118,100,4244,continuation,0,destination,m-84c94332c91489a9,,,1.948800356,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,5891175436643613,True,1.834567505
parallel_surface,5895327228659203,5895327117610325,25,30142,continuation,0,destination,m-d13e468fa988be86,,,0.600629665,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895326628029538,True,0.489580787
parallel_surface,5895327829889422,5895327681734046,25,30151,continuation,0,destination,m-d13e468fa988be86,,,0.599493276,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,5895327230396146,True,0.4513379
parallel_surface,5895328453705310,5895328305678383,27,30149,continuation,0,destination,m-d13e468fa988be86,,,0.622108795,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,5895327831596515,True,0.474081868
parallel_surface,5895329045791669,5895328934115167,25,30148,continuation,0,destination,m-d13e468fa988be86,,,0.590453284,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,5895328455338385,True,0.478776782
parallel_surface,5895364181811008,5895364065542554,25,30142,continuation,0,source,c-063565740025b8d1,,,0.694083663,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895363487727345,True,0.577815209
parallel_surface,5895364912812480,5895364758778947,27,30151,continuation,0,source,c-063565740025b8d1,,,0.729362899,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,train,5895364183449581,True,0.575329366
parallel_surface,5895365632875931,5895365478371093,27,30149,continuation,0,source,c-063565740025b8d1,,,0.718691516,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,train,5895364914184415,True,0.564186678
parallel_surface,5895366337583658,5895366222722549,25,30148,continuation,0,source,c-063565740025b8d1,,,0.703356422,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,train,5895365634227236,True,0.588495313
staged_append,5895378350720699,5895378147295355,24,28651,0,512,source,m-283b196daf70b14f,0.000118991,5895377377971923,0.972629785,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895377378090914,True,0.769204441
staged_append,5895388320131708,5895388201294626,26,29190,1,539,source,m-283b196daf70b14f,7.987317699,5895379377971923,0.954842086,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895387365289622,True,0.836005004
staged_append,5895389317095472,5895389200568259,26,29729,2,539,source,m-283b196daf70b14f,6.992152151,5895381377971923,0.946971398,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895388370124074,True,0.830444185
staged_append,5895390341067420,5895390223889203,26,30268,3,539,source,m-283b196daf70b14f,5.986296551,5895383377971923,0.976798946,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895389364268474,True,0.859620729
staged_append,5895392537849287,5895392426605366,23,30298,continuation,0,destination,m-283b196daf70b14f,,,0.560892701,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5895391976956586,True,0.44964878
staged_append,5895404695997816,5895404459844239,24,28651,0,512,source,c-e22dbc10d1ee9346,7.7151e-05,5895403729789991,0.966130674,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5895403729867142,True,0.729977097
staged_append,5895406665306977,5895406553542371,26,29190,1,539,source,c-e22dbc10d1ee9346,7.1864e-05,5895405729789991,0.935445122,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5895405729861855,True,0.823680516
staged_append,5895408666179291,5895408551836319,26,29729,2,539,source,c-e22dbc10d1ee9346,0.000103376,5895407729789991,0.936285924,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5895407729893367,True,0.821942952
staged_append,5895410648174387,5895410533299079,25,30268,3,539,source,c-e22dbc10d1ee9346,0.000102808,5895409729789991,0.918281588,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5895409729892799,True,0.80340628
staged_append,5895411362916767,5895411247528205,23,30298,continuation,0,source,c-e22dbc10d1ee9346,,,0.663606534,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5895410699310233,True,0.548217972
parallel_surface,5891829571730050,5891829454719408,46,16526,continuation,0,destination,m-fc1a8b12b27aafb4,,,0.995153831,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,validation,5891828576576219,True,0.878143189
parallel_surface,5891830653383037,5891830501147908,50,16535,continuation,0,destination,m-fc1a8b12b27aafb4,,,1.080150513,1,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,validation,5891829573232524,True,0.927915384
parallel_surface,5891832876681426,5891832724113720,110,16533,continuation,0,destination,m-fc1a8b12b27aafb4,,,2.221638866,1,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,validation,5891830655042560,True,2.06907116
parallel_surface,5891834867864870,5891834753226093,100,16532,continuation,0,destination,m-fc1a8b12b27aafb4,,,1.988709451,1,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,validation,5891832879155419,True,1.874070674
staged_append,5891847658179545,5891847544588586,53,28651,0,512,source,m-99f3ad8e322c013d,9.964e-05,5891846042713794,1.615366111,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5891846042813434,True,1.501775152
staged_append,5891859282875681,5891859165876589,137,29190,1,539,source,m-99f3ad8e322c013d,8.089078824,5891848042713794,3.151083063,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5891856131792618,True,3.034083971
staged_append,5891863367246550,5891863251278477,185,29729,2,539,source,m-99f3ad8e322c013d,9.248695607,5891850042713794,4.075837149,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5891859291409401,True,3.959869076
staged_append,5891866641780907,5891866524263040,144,30268,3,539,source,m-99f3ad8e322c013d,11.333912467,5891852042713794,3.265154646,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5891863376626261,True,3.147636779
staged_append,5891870352187223,5891870238966781,47,30298,continuation,0,destination,m-99f3ad8e322c013d,,,1.023607901,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5891869328579322,True,0.910387459
staged_append,5891885953191060,5891885836670132,185,28651,0,512,source,c-6cf91c0f18583e03,0.00010409,5891881614479662,4.338607308,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5891881614583752,True,4.22208638
staged_append,5891889728453243,5891889612336660,172,29190,1,539,source,c-6cf91c0f18583e03,2.355089935,5891883614479662,3.758883646,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5891885969569597,True,3.642767063
staged_append,5891894032222471,5891893916473084,200,29729,2,539,source,c-6cf91c0f18583e03,4.128625176,5891885614479662,4.289117633,1,claude:d822a508-dc39-797d-a37d-fa6552fdb8bb,train,5891889743104838,True,4.173368246
