node,phase,samples,mean_running,max_waiting
sweden,pre,289,10.626297577854672,9.0
sweden,post,169,0.0,0.0
sweden,migration,236,7.771186440677966,0.0
sweden,source_fall,209,1.1770334928229664,0.0
east,pre,61,2.5245901639344264,0.0
east,post,36,2.861111111111111,3.0
east,migration,49,2.857142857142857,3.0
east,source_fall,43,2.9069767441860463,3.0
germany,pre,151,2.556291390728477,0.0
germany,post,86,3.058139534883721,5.0
germany,migration,120,2.9583333333333335,5.0
germany,source_fall,106,3.009433962264151,5.0
